term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,model,hr,hr.ll,hr.ul
"tt(vaxtime)Dose 2 (12,21]",-1.6371362607165003,0.4482834695522732,0.4484351183742263,-3.6507762073849976,2.614489770676301e-4,-2.5160529421329394,-0.7582195793000611,Minimally adjusted,0.19453634673347037,0.08077781304955543,0.468499811664724
"tt(vaxtime)Dose 2 (21, Inf]",-5.526666073426931,574.7105277070435,1.001177872981321,-5.520164021373694,3.386833762540007e-8,-7.488938646588736,-3.5643935002651252,Minimally adjusted,0.003979233471134628,5.592361928501563e-4,0.028314152803841936
age,0.06497285869491096,0.001693284415011197,0.001662356448227962,39.08479361581609,0,0.06171469992691622,0.06823101746290577,Minimally adjusted,1.0671300606885914,1.0636588394904163,1.0706126101211206
sexMale,0.07871458987397788,0.016080716915877837,0.016065129932955915,4.899716977234228,9.597480737269346e-7,0.04722751379842797,0.1102016659495279,Minimally adjusted,1.0818954940717864,1.0483604984279373,1.1165032084364566
imd2,-0.08486407492475118,0.02630428577989541,0.026302403241807593,-3.2264760807050505,0.0012532470656373132,-0.13641583798554366,-0.03331231186395879,Minimally adjusted,0.9186371417382608,0.87247974682278,0.9672364329993497
imd3,-0.20928640826975062,0.025370885442931545,0.02536895450583538,-8.249705687382995,1.5878509028905075e-16,-0.25900864542662305,-0.1595641711128781,Minimally adjusted,0.8111628786139626,0.771816350333236,0.8525152587881839
imd4,-0.35780768228981574,0.02611551906568576,0.026115701676364685,-13.700864205139853,1.0032307556348787e-42,-0.4089935170064828,-0.30662184757314864,Minimally adjusted,0.6992075320683852,0.6643185390810387,0.7359288415726768
imd5 most deprived,-0.37243036236427574,0.026218780288898978,0.026227192935180603,-14.200161004066338,9.140217320129002e-46,-0.4238347159328131,-0.32102600879573845,Minimally adjusted,0.6890576342316872,0.6545320566892623,0.7254043838503391
"tt(vaxtime)Dose 1 (0,3]",-1.3103186233815673,0.06884984024470503,0.06896727734967138,-18.999135151270558,1.733778227015813e-80,-1.4454920030987082,-1.1751452436644265,'Fully' adjusted (temp),0.26973409910063434,0.2356301172841894,0.3087741289449875
"tt(vaxtime)Dose 1 (3,6]",-0.8854997654341406,0.06205621257674045,0.062128336852338026,-14.252751808546396,4.309588135780918e-46,-1.0072690680840957,-0.7637304627841854,'Fully' adjusted (temp),0.41250796453335853,0.3652149962150102,0.465925064871312
"tt(vaxtime)Dose 1 (6,12]",-0.6788351854921058,0.047044806908089216,0.04721484543192166,-14.377579324513674,7.155376070467323e-47,-0.7713745820742977,-0.5862957889099139,'Fully' adjusted (temp),0.507207451008879,0.4623770560730169,0.5563844377224005
"tt(vaxtime)Dose 1 (12,21]",-0.730236032378413,0.042483411689825216,0.04240218567243617,-17.221660176190113,1.8267227602906715e-66,-0.8133427891621681,-0.6471292755946577,'Fully' adjusted (temp),0.481795257387921,0.4433734822085693,0.5235465794778797
"tt(vaxtime)Dose 1 (21, Inf]",-0.6880297536411888,0.07416092738851725,0.07450431823613164,-9.234763432913633,2.5885738495932175e-20,-0.8340555340767175,-0.5420039732056601,'Fully' adjusted (temp),0.5025652716562041,0.434284454668086,0.5815816098412026
"tt(vaxtime)Dose 2 (0,3]",-2.2679372776793647,0.2047974294630049,0.20474264320151137,-11.077014745029057,1.621904377259841e-28,-2.6692254844538614,-1.866649070904868,'Fully' adjusted (temp),0.1035255043616885,0.06930588301113254,0.15464098555126177
"tt(vaxtime)Dose 2 (3,6]",-1.9871338855849316,0.17238622833942951,0.17229379991633217,-11.533403329370566,8.953293928201813e-31,-2.324823528180493,-1.6494442429893705,'Fully' adjusted (temp),0.13708777216157517,0.09780070159632986,0.19215667136818557
"tt(vaxtime)Dose 2 (6,12]",-1.8838018487931532,0.13887175915725505,0.13917370721084812,-13.53561593311008,9.637128551868561e-42,-2.1565773025213377,-1.6110263950649686,'Fully' adjusted (temp),0.15201108262410004,0.1157205203191233,0.19968255566798018
"tt(vaxtime)Dose 2 (12,21]",-1.5946814784789602,0.44829052314319845,0.44845106512487004,-3.5559765657707274,3.765776459880794e-4,-2.4736294149523315,-0.7157335420055889,'Fully' adjusted (temp),0.2029731695299073,0.08427842187968204,0.4888334004145441
"tt(vaxtime)Dose 2 (21, Inf]",-5.731685983074443,635.8413793793029,1.001246270327355,-5.724551644222837,1.037072575406738e-8,-7.694092612571113,-3.7692793535777724,'Fully' adjusted (temp),0.0032416073287325343,4.555101252822643e-4,0.023068681661425224
age,0.057166675332664944,0.0017309367827971374,0.0017244997995070452,33.14971410782782,5.717326575318225e-241,0.05378671783428461,0.06054663283104523,'Fully' adjusted (temp),1.0588322769107745,1.055259510118165,1.0624171399341518
sexMale,0.0454369160775928,0.016261527029998543,0.0162788074290471,2.7911698246713956,0.005251790905497871,0.013531039805397502,0.07734279234978828,'Fully' adjusted (temp),1.046484986153952,1.0136229986225374,1.080412370017122
imd2,-0.05988287093474822,0.026321889376735436,0.026325365660218723,-2.2747213355991307,0.022922651767143816,-0.1114796395086244,-0.008286102360872006,'Fully' adjusted (temp),0.9418748480441433,0.8945096038729349,0.991748132761462
imd3,-0.1695012479816462,0.025416659715085718,0.025436337715396606,-6.663744202415081,2.669379122277075e-11,-0.2193555538024214,-0.11964694216087099,'Fully' adjusted (temp),0.8440857010762424,0.8030361448335177,0.8872336262137744
imd4,-0.30974072585607,0.02618361827680341,0.02621542131120935,-11.815210679968327,3.2573135119665133e-32,-0.36112200746558404,-0.2583594442465559,'Fully' adjusted (temp),0.7336371447103954,0.6968939670130461,0.7723175770995676
imd5 most deprived,-0.31303301200487715,0.02631573409993774,0.026354578291372107,-11.877746953263035,1.5447497495497892e-32,-0.3646870362837077,-0.2613789877260467,'Fully' adjusted (temp),0.7312257729416528,0.6944139432422146,0.769989047912327
chronic_cardiac_diseaseTRUE,0.28920563758218637,0.01645456652274982,0.016534552910622932,17.490986248341848,1.6782757742826266e-68,0.25679850937689347,0.32161276578747916,'Fully' adjusted (temp),1.3353663017938837,1.2927846165371228,1.3793505408063989
current_copdTRUE,0.33414324511259624,0.022898703110041344,0.02297283916285958,14.545143625643322,6.269911440524994e-48,0.28911730773076016,0.3791691824944324,'Fully' adjusted (temp),1.396743205882984,1.3352483542960658,1.461070202336084
dementiaTRUE,0.9427455210914628,0.019682695654151462,0.019778148332517564,47.6660153034387,0,0.9039810626788374,0.9815099795040881,'Fully' adjusted (temp),2.5670195585672237,2.4694144621509406,2.6684825553045948
dialysisTRUE,1.1038765506971775,0.11014017376158967,0.11010401937496239,10.025760703048398,1.1745164251317651e-23,0.888076638169151,1.319676463225204,'Fully' adjusted (temp),3.0158344278081795,2.4304505171418938,3.7422104386839052
