variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,estimate,std.error,statistic,n,conf.low,conf.high,ci,p.value
heart_failure,heart_failure,continuous,NA,label,heart_failure,100000,heart_failure,numeric,NA,NA,NA,NA,-0.06999429235455636,0.015034221195999176,-4.655664662775006,NA,-0.09946082443432343,-0.040527760274789285,"-0.10, -0.04",3.2293718721545733e-6
other_heart_disease,other_heart_disease,continuous,NA,label,other_heart_disease,100000,other_heart_disease,numeric,NA,NA,NA,NA,0.018163981093036758,0.019724441983993854,0.9208869436091834,NA,-0.020495214810740955,0.05682317699681447,"-0.02, 0.06",0.35710945591008847
dialysis,dialysis,continuous,NA,label,dialysis,100000,dialysis,numeric,NA,NA,NA,NA,-0.14251578175094742,0.08207242342473162,-1.7364636720109554,NA,-0.30337477578734284,0.018343212285447996,"-0.30, 0.02",0.08248188240791543
diabetes,diabetes,continuous,NA,label,diabetes,100000,diabetes,numeric,NA,NA,NA,NA,-0.013166005835982129,0.0076737520232407685,-1.7157194806539864,NA,-0.028206283427825406,0.0018742717558611465,"-0.03, 0.00",0.08621339750977781
chronic_liver_disease,chronic_liver_disease,continuous,NA,label,chronic_liver_disease,100000,chronic_liver_disease,numeric,NA,NA,NA,NA,-0.08504529156644108,0.04248127828342379,-2.0019475637960213,NA,-0.16830706701917522,-0.0017835161137069455,"-0.17, 0.00",0.04529037137024751
current_copd,current_copd,continuous,NA,label,current_copd,100000,current_copd,numeric,NA,NA,NA,NA,-0.0377478236179502,0.011341926502616841,-3.3281668338479284,NA,-0.059977591078379536,-0.01551805615752086,"-0.06, -0.02",8.741949783979087e-4
other_resp_conditions,other_resp_conditions,continuous,NA,label,other_resp_conditions,100000,other_resp_conditions,numeric,NA,NA,NA,NA,-0.03639291056549488,0.015443566532821359,-2.356509455775713,NA,-0.06666174476267285,-0.006124076368316911,"-0.07, -0.01",0.018447597975775495
lung_cancer,lung_cancer,continuous,NA,label,lung_cancer,100000,lung_cancer,numeric,NA,NA,NA,NA,-0.09424652484181267,0.03997709413627607,-2.357513142914791,NA,-0.17260018955548112,-0.015892860128144212,"-0.17, -0.02",0.018397804033121662
haematological_cancer,haematological_cancer,continuous,NA,label,haematological_cancer,100000,haematological_cancer,numeric,NA,NA,NA,NA,-0.0312995863250111,0.023802844720922325,-1.3149514981080919,NA,-0.0779523047076182,0.015353132057596003,"-0.08, 0.02",0.18852620354769994
cancer_excl_lung_and_haem,cancer_excl_lung_and_haem,continuous,NA,label,cancer_excl_lung_and_haem,100000,cancer_excl_lung_and_haem,numeric,NA,NA,NA,NA,0.020237095090446,0.008711457781371987,2.3230434673883957,NA,0.0031629515861157087,0.037311238594776294,"0.00, 0.04",0.020176817455631865
chemo_or_radio,chemo_or_radio,continuous,NA,label,chemo_or_radio,100000,chemo_or_radio,numeric,NA,NA,NA,NA,0.03619074764853722,0.018483223133087395,1.9580322862494166,NA,-3.5704010531642516e-5,0.07241719930760608,"0.00, 0.07",0.05022622432141297
permanant_immunosuppression,permanant_immunosuppression,continuous,NA,label,permanant_immunosuppression,100000,permanant_immunosuppression,numeric,NA,NA,NA,NA,0.2578190017013105,0.11880011290886634,2.1701915544397505,NA,0.024975059040640568,0.49066294436198044,"0.02, 0.49",0.029992337619008876
asplenia,asplenia,continuous,NA,label,asplenia,100000,asplenia,numeric,NA,NA,NA,NA,0.043745201746806274,0.06789370150178448,0.6443189983632944,NA,-0.08932400797380424,0.17681441146741678,"-0.09, 0.18",0.5193685984736324
dmards,dmards,continuous,NA,label,dmards,100000,dmards,numeric,NA,NA,NA,NA,0.0164223875469236,0.018789618486572075,0.8740138900989285,NA,-0.020404587970005654,0.053249363063852855,"-0.02, 0.05",0.38211068942070003
dementia,dementia,continuous,NA,label,dementia,100000,dementia,numeric,NA,NA,NA,NA,-0.2379459987744312,0.012264057265496942,-19.401898867828677,NA,-0.261983109319142,-0.21390888822972043,"-0.26, -0.21",7.437290365475383e-84
other_neuro_conditions,other_neuro_conditions,continuous,NA,label,other_neuro_conditions,100000,other_neuro_conditions,numeric,NA,NA,NA,NA,-0.2045954918212341,0.022244022451708742,-9.197774020656839,NA,-0.24819297469788357,-0.16099800894458463,"-0.25, -0.16",3.654413335138346e-20
LD_incl_DS_and_CP,LD_incl_DS_and_CP,continuous,NA,label,LD_incl_DS_and_CP,100000,LD_incl_DS_and_CP,numeric,NA,NA,NA,NA,-0.4298260293808777,0.1165076876625301,-3.689250366258136,NA,-0.6581769011214782,-0.20147515764027718,"-0.66, -0.20",2.2491579807847558e-4
psychosis_schiz_bipolar,psychosis_schiz_bipolar,continuous,NA,label,psychosis_schiz_bipolar,100000,psychosis_schiz_bipolar,numeric,NA,NA,NA,NA,-0.3122682290517603,0.03828635191416408,-8.1561238780819,NA,-0.38730809990294807,-0.2372283582005726,"-0.39, -0.24",3.4594762754734843e-16
flu_vaccine,flu_vaccine,continuous,NA,label,flu_vaccine,100000,flu_vaccine,numeric,NA,NA,NA,NA,0.7879898008699247,0.012520435009159758,62.93629576715533,NA,0.763450199181197,0.8125294025586522,"0.76, 0.81",0
