variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,estimate,std.error,statistic,n,conf.low,conf.high,ci,p.value
imd,imd,categorical,FALSE,level,5 least deprived,100000,imd5 least deprived,factor,5,FALSE,contr.treatment,treatment,0.27822410307429457,0.011907253418713439,23.365934467896484,NA,0.2548863152188248,0.3015618909297643,"0.25, 0.30",9.492059910486001e-121
ethnicity,ethnicity,categorical,NA,label,ethnicity,100000,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity,ethnicity,categorical,TRUE,level,White,100000,ethnicityWhite,factor,5,FALSE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity,ethnicity,categorical,FALSE,level,Black,100000,ethnicityBlack,factor,5,FALSE,contr.treatment,treatment,-0.7798468370595565,0.03924489397234495,-19.871294278667133,NA,-0.8567654158224456,-0.7029282582966674,"-0.86, -0.70",7.211924464082612e-88
ethnicity,ethnicity,categorical,FALSE,level,South Asian,100000,ethnicitySouth Asian,factor,5,FALSE,contr.treatment,treatment,-0.4642375187482789,0.023214307660679036,-19.997904978859903,NA,-0.5097367256892421,-0.41873831180731574,"-0.51, -0.42",5.743492951070278e-89
ethnicity,ethnicity,categorical,FALSE,level,Mixed,100000,ethnicityMixed,factor,5,FALSE,contr.treatment,treatment,-0.4784396401302524,0.06215504079835772,-7.697519525124242,NA,-0.6002612815526512,-0.3566179987078536,"-0.60, -0.36",1.38732896482174e-14
ethnicity,ethnicity,categorical,FALSE,level,Other,100000,ethnicityOther,factor,5,FALSE,contr.treatment,treatment,-0.3962725288758514,0.04486581015914942,-8.832394366003443,NA,-0.48420790092499555,-0.30833715682670726,"-0.48, -0.31",1.0245846815143203e-18
bmi,bmi,categorical,NA,label,bmi,100000,NA,factor,4,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
bmi,bmi,categorical,TRUE,level,Not obese,100000,bmiNot obese,factor,4,FALSE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
bmi,bmi,categorical,FALSE,level,Obese I (30-34.9),100000,bmiObese I (30-34.9),factor,4,FALSE,contr.treatment,treatment,-0.004745831256246726,0.010007304425775482,-0.47423672293040725,NA,-0.024359787513094956,0.014868125000601503,"-0.02, 0.01",0.6353311088557112
bmi,bmi,categorical,FALSE,level,Obese II (35-39.9),100000,bmiObese II (35-39.9),factor,4,FALSE,contr.treatment,treatment,-0.06318200137044887,0.01827256916300484,-3.457751387165026,NA,-0.09899557883495555,-0.027368423905942185,"-0.10, -0.03",5.44703790356065e-4
bmi,bmi,categorical,FALSE,level,Obese III (40+),100000,bmiObese III (40+),factor,4,FALSE,contr.treatment,treatment,-0.19156982338105835,0.03187183619141888,-6.010630270264638,NA,-0.2540374744373996,-0.1291021723247171,"-0.25, -0.13",1.8480343960822884e-9
chronic_cardiac_disease,chronic_cardiac_disease,continuous,NA,label,chronic_cardiac_disease,100000,chronic_cardiac_disease,numeric,NA,NA,NA,NA,-0.007825129303077851,0.02118380322083241,-0.36939208797891987,NA,-0.049344620671492964,0.033694362065337255,"-0.05, 0.03",0.7118354945191562
heart_failure,heart_failure,continuous,NA,label,heart_failure,100000,heart_failure,numeric,NA,NA,NA,NA,-0.07397906867356292,0.014931529121261066,-4.9545540897230556,NA,-0.10324432798534561,-0.04471380936178024,"-0.10, -0.04",7.249634840915988e-7
other_heart_disease,other_heart_disease,continuous,NA,label,other_heart_disease,100000,other_heart_disease,numeric,NA,NA,NA,NA,0.022373022153154672,0.019544618371024603,1.1447152217780445,NA,-0.01593372594563344,0.06067977025194278,"-0.02, 0.06",0.252327143837001
dialysis,dialysis,continuous,NA,label,dialysis,100000,dialysis,numeric,NA,NA,NA,NA,-0.11788769718981601,0.07899821063840712,-1.4922831319485825,NA,-0.27272134488420285,0.03694595050457086,"-0.27, 0.04",0.1356249368553301
diabetes,diabetes,continuous,NA,label,diabetes,100000,diabetes,numeric,NA,NA,NA,NA,-0.024700238622582363,0.007721012504248734,-3.1990932029951082,NA,-0.03983314505509329,-0.009567332190071437,"-0.04, -0.01",0.0013786059226389368
chronic_liver_disease,chronic_liver_disease,continuous,NA,label,chronic_liver_disease,100000,chronic_liver_disease,numeric,NA,NA,NA,NA,-0.07222373450105672,0.04191293375366952,-1.7231848986169682,NA,-0.15437157514466215,0.009924106142548697,"-0.15, 0.01",0.08485509373944694
current_copd,current_copd,continuous,NA,label,current_copd,100000,current_copd,numeric,NA,NA,NA,NA,-0.033708232439201,0.011358287150859903,-2.967721452318543,NA,-0.05597006618095047,-0.01144639869745153,"-0.06, -0.01",0.003000160770560927
other_resp_conditions,other_resp_conditions,continuous,NA,label,other_resp_conditions,100000,other_resp_conditions,numeric,NA,NA,NA,NA,-0.04986667621446768,0.015378254460963584,-3.242674670330763,NA,-0.08000750110304872,-0.019725851325886636,"-0.08, -0.02",0.0011841333897723008
lung_cancer,lung_cancer,continuous,NA,label,lung_cancer,100000,lung_cancer,numeric,NA,NA,NA,NA,-0.1072248508188983,0.03960008643116514,-2.7076923431791475,NA,-0.18483959400865524,-0.029610107629141375,"-0.18, -0.03",0.006775279780834793
haematological_cancer,haematological_cancer,continuous,NA,label,haematological_cancer,100000,haematological_cancer,numeric,NA,NA,NA,NA,0.009299929750718588,0.024676160683691918,0.37687912110512245,NA,-0.039064456466040835,0.057664315967478015,"-0.04, 0.06",0.7062634382470976
cancer_excl_lung_and_haem,cancer_excl_lung_and_haem,continuous,NA,label,cancer_excl_lung_and_haem,100000,cancer_excl_lung_and_haem,numeric,NA,NA,NA,NA,0.025517409350960606,0.008743756873720842,2.9183576029718514,NA,0.00837996078889322,0.04265485791302799,"0.01, 0.04",0.003518805504257119
chemo_or_radio,chemo_or_radio,continuous,NA,label,chemo_or_radio,100000,chemo_or_radio,numeric,NA,NA,NA,NA,0.023582648084771833,0.018686440242538783,1.2620192919937243,NA,-0.013042101789864084,0.06020739795940775,"-0.01, 0.06",0.20694184455269551
permanant_immunosuppression,permanant_immunosuppression,continuous,NA,label,permanant_immunosuppression,100000,permanant_immunosuppression,numeric,NA,NA,NA,NA,6.978084819280737e-5,0.11191036630114284,6.235423088959612e-4,NA,-0.21927050659873207,0.2194100682951177,"-0.22, 0.22",0.9995024852509639
asplenia,asplenia,continuous,NA,label,asplenia,100000,asplenia,numeric,NA,NA,NA,NA,-0.0996095949184298,0.07000854350295246,-1.422820557811333,NA,-0.23682381879432218,0.03760462895746258,"-0.24, 0.04",0.15478818027724286
dmards,dmards,continuous,NA,label,dmards,100000,dmards,numeric,NA,NA,NA,NA,0.007082713525571972,0.01890929177591003,0.3745626017889879,NA,-0.029978817328371113,0.04414424437951506,"-0.03, 0.04",0.7079857908296187
dementia,dementia,continuous,NA,label,dementia,100000,dementia,numeric,NA,NA,NA,NA,-0.24382773576304936,0.01225052834805508,-19.903446515574977,NA,-0.2678383301168243,-0.21981714140927444,"-0.27, -0.22",3.798870343096685e-88
other_neuro_conditions,other_neuro_conditions,continuous,NA,label,other_neuro_conditions,100000,other_neuro_conditions,numeric,NA,NA,NA,NA,-0.1579848990115262,0.022742444360952685,-6.946698275000559,NA,-0.2025592708793995,-0.1134105271436529,"-0.20, -0.11",3.7393425785011275e-12
LD_incl_DS_and_CP,LD_incl_DS_and_CP,continuous,NA,label,LD_incl_DS_and_CP,100000,LD_incl_DS_and_CP,numeric,NA,NA,NA,NA,-0.5879135146848777,0.12518378340462474,-4.696403149796143,NA,-0.833269221606405,-0.3425578077633504,"-0.83, -0.34",2.6478269337202097e-6
psychosis_schiz_bipolar,psychosis_schiz_bipolar,continuous,NA,label,psychosis_schiz_bipolar,100000,psychosis_schiz_bipolar,numeric,NA,NA,NA,NA,-0.28519556432816184,0.03942665264879814,-7.233572854094566,NA,-0.3624703835507769,-0.20792074510554678,"-0.36, -0.21",4.704498867794744e-13
flu_vaccine,flu_vaccine,continuous,NA,label,flu_vaccine,100000,flu_vaccine,numeric,NA,NA,NA,NA,0.6209930520136612,0.01109843492417207,55.9532092818922,NA,0.5992405192775224,0.6427455847497999,"0.60, 0.64",0
