stratum,brand_descr,var_label,label,HR,CI,HR_ECI
all,Any vaccine,Haematological cancer,Haematological cancer,1.02,(0.97-1.07),1.02 (0.97-1.07)
all,Any vaccine,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.04,(1.01-1.07),1.04 (1.01-1.07)
all,Any vaccine,Immunosuppressed,Immunosuppressed,1.03,(0.99-1.06),1.03 (0.99-1.06)
all,Any vaccine,Dementia,Dementia,0.80,(0.77-0.83),0.80 (0.77-0.83)
all,Any vaccine,Other neurological conditions,Other neurological conditions,0.83,(0.79-0.87),0.83 (0.79-0.87)
all,Any vaccine,Learning disabilities,Learning disabilities,0.72,(0.59-0.88),0.72 (0.59-0.88)
all,Any vaccine,Serious mental illness,Serious mental illness,0.69,(0.65-0.74),0.69 (0.65-0.74)
all,Any vaccine,Morbidity count,0,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Morbidity count,1,1.00,(0.97-1.03),1.00 (0.97-1.03)
all,Any vaccine,Morbidity count,2,1.01,(0.95-1.06),1.01 (0.95-1.06)
all,Any vaccine,Morbidity count,3,1.03,(0.96-1.12),1.03 (0.96-1.12)
all,Any vaccine,Morbidity count,4+,1.04,(0.93-1.16),1.04 (0.93-1.16)
all,Any vaccine,Shielding criteria met,Shielding criteria met,1.03,(1.01-1.04),1.03 (1.01-1.04)
all,Any vaccine,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.99,(1.95-2.03),1.99 (1.95-2.03)
all,Any vaccine,Frailty,None,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Frailty,Mild,1.17,(1.14-1.20),1.17 (1.14-1.20)
all,Any vaccine,Frailty,Moderate,1.14,(1.11-1.17),1.14 (1.11-1.17)
all,Any vaccine,Frailty,Severe,1.04,(1.01-1.07),1.04 (1.01-1.07)
all,Any vaccine,region,Midlands,1,(NA-NA),1 (NA-NA)
all,Any vaccine,region,North East and Yorkshire,0.16,(0.07-0.37),0.16 (0.07-0.37)
all,Any vaccine,region,East of England,63.43,(28.16-142.87),63.43 (28.16-142.87)
all,Any vaccine,region,South East,3.46,(0.85-14.04),3.46 (0.85-14.04)
all,Any vaccine,region,South West,0.00,(0.00-0.00),0.00 (0.00-0.00)
all,Any vaccine,region,North West,2.66,(0.96-7.38),2.66 (0.96-7.38)
all,Any vaccine,region,London,0.00,(0.00-1.21),0.00 (0.00-1.21)
all,Any vaccine,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since suspected COVID,1-21,1.46,(1.30-1.64),1.46 (1.30-1.64)
all,Any vaccine,Time since suspected COVID,22-28,1.03,(0.80-1.32),1.03 (0.80-1.32)
all,Any vaccine,Time since suspected COVID,29+,1.12,(0.92-1.37),1.12 (0.92-1.37)
all,Any vaccine,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since discharge from infectious hosp admission,In hospital,0.80,(0.79-0.82),0.80 (0.79-0.82)
all,Any vaccine,Time since discharge from infectious hosp admission,1-21,0.60,(0.58-0.64),0.60 (0.58-0.64)
all,Any vaccine,Time since discharge from infectious hosp admission,22-28,0.88,(0.80-0.97),0.88 (0.80-0.97)
all,Any vaccine,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since discharge from non-infectious hosp admission,In hospital,0.93,(0.90-0.97),0.93 (0.90-0.97)
all,Any vaccine,Time since discharge from non-infectious hosp admission,1-21,0.62,(0.53-0.73),0.62 (0.53-0.73)
all,Any vaccine,Time since discharge from non-infectious hosp admission,22-28,0.93,(0.73-1.18),0.93 (0.73-1.18)
all,BNT162b2,Age,Age,1.66,(1.56-1.76),1.66 (1.56-1.76)
all,BNT162b2,Age,Age²,1.00,(1.00-1.00),1.00 (1.00-1.00)
all,BNT162b2,Sex,Female,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Sex,Male,1.12,(1.11-1.14),1.12 (1.11-1.14)
all,BNT162b2,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
all,BNT162b2,IMD,2,1.15,(1.12-1.17),1.15 (1.12-1.17)
all,BNT162b2,IMD,3,1.17,(1.14-1.19),1.17 (1.14-1.19)
all,BNT162b2,IMD,4,1.27,(1.25-1.30),1.27 (1.25-1.30)
all,BNT162b2,IMD,5 least deprived,1.33,(1.30-1.35),1.33 (1.30-1.35)
all,BNT162b2,Ethnicity,White,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Ethnicity,Black,0.46,(0.42-0.51),0.46 (0.42-0.51)
all,BNT162b2,Ethnicity,South Asian,0.49,(0.47-0.52),0.49 (0.47-0.52)
all,BNT162b2,Ethnicity,Mixed,0.68,(0.58-0.79),0.68 (0.58-0.79)
all,BNT162b2,Ethnicity,Other,0.71,(0.63-0.79),0.71 (0.63-0.79)
all,BNT162b2,Body Mass Index,Not obese,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Body Mass Index,Obese I (30-34.9),1.01,(1.00-1.03),1.01 (1.00-1.03)
all,BNT162b2,Body Mass Index,Obese II (35-39.9),0.91,(0.87-0.95),0.91 (0.87-0.95)
all,BNT162b2,Body Mass Index,Obese III (40+),0.77,(0.72-0.83),0.77 (0.72-0.83)
all,BNT162b2,Heart failure,Heart failure,0.94,(0.91-0.96),0.94 (0.91-0.96)
all,BNT162b2,Other heart disease,Other heart disease,1.02,(0.99-1.05),1.02 (0.99-1.05)
all,BNT162b2,Dialysis,Dialysis,0.98,(0.83-1.15),0.98 (0.83-1.15)
all,BNT162b2,Diabetes,Diabetes,0.95,(0.92-0.98),0.95 (0.92-0.98)
all,BNT162b2,Chronic liver disease,Chronic liver disease,0.86,(0.79-0.94),0.86 (0.79-0.94)
all,BNT162b2,COPD,COPD,0.97,(0.93-1.00),0.97 (0.93-1.00)
all,BNT162b2,Other respiratory conditions,Other respiratory conditions,0.95,(0.91-0.98),0.95 (0.91-0.98)
all,BNT162b2,Lung Cancer,Lung Cancer,1.02,(0.94-1.11),1.02 (0.94-1.11)
all,BNT162b2,Haematological cancer,Haematological cancer,1.02,(0.96-1.07),1.02 (0.96-1.07)
all,BNT162b2,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.02,(0.99-1.06),1.02 (0.99-1.06)
all,BNT162b2,Immunosuppressed,Immunosuppressed,1.01,(0.97-1.05),1.01 (0.97-1.05)
all,BNT162b2,Dementia,Dementia,0.72,(0.69-0.75),0.72 (0.69-0.75)
all,BNT162b2,Other neurological conditions,Other neurological conditions,0.77,(0.73-0.81),0.77 (0.73-0.81)
all,BNT162b2,Learning disabilities,Learning disabilities,0.58,(0.43-0.78),0.58 (0.43-0.78)
all,BNT162b2,Serious mental illness,Serious mental illness,0.63,(0.58-0.69),0.63 (0.58-0.69)
all,BNT162b2,Morbidity count,0,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Morbidity count,1,1.02,(0.99-1.05),1.02 (0.99-1.05)
all,BNT162b2,Morbidity count,2,1.05,(0.99-1.12),1.05 (0.99-1.12)
all,BNT162b2,Morbidity count,3,1.09,(1.00-1.20),1.09 (1.00-1.20)
all,BNT162b2,Morbidity count,4+,1.13,(0.99-1.28),1.13 (0.99-1.28)
all,BNT162b2,Shielding criteria met,Shielding criteria met,1.01,(0.99-1.03),1.01 (0.99-1.03)
all,BNT162b2,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.86,(1.82-1.90),1.86 (1.82-1.90)
all,BNT162b2,Frailty,None,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Frailty,Mild,1.11,(1.08-1.14),1.11 (1.08-1.14)
all,BNT162b2,Frailty,Moderate,1.05,(1.02-1.08),1.05 (1.02-1.08)
all,BNT162b2,Frailty,Severe,0.91,(0.88-0.94),0.91 (0.88-0.94)
all,BNT162b2,region,Midlands,1,(NA-NA),1 (NA-NA)
all,BNT162b2,region,North East and Yorkshire,0.11,(0.05-0.24),0.11 (0.05-0.24)
all,BNT162b2,region,East of England,42.29,(19.86-90.09),42.29 (19.86-90.09)
all,BNT162b2,region,South East,1.67,(0.41-6.80),1.67 (0.41-6.80)
all,BNT162b2,region,South West,0.00,(0.00-0.00),0.00 (0.00-0.00)
all,BNT162b2,region,North West,1.14,(0.42-3.13),1.14 (0.42-3.13)
all,BNT162b2,region,London,0.01,(0.00-3.31),0.01 (0.00-3.31)
all,BNT162b2,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Time since suspected COVID,1-21,1.56,(1.38-1.76),1.56 (1.38-1.76)
all,BNT162b2,Time since suspected COVID,22-28,0.88,(0.64-1.22),0.88 (0.64-1.22)
all,BNT162b2,Time since suspected COVID,29+,1.24,(0.97-1.59),1.24 (0.97-1.59)
all,BNT162b2,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Time since discharge from infectious hosp admission,In hospital,0.88,(0.86-0.90),0.88 (0.86-0.90)
all,BNT162b2,Time since discharge from infectious hosp admission,1-21,0.47,(0.44-0.51),0.47 (0.44-0.51)
all,BNT162b2,Time since discharge from infectious hosp admission,22-28,0.66,(0.58-0.76),0.66 (0.58-0.76)
all,BNT162b2,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Time since discharge from non-infectious hosp admission,In hospital,0.95,(0.92-0.99),0.95 (0.92-0.99)
all,BNT162b2,Time since discharge from non-infectious hosp admission,1-21,0.48,(0.38-0.60),0.48 (0.38-0.60)
all,BNT162b2,Time since discharge from non-infectious hosp admission,22-28,0.80,(0.57-1.11),0.80 (0.57-1.11)
all,ChAdOx1,Age,Age,0.97,(0.91-1.04),0.97 (0.91-1.04)
all,ChAdOx1,Age,Age²,1.00,(1.00-1.00),1.00 (1.00-1.00)
all,ChAdOx1,Sex,Female,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Sex,Male,0.97,(0.95-0.99),0.97 (0.95-0.99)
all,ChAdOx1,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,IMD,2,1.08,(1.05-1.11),1.08 (1.05-1.11)
all,ChAdOx1,IMD,3,1.22,(1.18-1.25),1.22 (1.18-1.25)
all,ChAdOx1,IMD,4,1.32,(1.28-1.36),1.32 (1.28-1.36)
all,ChAdOx1,IMD,5 least deprived,1.34,(1.30-1.38),1.34 (1.30-1.38)
all,ChAdOx1,Ethnicity,White,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Ethnicity,Black,0.47,(0.42-0.52),0.47 (0.42-0.52)
all,ChAdOx1,Ethnicity,South Asian,0.46,(0.44-0.49),0.46 (0.44-0.49)
all,ChAdOx1,Ethnicity,Mixed,0.67,(0.56-0.80),0.67 (0.56-0.80)
all,ChAdOx1,Ethnicity,Other,0.60,(0.52-0.69),0.60 (0.52-0.69)
all,ChAdOx1,Body Mass Index,Not obese,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Body Mass Index,Obese I (30-34.9),0.99,(0.96-1.02),0.99 (0.96-1.02)
all,ChAdOx1,Body Mass Index,Obese II (35-39.9),1.02,(0.96-1.08),1.02 (0.96-1.08)
all,ChAdOx1,Body Mass Index,Obese III (40+),1.00,(0.92-1.08),1.00 (0.92-1.08)
all,ChAdOx1,Heart failure,Heart failure,1.00,(0.97-1.03),1.00 (0.97-1.03)
all,ChAdOx1,Other heart disease,Other heart disease,1.04,(1.00-1.08),1.04 (1.00-1.08)
all,ChAdOx1,Dialysis,Dialysis,1.01,(0.80-1.27),1.01 (0.80-1.27)
all,ChAdOx1,Diabetes,Diabetes,1.01,(0.96-1.05),1.01 (0.96-1.05)
all,ChAdOx1,Chronic liver disease,Chronic liver disease,1.07,(0.96-1.19),1.07 (0.96-1.19)
all,ChAdOx1,COPD,COPD,0.96,(0.92-1.00),0.96 (0.92-1.00)
all,ChAdOx1,Other respiratory conditions,Other respiratory conditions,0.98,(0.94-1.03),0.98 (0.94-1.03)
all,ChAdOx1,Lung Cancer,Lung Cancer,1.00,(0.88-1.13),1.00 (0.88-1.13)
all,ChAdOx1,Haematological cancer,Haematological cancer,1.01,(0.93-1.09),1.01 (0.93-1.09)
all,ChAdOx1,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.07,(1.02-1.12),1.07 (1.02-1.12)
all,ChAdOx1,Immunosuppressed,Immunosuppressed,1.05,(0.99-1.10),1.05 (0.99-1.10)
all,ChAdOx1,Dementia,Dementia,1.00,(0.95-1.05),1.00 (0.95-1.05)
all,ChAdOx1,Other neurological conditions,Other neurological conditions,1.00,(0.94-1.06),1.00 (0.94-1.06)
all,ChAdOx1,Learning disabilities,Learning disabilities,0.95,(0.75-1.21),0.95 (0.75-1.21)
all,ChAdOx1,Serious mental illness,Serious mental illness,0.84,(0.76-0.92),0.84 (0.76-0.92)
all,ChAdOx1,Morbidity count,0,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Morbidity count,1,0.97,(0.93-1.02),0.97 (0.93-1.02)
all,ChAdOx1,Morbidity count,2,0.93,(0.86-1.01),0.93 (0.86-1.01)
all,ChAdOx1,Morbidity count,3,0.92,(0.82-1.04),0.92 (0.82-1.04)
all,ChAdOx1,Morbidity count,4+,0.89,(0.75-1.05),0.89 (0.75-1.05)
all,ChAdOx1,Shielding criteria met,Shielding criteria met,1.04,(1.01-1.07),1.04 (1.01-1.07)
all,ChAdOx1,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,2.02,(1.96-2.08),2.02 (1.96-2.08)
all,ChAdOx1,Frailty,None,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Frailty,Mild,1.33,(1.27-1.40),1.33 (1.27-1.40)
all,ChAdOx1,Frailty,Moderate,1.38,(1.32-1.45),1.38 (1.32-1.45)
all,ChAdOx1,Frailty,Severe,1.43,(1.36-1.50),1.43 (1.36-1.50)
all,ChAdOx1,region,Midlands,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,region,North East and Yorkshire,0.06,(0.02-0.14),0.06 (0.02-0.14)
all,ChAdOx1,region,East of England,0.13,(0.05-0.32),0.13 (0.05-0.32)
all,ChAdOx1,region,South East,0.42,(0.11-1.60),0.42 (0.11-1.60)
all,ChAdOx1,region,South West,0.00,(0.00-1.77),0.00 (0.00-1.77)
all,ChAdOx1,region,North West,0.08,(0.01-0.48),0.08 (0.01-0.48)
all,ChAdOx1,region,London,0.00,(0.00-27 450 946 528.11),0.00 (0.00-27 450 946 528.11)
all,ChAdOx1,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Time since suspected COVID,1-21,1.19,(1.00-1.42),1.19 (1.00-1.42)
all,ChAdOx1,Time since suspected COVID,22-28,1.24,(0.89-1.73),1.24 (0.89-1.73)
all,ChAdOx1,Time since suspected COVID,29+,1.05,(0.89-1.25),1.05 (0.89-1.25)
all,ChAdOx1,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Time since discharge from infectious hosp admission,In hospital,0.07,(0.06-0.09),0.07 (0.06-0.09)
all,ChAdOx1,Time since discharge from infectious hosp admission,1-21,0.85,(0.80-0.90),0.85 (0.80-0.90)
all,ChAdOx1,Time since discharge from infectious hosp admission,22-28,1.18,(1.06-1.31),1.18 (1.06-1.31)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,In hospital,0.39,(0.29-0.52),0.39 (0.29-0.52)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,1-21,0.85,(0.71-1.02),0.85 (0.71-1.02)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,22-28,1.26,(0.95-1.68),1.26 (0.95-1.68)
