brand_descr,var_label,label,HR,CI
Any vaccine,Time since discharge from non-infectious hosp admission,In hospital, 0.98,( 0.95-      1.01)
Any vaccine,Time since discharge from non-infectious hosp admission,1-7, 0.60,( 0.40-      0.89)
Any vaccine,Time since discharge from non-infectious hosp admission,8-14, 0.65,( 0.42-      1.00)
Any vaccine,Time since discharge from non-infectious hosp admission,15-21, 0.94,( 0.62-      1.43)
Any vaccine,Time since discharge from non-infectious hosp admission,22-28, 0.56,( 0.27-      1.20)
BNT162b2,Age,Age, 0.55,( 0.41-      0.74)
BNT162b2,Age,Age², 1.01,( 1.00-      1.01)
BNT162b2,Sex,Female,1,(NA-NA)
BNT162b2,Sex,Male, 1.01,( 0.98-      1.03)
BNT162b2,IMD,1 most deprived,1,(NA-NA)
BNT162b2,IMD,2, 1.14,( 1.09-      1.19)
BNT162b2,IMD,3, 1.09,( 1.05-      1.14)
BNT162b2,IMD,4, 1.17,( 1.12-      1.22)
BNT162b2,IMD,5 least deprived, 1.41,( 1.35-      1.47)
BNT162b2,Ethnicity,White,1,(NA-NA)
BNT162b2,Ethnicity,Black, 0.42,( 0.33-      0.54)
BNT162b2,Ethnicity,South Asian, 0.58,( 0.54-      0.64)
BNT162b2,Ethnicity,Mixed, 0.47,( 0.33-      0.66)
BNT162b2,Ethnicity,Other, 0.68,( 0.54-      0.85)
BNT162b2,Body Mass Index,Not obese,1,(NA-NA)
BNT162b2,Body Mass Index,Obese I (30-34.9), 1.06,( 1.02-      1.10)
BNT162b2,Body Mass Index,Obese II (35-39.9), 0.96,( 0.87-      1.05)
BNT162b2,Body Mass Index,Obese III (40+), 0.93,( 0.83-      1.05)
BNT162b2,Heart failure,Heart failure, 0.98,( 0.91-      1.05)
BNT162b2,Other heart disease,Other heart disease, 1.02,( 0.94-      1.11)
BNT162b2,Dialysis,Dialysis, 0.90,( 0.60-      1.33)
BNT162b2,Diabetes,Diabetes, 1.00,( 0.92-      1.09)
BNT162b2,Chronic liver disease,Chronic liver disease, 0.91,( 0.77-      1.07)
BNT162b2,COPD,COPD, 0.94,( 0.86-      1.02)
BNT162b2,Other respiratory conditions,Other respiratory conditions, 0.94,( 0.86-      1.02)
BNT162b2,Lung Cancer,Lung Cancer, 0.88,( 0.73-      1.06)
BNT162b2,Haematological cancer,Haematological cancer, 0.97,( 0.86-      1.10)
BNT162b2,"Cancer excl. lung, haemo","Cancer excl. lung, haemo", 1.04,( 0.96-      1.14)
BNT162b2,Immunosuppressed,Immunosuppressed, 1.01,( 0.92-      1.10)
BNT162b2,Dementia,Dementia, 0.88,( 0.78-      0.98)
BNT162b2,Other neurological conditions,Other neurological conditions, 0.88,( 0.78-      0.99)
BNT162b2,Learning disabilities,Learning disabilities, 0.62,( 0.45-      0.87)
BNT162b2,Serious mental illness,Serious mental illness, 0.69,( 0.59-      0.81)
BNT162b2,Morbidity count,0,1,(NA-NA)
BNT162b2,Morbidity count,1, 1.01,( 0.93-      1.09)
BNT162b2,Morbidity count,2, 1.05,( 0.89-      1.22)
BNT162b2,Morbidity count,3, 1.09,( 0.86-      1.37)
BNT162b2,Morbidity count,4+, 1.04,( 0.74-      1.46)
BNT162b2,Shielding criteria met,Shielding criteria met, 1.12,( 1.07-      1.17)
BNT162b2,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years, 1.59,( 1.53-      1.65)
BNT162b2,Frailty,None,1,(NA-NA)
BNT162b2,Frailty,Mild, 1.06,( 1.02-      1.09)
BNT162b2,Frailty,Moderate, 1.01,( 0.96-      1.05)
BNT162b2,Frailty,Severe, 0.92,( 0.85-      0.99)
BNT162b2,region,East,1,(NA-NA)
BNT162b2,region,East Midlands, 0.12,( 0.08-      0.18)
BNT162b2,region,London, 0.00,( 0.00-      0.11)
BNT162b2,region,North East, 0.33,( 0.17-      0.64)
BNT162b2,region,North West, 0.15,( 0.08-      0.30)
BNT162b2,region,South East, 2.47,( 2.07-      2.95)
BNT162b2,region,South West, 0.38,( 0.18-      0.81)
BNT162b2,region,West Midlands, 0.36,( 0.12-      1.04)
BNT162b2,region,Yorkshire and The Humber, 0.30,( 0.26-      0.34)
BNT162b2,Time since positive SARS-CoV-2 test,No positive test,1,(NA-NA)
BNT162b2,Time since positive SARS-CoV-2 test,1-21, 0.02,( 0.01-      0.05)
BNT162b2,Time since positive SARS-CoV-2 test,22-28, 0.22,( 0.13-      0.36)
BNT162b2,Time since positive SARS-CoV-2 test,29+, 1.36,( 0.96-      1.94)
BNT162b2,Time since suspected COVID,Not suspected,1,(NA-NA)
BNT162b2,Time since suspected COVID,1-21, 0.94,( 0.70-      1.26)
BNT162b2,Time since suspected COVID,22-28, 0.57,( 0.26-      1.26)
BNT162b2,Time since suspected COVID,29+, 1.04,( 0.51-      2.12)
BNT162b2,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA)
BNT162b2,Time since discharge from infectious hosp admission,In hospital, 0.90,( 0.87-      0.94)
BNT162b2,Time since discharge from infectious hosp admission,1-7, 0.41,( 0.28-      0.59)
BNT162b2,Time since discharge from infectious hosp admission,8-14, 0.44,( 0.29-      0.65)
BNT162b2,Time since discharge from infectious hosp admission,15-21, 0.70,( 0.47-      1.05)
BNT162b2,Time since discharge from infectious hosp admission,22-28, 0.72,( 0.41-      1.26)
BNT162b2,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA)
BNT162b2,Time since discharge from non-infectious hosp admission,In hospital, 0.96,( 0.92-      1.01)
BNT162b2,Time since discharge from non-infectious hosp admission,1-7, 0.43,( 0.19-      0.96)
BNT162b2,Time since discharge from non-infectious hosp admission,8-14, 0.41,( 0.15-      1.07)
BNT162b2,Time since discharge from non-infectious hosp admission,15-21, 0.59,( 0.23-      1.53)
BNT162b2,Time since discharge from non-infectious hosp admission,22-28, 0.50,( 0.13-      1.93)
ChAdOx1,Age,Age, 1.55,( 1.19-      2.01)
ChAdOx1,Age,Age², 1.00,( 1.00-      1.00)
ChAdOx1,Sex,Female,1,(NA-NA)
ChAdOx1,Sex,Male, 0.98,( 0.96-      1.00)
ChAdOx1,IMD,1 most deprived,1,(NA-NA)
ChAdOx1,IMD,2, 1.12,( 1.08-      1.16)
ChAdOx1,IMD,3, 1.20,( 1.16-      1.24)
ChAdOx1,IMD,4, 1.21,( 1.17-      1.25)
ChAdOx1,IMD,5 least deprived, 1.23,( 1.19-      1.28)
ChAdOx1,Ethnicity,White,1,(NA-NA)
ChAdOx1,Ethnicity,Black, 0.43,( 0.36-      0.52)
ChAdOx1,Ethnicity,South Asian, 0.60,( 0.56-      0.64)
ChAdOx1,Ethnicity,Mixed, 0.66,( 0.51-      0.85)
ChAdOx1,Ethnicity,Other, 0.70,( 0.59-      0.84)
ChAdOx1,Body Mass Index,Not obese,1,(NA-NA)
ChAdOx1,Body Mass Index,Obese I (30-34.9), 1.02,( 0.99-      1.05)
ChAdOx1,Body Mass Index,Obese II (35-39.9), 0.99,( 0.92-      1.07)
ChAdOx1,Body Mass Index,Obese III (40+), 0.94,( 0.86-      1.03)
ChAdOx1,Heart failure,Heart failure, 0.90,( 0.85-      0.96)
ChAdOx1,Other heart disease,Other heart disease, 0.96,( 0.89-      1.02)
ChAdOx1,Dialysis,Dialysis, 1.05,( 0.78-      1.42)
ChAdOx1,Diabetes,Diabetes, 0.96,( 0.90-      1.03)
ChAdOx1,Chronic liver disease,Chronic liver disease, 0.97,( 0.86-      1.10)
ChAdOx1,COPD,COPD, 0.93,( 0.86-      0.99)
ChAdOx1,Other respiratory conditions,Other respiratory conditions, 0.91,( 0.85-      0.97)
ChAdOx1,Lung Cancer,Lung Cancer, 1.02,( 0.89-      1.18)
ChAdOx1,Haematological cancer,Haematological cancer, 0.98,( 0.88-      1.09)
ChAdOx1,"Cancer excl. lung, haemo","Cancer excl. lung, haemo", 1.01,( 0.94-      1.08)
ChAdOx1,Immunosuppressed,Immunosuppressed, 0.98,( 0.91-      1.06)
ChAdOx1,Dementia,Dementia, 0.84,( 0.76-      0.93)
ChAdOx1,Other neurological conditions,Other neurological conditions, 0.90,( 0.82-      0.99)
ChAdOx1,Learning disabilities,Learning disabilities, 0.66,( 0.53-      0.83)
ChAdOx1,Serious mental illness,Serious mental illness, 0.77,( 0.68-      0.86)
ChAdOx1,Morbidity count,0,1,(NA-NA)
ChAdOx1,Morbidity count,1, 1.06,( 0.99-      1.14)
ChAdOx1,Morbidity count,2, 1.10,( 0.97-      1.25)
ChAdOx1,Morbidity count,3, 1.21,( 0.99-      1.47)
ChAdOx1,Morbidity count,4+, 1.13,( 0.85-      1.50)
ChAdOx1,Shielding criteria met,Shielding criteria met, 1.07,( 1.02-      1.11)
ChAdOx1,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years, 1.70,( 1.65-      1.76)
ChAdOx1,Frailty,None,1,(NA-NA)
ChAdOx1,Frailty,Mild, 1.07,( 1.04-      1.10)
ChAdOx1,Frailty,Moderate, 1.05,( 1.01-      1.09)
ChAdOx1,Frailty,Severe, 1.02,( 0.96-      1.08)
ChAdOx1,region,East,1,(NA-NA)
ChAdOx1,region,East Midlands, 2.52,( 0.23-     27.07)
ChAdOx1,region,London,41.36,( 7.57-    225.81)
ChAdOx1,region,North East,54.62,(12.06-    247.44)
ChAdOx1,region,North West,18.98,( 5.57-     64.71)
ChAdOx1,region,South East, 0.00,( 0.00-      0.00)
ChAdOx1,region,South West,10.54,( 1.61-     69.21)
ChAdOx1,region,West Midlands, 0.00,( 0.00-527 121.89)
ChAdOx1,region,Yorkshire and The Humber, 4.03,( 1.42-     11.39)
ChAdOx1,Time since positive SARS-CoV-2 test,No positive test,1,(NA-NA)
ChAdOx1,Time since positive SARS-CoV-2 test,1-21, 0.09,( 0.06-      0.12)
ChAdOx1,Time since positive SARS-CoV-2 test,22-28, 0.23,( 0.16-      0.31)
ChAdOx1,Time since positive SARS-CoV-2 test,29+, 1.24,( 1.03-      1.48)
ChAdOx1,Time since suspected COVID,Not suspected,1,(NA-NA)
ChAdOx1,Time since suspected COVID,1-21, 1.29,( 1.04-      1.61)
ChAdOx1,Time since suspected COVID,22-28, 0.59,( 0.34-      1.04)
ChAdOx1,Time since suspected COVID,29+, 1.11,( 0.72-      1.71)
ChAdOx1,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA)
ChAdOx1,Time since discharge from infectious hosp admission,In hospital, 0.95,( 0.93-      0.98)
ChAdOx1,Time since discharge from infectious hosp admission,1-7, 0.45,( 0.36-      0.58)
ChAdOx1,Time since discharge from infectious hosp admission,8-14, 0.83,( 0.67-      1.02)
ChAdOx1,Time since discharge from infectious hosp admission,15-21, 0.81,( 0.64-      1.04)
ChAdOx1,Time since discharge from infectious hosp admission,22-28, 0.77,( 0.55-      1.06)
ChAdOx1,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA)
ChAdOx1,Time since discharge from non-infectious hosp admission,In hospital, 0.99,( 0.96-      1.03)
ChAdOx1,Time since discharge from non-infectious hosp admission,1-7, 0.70,( 0.44-      1.11)
ChAdOx1,Time since discharge from non-infectious hosp admission,8-14, 0.81,( 0.51-      1.28)
ChAdOx1,Time since discharge from non-infectious hosp admission,15-21, 1.11,( 0.70-      1.76)
ChAdOx1,Time since discharge from non-infectious hosp admission,22-28, 0.60,( 0.26-      1.37)
