outcome_descr,brand_descr,term,strata,1_HR_ECI,2_HR_ECI,3_HR_ECI,1_VE_ECI,2_VE_ECI,3_VE_ECI
COVID-19 hospitalisation,Any vaccine,8-14,all,0.44 (0.38-0.50),0.40 (0.35-0.45),0.53 (0.47-0.61),56.4 (50.2-61.9),60.3 (54.8-65.0),46.6 (39.2-53.1)
COVID-19 hospitalisation,Any vaccine,15-21,all,0.35 (0.30-0.42),0.31 (0.27-0.36),0.44 (0.37-0.52),64.7 (58.4-70.0),68.9 (63.6-73.3),56.0 (48.3-62.5)
COVID-19 hospitalisation,Any vaccine,22-28,all,0.26 (0.21-0.31),0.22 (0.18-0.27),0.34 (0.26-0.43),74.5 (68.8-79.1),78.1 (73.5-82.0),66.3 (56.8-73.7)
COVID-19 hospitalisation,Any vaccine,29-35,all,0.24 (0.19-0.31),0.20 (0.16-0.25),0.29 (0.23-0.36),75.8 (69.4-80.9),80.0 (74.9-84.0),71.3 (63.6-77.4)
COVID-19 hospitalisation,Any vaccine,36+,all,0.19 (0.15-0.25),0.15 (0.12-0.19),0.21 (0.16-0.27),80.9 (75.3-85.2),85.2 (81.2-88.3),78.8 (72.5-83.7)
COVID-19 hospitalisation,BNT162b2,1-3,all,0.26 (0.19-0.34),0.24 (0.18-0.31),0.35 (0.22-0.54),74.4 (65.8-80.8),76.5 (68.6-82.4),65.4 (45.9-77.8)
COVID-19 hospitalisation,BNT162b2,4-7,all,0.28 (0.22-0.36),0.26 (0.20-0.33),0.41 (0.26-0.65),71.5 (63.7-77.6),74.0 (67.0-79.6),58.9 (34.6-74.1)
COVID-19 hospitalisation,BNT162b2,8-14,all,0.45 (0.38-0.53),0.40 (0.34-0.47),0.53 (0.45-0.63),55.3 (47.0-62.3),59.8 (52.5-66.0),46.6 (36.8-55.0)
COVID-19 hospitalisation,BNT162b2,15-21,all,0.27 (0.21-0.34),0.24 (0.19-0.29),0.35 (0.27-0.45),73.1 (66.4-78.5),76.4 (70.6-81.0),65.3 (55.4-73.0)
COVID-19 hospitalisation,BNT162b2,22-28,all,0.19 (0.15-0.26),0.17 (0.13-0.22),0.32 (0.19-0.54),80.7 (74.4-85.5),83.2 (77.9-87.3),67.7 (45.8-80.8)
COVID-19 hospitalisation,BNT162b2,29-35,all,0.21 (0.16-0.29),0.18 (0.13-0.25),0.27 (0.20-0.37),78.5 (70.7-84.3),81.7 (75.2-86.5),73.0 (62.7-80.4)
COVID-19 hospitalisation,BNT162b2,36+,all,0.20 (0.15-0.27),0.16 (0.13-0.22),0.24 (0.17-0.32),79.6 (72.7-84.8),83.5 (78.3-87.5),76.4 (67.8-82.6)
COVID-19 hospitalisation,ChAdOx1,1-3,all,0.33 (0.27-0.41),0.33 (0.26-0.40),0.46 (0.34-0.61),66.8 (58.9-73.2),67.5 (59.8-73.7),54.4 (39.5-65.7)
COVID-19 hospitalisation,ChAdOx1,4-7,all,0.30 (0.24-0.37),0.30 (0.24-0.36),0.38 (0.31-0.47),70.2 (63.4-75.7),70.5 (63.9-75.9),61.9 (53.3-68.9)
COVID-19 hospitalisation,ChAdOx1,8-14,all,0.35 (0.29-0.41),0.35 (0.29-0.41),0.48 (0.41-0.57),65.3 (58.7-70.8),65.3 (59.1-70.5),51.7 (42.8-59.1)
COVID-19 hospitalisation,ChAdOx1,15-21,all,0.33 (0.27-0.40),0.33 (0.27-0.39),0.47 (0.39-0.57),67.0 (60.0-72.8),67.4 (60.8-73.0),53.3 (43.4-61.5)
COVID-19 hospitalisation,ChAdOx1,22-28,all,0.24 (0.19-0.31),0.23 (0.18-0.29),0.33 (0.26-0.42),75.8 (69.3-80.9),76.8 (70.7-81.6),66.8 (57.8-73.9)
COVID-19 hospitalisation,ChAdOx1,29-35,all,0.22 (0.16-0.29),0.20 (0.15-0.27),0.28 (0.21-0.38),78.2 (70.8-83.7),79.7 (73.0-84.7),71.5 (61.8-78.8)
COVID-19 hospitalisation,ChAdOx1,36+,all,0.17 (0.12-0.23),0.15 (0.11-0.20),0.20 (0.15-0.28),83.4 (77.4-87.9),85.0 (79.8-88.8),79.7 (72.2-85.3)
COVID-19 death,Any vaccine,1-3,all,0.01 (0.00-0.03),0.01 (0.00-0.03),0.01 (0.00-0.06),99.3 (97.4-99.8),99.3 (97.4-99.8),98.6 (94.5-99.7)
COVID-19 death,Any vaccine,4-7,all,0.03 (0.02-0.05),0.03 (0.02-0.05),0.06 (0.04-0.11),97.3 (95.3-98.4),97.3 (95.2-98.4),93.7 (88.7-96.4)
COVID-19 death,Any vaccine,8-14,all,0.06 (0.05-0.08),0.06 (0.05-0.08),0.29 (0.17-0.48),93.8 (91.7-95.3),93.7 (91.6-95.2),71.4 (51.5-83.2)
COVID-19 death,Any vaccine,15-21,all,0.07 (0.06-0.09),0.07 (0.06-0.09),0.26 (0.20-0.35),92.7 (90.6-94.4),92.8 (90.7-94.4),73.7 (65.5-79.9)
COVID-19 death,Any vaccine,22-28,all,0.07 (0.06-0.10),0.07 (0.05-0.09),0.28 (0.20-0.38),92.8 (90.5-94.5),93.2 (91.1-94.8),72.3 (62.3-79.7)
COVID-19 death,Any vaccine,29-35,all,0.06 (0.04-0.08),0.05 (0.04-0.07),0.20 (0.13-0.29),94.0 (91.7-95.6),94.8 (92.9-96.3),80.5 (70.9-86.9)
COVID-19 death,Any vaccine,36+,all,0.07 (0.05-0.09),0.05 (0.04-0.07),0.17 (0.10-0.27),93.3 (90.9-95.0),95.0 (93.3-96.3),83.4 (73.0-89.8)
COVID-19 death,BNT162b2,1-3,all,0.01 (0.00-0.07),0.01 (0.00-0.06),0.02 (0.00-0.12),99.0 (93.1-99.9),99.1 (93.5-99.9),98.3 (88.1-99.8)
COVID-19 death,BNT162b2,4-7,all,0.02 (0.01-0.05),0.02 (0.01-0.05),0.04 (0.01-0.11),98.2 (94.5-99.4),98.4 (94.9-99.5),96.4 (88.6-98.8)
COVID-19 death,BNT162b2,8-14,all,0.07 (0.05-0.11),0.07 (0.05-0.10),0.32 (0.12-0.83),92.7 (89.3-95.1),93.3 (90.1-95.5),68.0 (17.3-87.6)
COVID-19 death,BNT162b2,15-21,all,0.06 (0.04-0.09),0.05 (0.04-0.08),0.19 (0.13-0.28),93.9 (91.0-95.8),94.6 (92.0-96.3),80.8 (71.5-87.0)
COVID-19 death,BNT162b2,22-28,all,0.06 (0.04-0.09),0.05 (0.03-0.07),0.21 (0.14-0.32),94.3 (91.5-96.2),95.2 (92.8-96.8),79.0 (67.7-86.4)
COVID-19 death,BNT162b2,29-35,all,0.05 (0.03-0.08),0.04 (0.02-0.06),0.16 (0.10-0.26),95.2 (92.3-97.0),96.2 (93.9-97.6),84.2 (73.8-90.4)
COVID-19 death,BNT162b2,36+,all,0.06 (0.04-0.09),0.04 (0.03-0.06),0.17 (0.11-0.26),93.8 (91.2-95.6),95.6 (93.7-96.9),82.9 (74.2-88.7)
COVID-19 death,ChAdOx1,1-3,all,0.00 (0.00-0.03),0.01 (0.00-0.04),0.01 (0.00-0.08),99.5 (96.6-99.9),99.5 (96.4-99.9),98.9 (92.1-99.8)
COVID-19 death,ChAdOx1,4-7,all,0.03 (0.02-0.06),0.03 (0.02-0.06),0.07 (0.04-0.15),97.0 (94.3-98.4),96.8 (93.9-98.3),92.5 (85.3-96.2)
COVID-19 death,ChAdOx1,8-14,all,0.05 (0.03-0.07),0.05 (0.04-0.07),0.23 (0.13-0.43),95.2 (93.1-96.7),94.8 (92.5-96.3),76.8 (57.0-87.5)
COVID-19 death,ChAdOx1,15-21,all,0.07 (0.05-0.09),0.07 (0.05-0.10),0.25 (0.18-0.35),93.3 (90.9-95.1),93.0 (90.5-94.8),74.8 (65.0-81.8)
COVID-19 death,ChAdOx1,22-28,all,0.07 (0.05-0.10),0.07 (0.05-0.10),0.26 (0.19-0.38),92.9 (90.2-94.8),93.0 (90.3-94.9),73.6 (62.4-81.5)
COVID-19 death,ChAdOx1,29-35,all,0.06 (0.04-0.09),0.06 (0.04-0.09),0.19 (0.12-0.31),93.7 (90.6-95.7),94.2 (91.5-96.1),80.8 (69.3-88.0)
COVID-19 death,ChAdOx1,36+,all,0.07 (0.05-0.10),0.06 (0.04-0.08),0.16 (0.09-0.27),93.2 (89.8-95.5),94.5 (91.7-96.3),84.4 (72.7-91.1)
Non-COVID-19 death,Any vaccine,1-3,all,0.18 (0.14-0.23),0.18 (0.14-0.23),0.21 (0.16-0.27),81.9 (76.7-85.8),81.7 (76.5-85.7),79.1 (73.1-83.8)
Non-COVID-19 death,Any vaccine,4-7,all,0.25 (0.21-0.30),0.26 (0.22-0.31),0.29 (0.24-0.35),74.6 (69.7-78.8),74.2 (69.2-78.4),70.9 (65.1-75.8)
Non-COVID-19 death,Any vaccine,8-14,all,0.27 (0.23-0.31),0.27 (0.24-0.31),0.32 (0.28-0.38),73.3 (69.3-76.7),72.7 (68.6-76.2),67.7 (62.2-72.3)
Non-COVID-19 death,Any vaccine,15-21,all,0.26 (0.22-0.30),0.26 (0.23-0.30),0.32 (0.28-0.37),74.4 (70.4-77.8),74.0 (70.0-77.4),68.1 (63.0-72.4)
Non-COVID-19 death,Any vaccine,22-28,all,0.21 (0.18-0.24),0.21 (0.18-0.24),0.25 (0.22-0.30),79.4 (76.0-82.3),79.5 (76.1-82.4),74.7 (70.3-78.3)
Non-COVID-19 death,Any vaccine,29-35,all,0.23 (0.20-0.27),0.22 (0.19-0.26),0.29 (0.25-0.34),76.9 (73.2-80.0),77.8 (74.2-80.9),70.7 (65.5-75.2)
Non-COVID-19 death,Any vaccine,36+,all,0.23 (0.20-0.26),0.19 (0.17-0.22),0.25 (0.22-0.29),77.3 (74.1-80.0),81.0 (78.2-83.5),74.6 (70.6-78.1)
Non-COVID-19 death,BNT162b2,1-3,all,0.12 (0.07-0.19),0.12 (0.07-0.19),0.12 (0.08-0.20),88.2 (80.7-92.8),88.4 (81.0-92.9),87.7 (79.8-92.5)
Non-COVID-19 death,BNT162b2,4-7,all,0.19 (0.14-0.26),0.19 (0.14-0.26),0.22 (0.16-0.30),80.7 (73.6-85.9),80.9 (73.8-86.0),77.9 (69.7-83.9)
Non-COVID-19 death,BNT162b2,8-14,all,0.19 (0.15-0.24),0.19 (0.15-0.24),0.23 (0.18-0.29),80.9 (76.1-84.7),81.0 (76.1-84.8),76.9 (70.8-81.7)
Non-COVID-19 death,BNT162b2,15-21,all,0.17 (0.14-0.21),0.17 (0.14-0.21),0.21 (0.17-0.27),82.8 (78.6-86.2),83.1 (78.9-86.5),78.6 (73.0-83.0)
Non-COVID-19 death,BNT162b2,22-28,all,0.18 (0.14-0.22),0.17 (0.14-0.21),0.22 (0.18-0.27),82.2 (78.0-85.5),82.9 (78.9-86.2),78.2 (72.8-82.5)
Non-COVID-19 death,BNT162b2,29-35,all,0.18 (0.15-0.23),0.17 (0.14-0.21),0.22 (0.18-0.27),81.7 (77.5-85.2),83.0 (78.9-86.3),78.0 (72.6-82.4)
Non-COVID-19 death,BNT162b2,36+,all,0.24 (0.21-0.28),0.19 (0.17-0.23),0.26 (0.22-0.31),76.2 (72.4-79.5),80.5 (77.1-83.4),73.7 (68.8-77.8)
Non-COVID-19 death,ChAdOx1,1-3,all,0.22 (0.16-0.29),0.22 (0.17-0.29),0.25 (0.19-0.33),78.2 (71.1-83.6),78.0 (70.8-83.4),75.1 (66.8-81.3)
Non-COVID-19 death,ChAdOx1,4-7,all,0.27 (0.22-0.34),0.28 (0.23-0.35),0.31 (0.25-0.39),72.7 (66.3-77.9),71.8 (65.2-77.1),68.7 (61.1-74.7)
Non-COVID-19 death,ChAdOx1,8-14,all,0.27 (0.23-0.32),0.29 (0.25-0.34),0.34 (0.28-0.41),72.8 (67.9-76.9),71.1 (66.0-75.4),66.2 (59.4-71.9)
Non-COVID-19 death,ChAdOx1,15-21,all,0.26 (0.22-0.30),0.27 (0.23-0.32),0.33 (0.28-0.39),74.2 (69.7-78.1),72.6 (67.8-76.7),67.0 (61.0-72.1)
Non-COVID-19 death,ChAdOx1,22-28,all,0.19 (0.16-0.22),0.20 (0.16-0.23),0.24 (0.20-0.28),81.2 (77.6-84.2),80.5 (76.7-83.7),76.4 (71.6-80.4)
Non-COVID-19 death,ChAdOx1,29-35,all,0.24 (0.20-0.28),0.24 (0.20-0.28),0.31 (0.26-0.37),76.3 (72.0-79.9),76.2 (71.8-80.0),69.1 (62.7-74.3)
Non-COVID-19 death,ChAdOx1,36+,all,0.22 (0.19-0.26),0.20 (0.17-0.24),0.26 (0.22-0.31),77.6 (74.2-80.6),79.8 (76.4-82.6),73.6 (68.9-77.5)
Any death,Any vaccine,1-3,all,0.10 (0.08-0.13),0.11 (0.08-0.13),0.15 (0.12-0.19),89.5 (86.6-91.8),89.5 (86.6-91.7),85.0 (80.9-88.3)
Any death,Any vaccine,4-7,all,0.15 (0.13-0.18),0.16 (0.13-0.18),0.23 (0.19-0.27),84.5 (81.7-86.9),84.4 (81.6-86.8),77.4 (73.1-80.9)
Any death,Any vaccine,8-14,all,0.18 (0.16-0.20),0.18 (0.16-0.21),0.31 (0.26-0.37),82.0 (79.6-84.1),81.7 (79.4-83.8),68.8 (63.2-73.7)
Any death,Any vaccine,15-21,all,0.18 (0.16-0.21),0.18 (0.16-0.21),0.31 (0.27-0.35),81.8 (79.3-83.9),81.7 (79.3-83.8),69.2 (65.0-73.0)
Any death,Any vaccine,22-28,all,0.16 (0.14-0.18),0.15 (0.13-0.17),0.26 (0.22-0.30),84.3 (82.1-86.3),84.7 (82.5-86.6),74.2 (70.3-77.6)
Any death,Any vaccine,29-35,all,0.17 (0.15-0.20),0.16 (0.14-0.18),0.28 (0.24-0.32),82.7 (80.3-84.8),83.8 (81.5-85.9),72.3 (67.7-76.2)
Any death,Any vaccine,36+,all,0.18 (0.16-0.20),0.15 (0.13-0.17),0.24 (0.21-0.28),81.8 (79.5-83.8),85.2 (83.3-86.9),75.6 (71.8-78.8)
Any death,BNT162b2,1-3,all,0.07 (0.04-0.12),0.07 (0.04-0.11),0.09 (0.06-0.14),92.9 (88.5-95.6),93.1 (88.8-95.7),91.1 (85.6-94.5)
Any death,BNT162b2,4-7,all,0.12 (0.09-0.16),0.11 (0.08-0.15),0.17 (0.12-0.22),88.4 (84.3-91.4),88.6 (84.7-91.6),83.4 (77.5-87.8)
Any death,BNT162b2,8-14,all,0.14 (0.12-0.17),0.14 (0.11-0.17),0.26 (0.18-0.37),85.9 (82.8-88.4),86.3 (83.3-88.7),74.4 (63.5-82.0)
Any death,BNT162b2,15-21,all,0.13 (0.11-0.15),0.12 (0.10-0.15),0.21 (0.18-0.26),87.2 (84.5-89.4),87.8 (85.3-90.0),78.5 (73.8-82.4)
Any death,BNT162b2,22-28,all,0.13 (0.11-0.16),0.12 (0.10-0.15),0.22 (0.18-0.27),86.8 (84.1-89.0),87.8 (85.3-89.9),77.8 (72.9-81.7)
Any death,BNT162b2,29-35,all,0.13 (0.11-0.16),0.12 (0.10-0.15),0.21 (0.17-0.26),86.6 (83.8-88.9),88.0 (85.4-90.1),78.7 (73.9-82.6)
Any death,BNT162b2,36+,all,0.19 (0.16-0.21),0.15 (0.13-0.17),0.25 (0.22-0.30),81.3 (78.6-83.6),85.2 (82.9-87.2),74.6 (70.2-78.3)
Any death,ChAdOx1,1-3,all,0.12 (0.09-0.16),0.12 (0.09-0.16),0.18 (0.13-0.23),87.8 (84.0-90.8),87.7 (83.8-90.7),82.3 (76.5-86.6)
Any death,ChAdOx1,4-7,all,0.16 (0.13-0.20),0.17 (0.14-0.21),0.25 (0.20-0.30),83.7 (80.1-86.6),83.1 (79.4-86.1),75.4 (69.9-79.9)
Any death,ChAdOx1,8-14,all,0.17 (0.15-0.20),0.18 (0.16-0.21),0.31 (0.26-0.37),82.6 (79.9-85.0),81.6 (78.7-84.1),69.2 (63.0-74.4)
Any death,ChAdOx1,15-21,all,0.18 (0.16-0.21),0.19 (0.16-0.22),0.31 (0.27-0.36),82.0 (79.3-84.4),81.1 (78.2-83.6),68.8 (63.7-73.1)
Any death,ChAdOx1,22-28,all,0.15 (0.13-0.17),0.15 (0.13-0.17),0.24 (0.21-0.29),85.4 (82.9-87.4),85.2 (82.7-87.3),75.8 (71.4-79.5)
Any death,ChAdOx1,29-35,all,0.18 (0.16-0.21),0.18 (0.15-0.21),0.29 (0.25-0.35),81.8 (78.8-84.3),82.3 (79.3-84.8),70.8 (65.3-75.4)
Any death,ChAdOx1,36+,all,0.19 (0.16-0.21),0.16 (0.14-0.19),0.25 (0.22-0.30),81.4 (78.7-83.7),83.6 (81.1-85.8),74.6 (70.3-78.3)
