term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,model,hr,hr.ll,hr.ul
imd5 most deprived,-0.38087228006814616,0.0258059223610541,0.025814834614675788,-14.754008141180167,2.8992237330166282e-49,-0.43146842617976866,-0.3302761339565237,Minimally adjusted,0.6832651506257722,0.6495545711336793,0.7187252415834058
"tt(vaxtime)Dose 1 (0,1]",-1.487714175883255,0.12369095562979009,0.12369181655348636,-12.027587736493006,2.5448794971698293e-33,-1.7301456815104235,-1.2452826702560866,'Fully' adjusted (temp),0.22588840702475088,0.1772585847904301,0.2878595273030427
"tt(vaxtime)Dose 1 (1,2]",-1.4527823017524775,0.12106157040773251,0.12123430118258761,-11.983261235320542,4.348732528647237e-33,-1.690397165761231,-1.215167437743724,'Fully' adjusted (temp),0.23391854985681104,0.18444625370696824,0.2966603379976711
"tt(vaxtime)Dose 1 (2,3]",-1.0464736179096195,0.09941264762574256,0.09948556891592056,-10.518848404978598,7.073279784358353e-26,-1.2414617499663012,-0.8514854858529377,'Fully' adjusted (temp),0.3511739416850029,0.2889615195831493,0.42678048446203337
"tt(vaxtime)Dose 1 (3, Inf]",-0.7492451895276724,0.0265720081529406,0.026697243023626787,-28.06451545819162,2.6568578176026532e-173,-0.8015708243404941,-0.6969195547148507,'Fully' adjusted (temp),0.47272323455845183,0.4486237013105079,0.49811736615479374
"tt(vaxtime)Dose 2 (0,1]",-2.7378587004843515,0.4475613544979564,0.44743077995307323,-6.1190665085032805,9.412511590269844e-10,-3.614806914767041,-1.860910486201662,'Fully' adjusted (temp),0.06470875948421614,0.026922122979793676,0.15553095709163953
"tt(vaxtime)Dose 2 (1,2]",-2.285768754200189,0.3539960698591708,0.35405788696543,-6.455918194030713,1.0756470573752628e-10,-2.979709461094785,-1.5918280473055928,'Fully' adjusted (temp),0.10169585293423568,0.05080759330323407,0.20355316659652498
"tt(vaxtime)Dose 2 (2,3]",-1.9467318928847501,0.3020430710532801,0.3019687655332728,-6.446798858308566,1.1423723360907154e-10,-2.5385797977859847,-1.3548839879835155,'Fully' adjusted (temp),0.1427397991013658,0.07897848559968662,0.25797722117349786
"tt(vaxtime)Dose 2 (3, Inf]",-1.957608033694521,0.1002801508459319,0.10033835391750562,-19.510067260062804,9.016341050575655e-85,-2.1542675936408653,-1.7609484737481766,'Fully' adjusted (temp),0.1411957528001383,0.11598810994065945,0.17188176114773593
age,0.05713015600482738,0.0017026303680048277,0.001696397108345144,33.67734814200347,1.2407518789746601e-248,0.05380527876899309,0.060455033240661746,'Fully' adjusted (temp),1.0587936097737822,1.0552790969028067,1.0623198274162788
sexMale,0.043867339275212046,0.016007775734117942,0.016016803773913964,2.738832284794381,0.006165781813541211,0.012474980730895511,0.07525969781952872,'Fully' adjusted (temp),1.0448437359667002,1.012553117884782,1.078164111399315
imd2,-0.06348425902400283,0.025868297492647883,0.025873342238090593,-2.453655134300417,0.014141252785067091,-0.11419507797033931,-0.012773440077666325,'Fully' adjusted (temp),0.9384888919155173,0.8920839129878749,0.9873077940603853
imd3,-0.17880797620451877,0.025008979373068056,0.02502817733699767,-7.144266791661154,9.047752258704735e-13,-0.22786230238371583,-0.12975365002532174,'Fully' adjusted (temp),0.8362664670411728,0.7962338917961557,0.8783117763549857
imd4,-0.3052551061273142,0.02569114834888258,0.025721487688622244,-11.867708035501465,1.7417410387587883e-32,-0.3556682956258042,-0.25484191662882416,'Fully' adjusted (temp),0.7369353536858706,0.7007050086073778,0.7750390090566868
imd5 most deprived,-0.3216941397791754,0.02590089842147201,0.0259375441616398,-12.402644513081672,2.528391351008387e-35,-0.3725307921834065,-0.27085748737494425,'Fully' adjusted (temp),0.7249198805798145,0.6889884357729631,0.7627251866285595
chronic_cardiac_diseaseTRUE,0.289257135656692,0.016193665959661735,0.01627054180065127,17.777965798601354,1.0471079433670889e-70,0.25736745971846203,0.321146811594922,'Fully' adjusted (temp),1.3354350723579465,1.2935203560660575,1.3787079763533303
current_copdTRUE,0.3313864501296022,0.02255907526361749,0.022627965660016867,14.644995273046353,1.4501134413810884e-48,0.28703645239256,0.37573644786664445,'Fully' adjusted (temp),1.3928979739138625,1.33247278441142,1.456063334599628
dementiaTRUE,0.9493889463682788,0.019319505528050444,0.019423266964260555,48.87895265586296,0,0.9113200426562216,0.987457850080336,'Fully' adjusted (temp),2.5841301346742265,2.48760411053509,2.684401639574008
dialysisTRUE,1.1428121901945978,0.1063769015140176,0.10634490887842131,10.746280214515172,6.169993960621619e-27,0.9343799988536983,1.3512443815354973,'Fully' adjusted (temp),3.135573808010406,2.5456346719504075,3.8622286276247006
