outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.38,(0.35-0.41),62.4,(59.4-65.1),0.38 (0.35-0.41),62.4 (59.4-65.1)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.34,(0.31-0.37),66.0,(63.1-68.7),0.34 (0.31-0.37),66.0 (63.1-68.7)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.29,(0.26-0.33),70.5,(67.2-73.5),0.29 (0.26-0.33),70.5 (67.2-73.5)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.28,(0.25-0.32),71.9,(68.2-75.1),0.28 (0.25-0.32),71.9 (68.2-75.1)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.27,(0.24-0.30),73.4,(70.2-76.2),0.27 (0.24-0.30),73.4 (70.2-76.2)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.22,(0.18-0.25),78.5,(74.8-81.7),0.22 (0.18-0.25),78.5 (74.8-81.7)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.32,(0.28-0.35),68.3,(64.6-71.6),0.32 (0.28-0.35),68.3 (64.6-71.6)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.44,(0.41-0.48),55.8,(52.3-59.1),0.44 (0.41-0.48),55.8 (52.3-59.1)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.40,(0.37-0.44),59.6,(56.2-62.8),0.40 (0.37-0.44),59.6 (56.2-62.8)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.37,(0.34-0.42),62.5,(58.3-66.4),0.37 (0.34-0.42),62.5 (58.3-66.4)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.37,(0.33-0.42),63.1,(58.2-67.4),0.37 (0.33-0.42),63.1 (58.2-67.4)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.36,(0.32-0.40),64.1,(59.6-68.0),0.36 (0.32-0.40),64.1 (59.6-68.0)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.35,(0.30-0.42),64.6,(58.2-70.0),0.35 (0.30-0.42),64.6 (58.2-70.0)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.49,(0.42-0.55),51.5,(44.6-57.6),0.49 (0.42-0.55),51.5 (44.6-57.6)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.50,(0.45-0.56),49.9,(43.8-55.4),0.50 (0.45-0.56),49.9 (43.8-55.4)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.45,(0.40-0.52),54.5,(47.9-60.4),0.45 (0.40-0.52),54.5 (47.9-60.4)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.38,(0.32-0.45),62.1,(55.0-68.0),0.38 (0.32-0.45),62.1 (55.0-68.0)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.36,(0.29-0.44),64.1,(56.1-70.7),0.36 (0.29-0.44),64.1 (56.1-70.7)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.38,(0.32-0.45),61.8,(55.0-67.7),0.38 (0.32-0.45),61.8 (55.0-67.7)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.35,(0.30-0.42),64.7,(58.2-70.1),0.35 (0.30-0.42),64.7 (58.2-70.1)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.49,(0.43-0.56),50.8,(43.8-57.0),0.49 (0.43-0.56),50.8 (43.8-57.0)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.52,(0.46-0.58),48.4,(42.0-54.1),0.52 (0.46-0.58),48.4 (42.0-54.1)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.47,(0.41-0.54),52.6,(45.5-58.8),0.47 (0.41-0.54),52.6 (45.5-58.8)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.39,(0.33-0.47),60.6,(53.1-66.9),0.39 (0.33-0.47),60.6 (53.1-66.9)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.37,(0.30-0.45),63.1,(54.6-69.9),0.37 (0.30-0.45),63.1 (54.6-69.9)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.39,(0.32-0.46),61.4,(53.9-67.6),0.39 (0.32-0.46),61.4 (53.9-67.6)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.52,(0.40-0.67),48.2,(33.4-59.8),0.52 (0.40-0.67),48.2 (33.4-59.8)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.72,(0.59-0.88),28.0,(12.2-40.9),0.72 (0.59-0.88),28.0 (12.2-40.9)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.83,(0.72-0.96),16.8,(3.6-28.3),0.83 (0.72-0.96),16.8 (3.6-28.3)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.69,(0.59-0.80),31.1,(19.9-40.9),0.69 (0.59-0.80),31.1 (19.9-40.9)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.61,(0.49-0.75),39.3,(24.9-50.9),0.61 (0.49-0.75),39.3 (24.9-50.9)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.56,(0.43-0.74),43.7,(26.4-57.0),0.56 (0.43-0.74),43.7 (26.4-57.0)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.51,(0.40-0.64),49.4,(36.1-59.9),0.51 (0.40-0.64),49.4 (36.1-59.9)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.31,(0.28-0.35),68.7,(64.8-72.2),0.31 (0.28-0.35),68.7 (64.8-72.2)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.35,(0.32-0.38),65.2,(61.6-68.5),0.35 (0.32-0.38),65.2 (61.6-68.5)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.39,(0.36-0.42),60.8,(57.7-63.7),0.39 (0.36-0.42),60.8 (57.7-63.7)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.32,(0.29-0.35),68.4,(65.5-71.0),0.32 (0.29-0.35),68.4 (65.5-71.0)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.24,(0.21-0.27),76.3,(73.4-78.9),0.24 (0.21-0.27),76.3 (73.4-78.9)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.20,(0.17-0.23),80.2,(77.4-82.7),0.20 (0.17-0.23),80.2 (77.4-82.7)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.17,(0.15-0.19),83.1,(81.1-85.0),0.17 (0.15-0.19),83.1 (81.1-85.0)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.34,(0.30-0.38),66.3,(62.1-70.1),0.34 (0.30-0.38),66.3 (62.1-70.1)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.38,(0.34-0.42),62.2,(58.2-65.7),0.38 (0.34-0.42),62.2 (58.2-65.7)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.43,(0.40-0.47),56.5,(53.0-59.8),0.43 (0.40-0.47),56.5 (53.0-59.8)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.36,(0.33-0.39),64.2,(60.9-67.3),0.36 (0.33-0.39),64.2 (60.9-67.3)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.27,(0.24-0.31),72.5,(69.1-75.5),0.27 (0.24-0.31),72.5 (69.1-75.5)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.23,(0.20-0.27),76.8,(73.4-79.8),0.23 (0.20-0.27),76.8 (73.4-79.8)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.20,(0.18-0.23),80.1,(77.5-82.3),0.20 (0.18-0.23),80.1 (77.5-82.3)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.42,(0.36-0.49),57.9,(51.0-63.8),0.42 (0.36-0.49),57.9 (51.0-63.8)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.46,(0.41-0.51),54.1,(48.5-59.1),0.46 (0.41-0.51),54.1 (48.5-59.1)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.51,(0.47-0.56),48.8,(44.2-52.9),0.51 (0.47-0.56),48.8 (44.2-52.9)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.42,(0.38-0.47),57.7,(53.2-61.8),0.42 (0.38-0.47),57.7 (53.2-61.8)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.33,(0.29-0.37),67.3,(63.2-70.9),0.33 (0.29-0.37),67.3 (63.2-70.9)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.28,(0.25-0.32),71.8,(67.6-75.5),0.28 (0.25-0.32),71.8 (67.6-75.5)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.25,(0.22-0.28),75.4,(72.2-78.3),0.25 (0.22-0.28),75.4 (72.2-78.3)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.20,(0.17-0.24),79.6,(75.9-82.7),0.20 (0.17-0.24),79.6 (75.9-82.7)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.29,(0.25-0.32),71.3,(67.5-74.6),0.29 (0.25-0.32),71.3 (67.5-74.6)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.34,(0.31-0.37),66.1,(62.9-69.0),0.34 (0.31-0.37),66.1 (62.9-69.0)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.29,(0.26-0.32),71.1,(68.1-73.9),0.29 (0.26-0.32),71.1 (68.1-73.9)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.23,(0.20-0.26),76.8,(73.5-79.7),0.23 (0.20-0.26),76.8 (73.5-79.7)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.20,(0.17-0.24),79.7,(76.3-82.7),0.20 (0.17-0.24),79.7 (76.3-82.7)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.20,(0.18-0.23),79.9,(77.0-82.4),0.20 (0.18-0.23),79.9 (77.0-82.4)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.23,(0.19-0.27),77.1,(73.0-80.7),0.23 (0.19-0.27),77.1 (73.0-80.7)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.32,(0.29-0.37),67.6,(63.3-71.3),0.32 (0.29-0.37),67.6 (63.3-71.3)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.39,(0.35-0.42),61.3,(57.6-64.7),0.39 (0.35-0.42),61.3 (57.6-64.7)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.33,(0.30-0.37),66.8,(63.3-70.0),0.33 (0.30-0.37),66.8 (63.3-70.0)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.27,(0.24-0.31),72.8,(68.9-76.2),0.27 (0.24-0.31),72.8 (68.9-76.2)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.24,(0.20-0.28),76.2,(72.1-79.7),0.24 (0.20-0.28),76.2 (72.1-79.7)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.23,(0.20-0.26),77.0,(73.5-80.0),0.23 (0.20-0.26),77.0 (73.5-80.0)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.35,(0.27-0.45),65.3,(55.1-73.2),0.35 (0.27-0.45),65.3 (55.1-73.2)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.40,(0.34-0.47),60.1,(53.5-65.8),0.40 (0.34-0.47),60.1 (53.5-65.8)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.46,(0.42-0.51),53.8,(49.1-58.2),0.46 (0.42-0.51),53.8 (49.1-58.2)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.40,(0.35-0.46),59.6,(53.9-64.6),0.40 (0.35-0.46),59.6 (53.9-64.6)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.33,(0.29-0.38),66.6,(61.8-70.9),0.33 (0.29-0.38),66.6 (61.8-70.9)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.30,(0.26-0.35),70.0,(64.8-74.4),0.30 (0.26-0.35),70.0 (64.8-74.4)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.30,(0.26-0.35),70.1,(65.4-74.1),0.30 (0.26-0.35),70.1 (65.4-74.1)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.56,(0.47-0.66),44.0,(33.9-52.6),0.56 (0.47-0.66),44.0 (33.9-52.6)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.48,(0.41-0.57),51.9,(43.4-59.1),0.48 (0.41-0.57),51.9 (43.4-59.1)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.54,(0.48-0.62),45.6,(37.8-52.3),0.54 (0.48-0.62),45.6 (37.8-52.3)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.47,(0.40-0.55),53.4,(45.4-60.3),0.47 (0.40-0.55),53.4 (45.4-60.3)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.36,(0.30-0.45),63.5,(55.4-70.2),0.36 (0.30-0.45),63.5 (55.4-70.2)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.33,(0.26-0.43),66.5,(57.4-73.7),0.33 (0.26-0.43),66.5 (57.4-73.7)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.30,(0.25-0.36),70.0,(63.5-75.3),0.30 (0.25-0.36),70.0 (63.5-75.3)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.56,(0.47-0.66),44.2,(34.1-52.8),0.56 (0.47-0.66),44.2 (34.1-52.8)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.49,(0.41-0.57),51.4,(42.8-58.7),0.49 (0.41-0.57),51.4 (42.8-58.7)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.56,(0.49-0.64),44.0,(35.9-51.1),0.56 (0.49-0.64),44.0 (35.9-51.1)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.48,(0.41-0.57),51.7,(43.1-58.9),0.48 (0.41-0.57),51.7 (43.1-58.9)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.38,(0.31-0.46),62.3,(53.7-69.3),0.38 (0.31-0.46),62.3 (53.7-69.3)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.34,(0.27-0.44),65.8,(56.3-73.3),0.34 (0.27-0.44),65.8 (56.3-73.3)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.30,(0.25-0.37),69.8,(62.9-75.5),0.30 (0.25-0.37),69.8 (62.9-75.5)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.68,(0.55-0.84),32.2,(16.3-45.1),0.68 (0.55-0.84),32.2 (16.3-45.1)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.60,(0.50-0.73),39.8,(27.0-50.3),0.60 (0.50-0.73),39.8 (27.0-50.3)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.80,(0.67-0.96),19.8,(4.4-32.7),0.80 (0.67-0.96),19.8 (4.4-32.7)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.62,(0.51-0.75),38.0,(25.1-48.7),0.62 (0.51-0.75),38.0 (25.1-48.7)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.49,(0.38-0.62),51.0,(37.6-61.6),0.49 (0.38-0.62),51.0 (37.6-61.6)
