stratum,var_label,label,Any vaccine_HR_ECI,BNT162b2_HR_ECI,ChAdOx1_HR_ECI
all,region,North East and Yorkshire,0.17 (0.07-0.39),0.11 (0.05-0.25),0.09 (0.04-0.21)
all,region,East of England,66.52 (29.20-151.53),45.28 (21.06-97.35),0.11 (0.05-0.25)
all,region,South East,3.47 (0.84-14.33),1.79 (0.44-7.32),0.26 (0.07-0.95)
all,region,South West,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-1.27)
all,region,North West,2.86 (1.02-8.02),1.22 (0.44-3.38),0.06 (0.01-0.36)
all,region,London,0.00 (0.00-1.07),0.01 (0.00-3.59),0.00 (0.00-14 461 171 863.56)
all,Time since positive SARS-CoV-2 test,No positive test,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since positive SARS-CoV-2 test,1-21,0.08 (0.07-0.09),0.05 (0.04-0.06),0.17 (0.15-0.20)
all,Time since positive SARS-CoV-2 test,22-28,0.28 (0.24-0.33),0.26 (0.20-0.34),0.38 (0.32-0.44)
all,Time since positive SARS-CoV-2 test,29+,1.06 (0.99-1.14),0.66 (0.55-0.79),1.49 (1.40-1.59)
all,Time since suspected COVID,Not suspected,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since suspected COVID,1-21,1.44 (1.29-1.61),1.54 (1.37-1.74),1.18 (1.00-1.39)
all,Time since suspected COVID,22-28,1.00 (0.78-1.27),0.89 (0.65-1.22),1.16 (0.85-1.58)
all,Time since suspected COVID,29+,1.12 (0.94-1.35),1.27 (1.00-1.61),1.06 (0.91-1.23)
all,Time since discharge from infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since discharge from infectious hosp admission,In hospital,0.79 (0.77-0.80),0.88 (0.86-0.89),0.07 (0.06-0.09)
all,Time since discharge from infectious hosp admission,1-21,0.61 (0.58-0.64),0.47 (0.44-0.50),0.81 (0.76-0.85)
all,Time since discharge from infectious hosp admission,22-28,0.88 (0.81-0.96),0.67 (0.58-0.76),1.07 (0.98-1.18)
all,Time since discharge from non-infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since discharge from non-infectious hosp admission,In hospital,0.93 (0.90-0.97),0.95 (0.92-0.99),0.38 (0.29-0.51)
all,Time since discharge from non-infectious hosp admission,1-21,0.65 (0.55-0.75),0.50 (0.40-0.62),0.89 (0.75-1.06)
all,Time since discharge from non-infectious hosp admission,22-28,0.96 (0.77-1.20),0.78 (0.56-1.09),1.36 (1.05-1.75)
