var_label,label,Any vaccine_HR_ECI,BNT162b2_HR_ECI,ChAdOx1_HR_ECI
Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.98 (1.93-2.03),1.87 (1.82-1.93),2.02 (1.94-2.11)
Frailty,None,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Frailty,Mild,1.16 (1.12-1.20),1.09 (1.05-1.13),1.36 (1.27-1.47)
Frailty,Moderate,1.11 (1.08-1.15),1.03 (0.99-1.06),1.39 (1.29-1.50)
Frailty,Severe,1.01 (0.98-1.05),0.88 (0.85-0.92),1.42 (1.31-1.53)
region,East,1 (NA-NA),1 (NA-NA),1 (NA-NA)
region,East Midlands,0.02 (0.01-0.06),0.02 (0.01-0.05),31.31 (8.48-115.56)
region,London,0.00 (0.00-0.01),0.00 (0.00-0.02),0.21 (0.00-56.67)
region,North East,0.03 (0.01-0.08),0.02 (0.01-0.05),4.31 (0.29-65.16)
region,North West,0.00 (0.00-0.01),0.00 (0.00-0.00),2.26 (0.11-47.33)
region,South East,0.25 (0.13-0.47),0.19 (0.10-0.37),7.01 (0.88-56.11)
region,South West,0.03 (0.01-0.12),0.03 (0.01-0.10),8.94 (1.16-68.92)
region,West Midlands,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-4 331 671 181.08)
region,Yorkshire and The Humber,0.02 (0.02-0.03),0.02 (0.01-0.02),27.97 (8.27-94.62)
Time since positive SARS-CoV-2 test,No positive test,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Time since positive SARS-CoV-2 test,1-21,0.07 (0.05-0.09),0.06 (0.04-0.08),0.11 (0.08-0.15)
Time since positive SARS-CoV-2 test,22-28,0.26 (0.21-0.32),0.23 (0.16-0.34),0.32 (0.25-0.42)
Time since positive SARS-CoV-2 test,29+,1.01 (0.94-1.09),0.69 (0.56-0.84),1.31 (1.20-1.43)
Time since suspected COVID,Not suspected,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Time since suspected COVID,1-21,1.30 (1.14-1.48),1.33 (1.15-1.55),1.32 (1.04-1.68)
Time since suspected COVID,22-28,1.10 (0.82-1.48),0.98 (0.67-1.44),1.44 (0.90-2.28)
Time since suspected COVID,29+,1.10 (0.88-1.38),1.30 (0.95-1.77),1.03 (0.78-1.36)
Time since discharge from infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Time since discharge from infectious hosp admission,In hospital,0.77 (0.75-0.79),0.84 (0.82-0.87),0.09 (0.07-0.11)
Time since discharge from infectious hosp admission,1-21,0.58 (0.55-0.62),0.47 (0.43-0.51),0.71 (0.65-0.77)
Time since discharge from infectious hosp admission,22-28,0.88 (0.79-0.97),0.70 (0.59-0.82),1.04 (0.91-1.19)
Time since discharge from non-infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Time since discharge from non-infectious hosp admission,In hospital,0.88 (0.84-0.92),0.90 (0.86-0.94),0.44 (0.31-0.63)
Time since discharge from non-infectious hosp admission,1-21,0.73 (0.60-0.88),0.58 (0.44-0.76),1.01 (0.77-1.33)
Time since discharge from non-infectious hosp admission,22-28,0.99 (0.74-1.32),0.90 (0.59-1.37),1.16 (0.78-1.71)
