outcome_descr,brand_descr,term,strata,1_HR_ECI,2_HR_ECI,3_HR_ECI,1_VE_ECI,2_VE_ECI,3_VE_ECI
COVID-19 hospitalisation,ChAdOx1,29-35,all,0.31 (0.24-0.40),0.31 (0.24-0.41),0.43 (0.32-0.56),68.9 (59.7-76.0),68.8 (59.4-76.0),57.3 (43.7-67.7)
COVID-19 hospitalisation,ChAdOx1,36+,all,0.29 (0.23-0.37),0.30 (0.23-0.38),0.40 (0.31-0.53),70.7 (62.6-77.0),70.3 (62.0-76.9),59.6 (47.0-69.2)
COVID-19 death,Any vaccine,1-3,all,0.03 (0.02-0.04),0.03 (0.02-0.05),0.16 (0.07-0.40),97.2 (95.6-98.2),97.0 (95.3-98.1),83.8 (59.7-93.5)
COVID-19 death,Any vaccine,4-7,all,0.04 (0.03-0.06),0.04 (0.03-0.06),0.21 (0.12-0.38),95.9 (94.4-96.9),95.6 (94.0-96.7),79.0 (61.8-88.4)
COVID-19 death,Any vaccine,8-14,all,0.08 (0.07-0.10),0.09 (0.08-0.10),0.26 (0.19-0.35),91.8 (90.4-93.0),91.0 (89.5-92.4),74.0 (65.2-80.6)
COVID-19 death,Any vaccine,15-21,all,0.12 (0.10-0.13),0.13 (0.11-0.15),0.34 (0.28-0.41),88.4 (86.8-89.9),87.2 (85.4-88.8),66.2 (59.4-71.9)
COVID-19 death,Any vaccine,22-28,all,0.11 (0.09-0.12),0.12 (0.10-0.14),0.35 (0.28-0.43),89.3 (87.6-90.8),88.2 (86.3-89.8),65.3 (57.1-71.9)
COVID-19 death,Any vaccine,29-35,all,0.09 (0.08-0.11),0.10 (0.08-0.12),0.27 (0.22-0.34),91.0 (89.4-92.4),90.2 (88.4-91.7),72.6 (65.6-78.2)
COVID-19 death,Any vaccine,36+,all,0.07 (0.06-0.08),0.07 (0.06-0.09),0.19 (0.16-0.23),93.0 (92.0-93.9),92.6 (91.4-93.6),80.7 (76.9-83.8)
COVID-19 death,BNT162b2,1-3,all,0.01 (0.00-0.02),0.01 (0.00-0.03),0.06 (0.01-0.30),99.2 (97.6-99.8),99.1 (97.3-99.7),93.9 (70.0-98.7)
COVID-19 death,BNT162b2,4-7,all,0.02 (0.02-0.04),0.03 (0.02-0.05),0.16 (0.06-0.41),97.5 (95.9-98.5),97.2 (95.3-98.3),84.0 (59.4-93.7)
COVID-19 death,BNT162b2,8-14,all,0.06 (0.05-0.07),0.07 (0.06-0.09),0.23 (0.15-0.35),94.0 (92.6-95.2),93.1 (91.4-94.5),77.1 (65.4-84.9)
COVID-19 death,BNT162b2,15-21,all,0.08 (0.07-0.10),0.09 (0.08-0.11),0.26 (0.20-0.34),91.8 (90.3-93.1),90.6 (88.8-92.1),73.8 (66.5-79.5)
COVID-19 death,BNT162b2,22-28,all,0.09 (0.08-0.11),0.10 (0.09-0.12),0.31 (0.26-0.37),90.8 (89.1-92.3),89.6 (87.6-91.3),68.9 (62.6-74.1)
COVID-19 death,BNT162b2,29-35,all,0.08 (0.06-0.09),0.08 (0.07-0.10),0.27 (0.22-0.33),92.3 (90.6-93.7),91.5 (89.7-93.1),73.4 (67.3-78.4)
COVID-19 death,BNT162b2,36+,all,0.07 (0.06-0.08),0.07 (0.06-0.09),0.24 (0.20-0.29),92.9 (91.8-93.8),92.7 (91.5-93.7),75.6 (70.7-79.7)
COVID-19 death,ChAdOx1,1-3,all,0.05 (0.03-0.08),0.05 (0.03-0.08),0.22 (0.08-0.58),95.0 (91.8-96.9),95.2 (92.1-97.1),78.3 (42.2-91.9)
COVID-19 death,ChAdOx1,4-7,all,0.06 (0.04-0.09),0.06 (0.04-0.08),0.24 (0.13-0.46),94.2 (91.4-96.0),94.3 (91.7-96.1),75.8 (53.6-87.4)
COVID-19 death,ChAdOx1,8-14,all,0.11 (0.08-0.13),0.10 (0.08-0.13),0.32 (0.23-0.45),89.4 (86.8-91.5),89.7 (87.1-91.7),67.7 (54.5-77.1)
COVID-19 death,ChAdOx1,15-21,all,0.18 (0.15-0.21),0.17 (0.14-0.21),0.60 (0.46-0.78),82.3 (78.6-85.4),83.0 (79.4-86.0),40.2 (22.4-54.0)
COVID-19 death,ChAdOx1,22-28,all,0.14 (0.11-0.18),0.13 (0.10-0.17),0.49 (0.35-0.67),85.8 (82.2-88.7),86.8 (83.3-89.5),51.2 (32.6-64.7)
COVID-19 death,ChAdOx1,29-35,all,0.13 (0.10-0.17),0.12 (0.09-0.16),0.43 (0.29-0.63),86.6 (82.6-89.7),87.8 (84.1-90.6),57.0 (36.7-70.7)
COVID-19 death,ChAdOx1,36+,all,0.10 (0.08-0.13),0.09 (0.07-0.12),0.27 (0.20-0.37),89.8 (87.1-91.9),90.8 (88.3-92.8),72.6 (62.8-79.8)
Non-COVID-19 death,Any vaccine,1-3,all,0.22 (0.19-0.26),0.22 (0.19-0.26),0.24 (0.21-0.29),78.2 (74.4-81.5),77.7 (73.8-81.0),75.6 (71.2-79.3)
Non-COVID-19 death,Any vaccine,4-7,all,0.29 (0.26-0.33),0.30 (0.27-0.34),0.33 (0.30-0.38),70.8 (67.2-74.1),69.9 (66.2-73.3),66.5 (62.2-70.4)
Non-COVID-19 death,Any vaccine,8-14,all,0.29 (0.26-0.32),0.30 (0.28-0.33),0.35 (0.32-0.38),71.0 (68.3-73.5),69.8 (66.9-72.4),65.3 (61.7-68.4)
Non-COVID-19 death,Any vaccine,15-21,all,0.28 (0.26-0.31),0.29 (0.27-0.32),0.36 (0.32-0.40),72.1 (69.4-74.5),70.5 (67.8-73.1),64.3 (60.4-67.7)
Non-COVID-19 death,Any vaccine,22-28,all,0.27 (0.25-0.30),0.29 (0.26-0.32),0.35 (0.32-0.39),72.7 (70.0-75.2),71.0 (68.1-73.6),64.7 (61.0-68.0)
Non-COVID-19 death,Any vaccine,29-35,all,0.23 (0.21-0.26),0.25 (0.23-0.27),0.31 (0.28-0.35),76.7 (74.3-78.9),75.1 (72.6-77.5),68.8 (65.3-71.9)
Non-COVID-19 death,Any vaccine,36+,all,0.19 (0.17-0.20),0.21 (0.19-0.22),0.27 (0.25-0.29),81.1 (79.6-82.6),79.4 (77.7-81.0),73.1 (70.6-75.4)
Non-COVID-19 death,BNT162b2,1-3,all,0.13 (0.10-0.17),0.15 (0.11-0.19),0.17 (0.13-0.22),87.0 (83.2-90.0),85.5 (81.2-88.8),83.1 (78.0-87.0)
Non-COVID-19 death,BNT162b2,4-7,all,0.17 (0.14-0.20),0.19 (0.16-0.23),0.22 (0.18-0.27),83.3 (79.9-86.2),81.1 (77.3-84.3),77.6 (73.0-81.5)
Non-COVID-19 death,BNT162b2,8-14,all,0.17 (0.15-0.19),0.19 (0.17-0.22),0.24 (0.21-0.27),83.1 (80.7-85.3),80.7 (77.9-83.1),76.2 (72.7-79.2)
Non-COVID-19 death,BNT162b2,15-21,all,0.17 (0.15-0.19),0.20 (0.17-0.22),0.25 (0.22-0.29),82.8 (80.5-84.9),80.3 (77.6-82.6),74.6 (71.1-77.6)
Non-COVID-19 death,BNT162b2,22-28,all,0.20 (0.18-0.23),0.23 (0.21-0.26),0.32 (0.29-0.37),79.8 (77.2-82.1),76.8 (73.8-79.5),67.6 (63.2-71.5)
Non-COVID-19 death,BNT162b2,29-35,all,0.16 (0.14-0.19),0.18 (0.16-0.21),0.27 (0.23-0.31),83.6 (81.3-85.6),81.5 (78.9-83.8),73.3 (69.3-76.7)
Non-COVID-19 death,BNT162b2,36+,all,0.20 (0.18-0.22),0.21 (0.19-0.23),0.32 (0.29-0.35),80.0 (78.2-81.7),78.9 (76.9-80.8),68.1 (64.6-71.3)
Non-COVID-19 death,ChAdOx1,1-3,all,0.31 (0.25-0.38),0.29 (0.23-0.35),0.36 (0.28-0.47),68.9 (61.7-74.7),71.3 (64.7-76.6),63.9 (53.5-71.9)
Non-COVID-19 death,ChAdOx1,4-7,all,0.42 (0.36-0.50),0.39 (0.34-0.46),0.51 (0.42-0.61),57.5 (50.4-63.6),60.7 (54.2-66.3),49.4 (39.1-58.0)
Non-COVID-19 death,ChAdOx1,8-14,all,0.43 (0.38-0.48),0.39 (0.35-0.44),0.52 (0.45-0.60),57.2 (51.8-62.1),60.6 (55.6-65.1),48.0 (40.5-54.6)
Non-COVID-19 death,ChAdOx1,15-21,all,0.43 (0.38-0.49),0.39 (0.35-0.44),0.56 (0.48-0.64),57.0 (51.5-61.9),60.9 (55.9-65.4),44.2 (35.6-51.7)
Non-COVID-19 death,ChAdOx1,22-28,all,0.39 (0.34-0.44),0.35 (0.31-0.40),0.50 (0.43-0.59),61.2 (55.9-65.8),65.2 (60.5-69.4),49.7 (41.3-56.8)
Non-COVID-19 death,ChAdOx1,29-35,all,0.40 (0.35-0.45),0.35 (0.31-0.40),0.51 (0.44-0.60),60.1 (54.7-64.9),64.5 (59.7-68.8),48.7 (40.4-55.8)
Non-COVID-19 death,ChAdOx1,36+,all,0.36 (0.32-0.39),0.32 (0.29-0.36),0.50 (0.44-0.57),64.5 (60.5-68.0),67.5 (63.8-70.9),49.8 (43.0-55.8)
Any death,Any vaccine,1-3,all,0.13 (0.11-0.15),0.13 (0.12-0.16),0.22 (0.16-0.28),87.0 (84.9-88.8),86.5 (84.4-88.4),78.4 (71.6-83.6)
Any death,Any vaccine,4-7,all,0.17 (0.16-0.19),0.18 (0.16-0.20),0.29 (0.24-0.35),82.6 (80.6-84.4),81.8 (79.7-83.7),70.8 (65.1-75.5)
Any death,Any vaccine,8-14,all,0.19 (0.18-0.21),0.21 (0.19-0.22),0.32 (0.29-0.36),80.6 (79.0-82.0),79.3 (77.7-80.9),67.9 (64.3-71.2)
Any death,Any vaccine,15-21,all,0.21 (0.19-0.23),0.22 (0.21-0.24),0.36 (0.32-0.39),79.1 (77.5-80.7),77.5 (75.8-79.2),64.5 (61.1-67.6)
Any death,Any vaccine,22-28,all,0.20 (0.19-0.22),0.22 (0.20-0.24),0.36 (0.32-0.39),79.7 (78.0-81.3),78.0 (76.2-79.7),64.3 (60.8-67.5)
Any death,Any vaccine,29-35,all,0.18 (0.16-0.19),0.19 (0.17-0.21),0.31 (0.28-0.34),82.3 (80.8-83.8),81.0 (79.3-82.5),69.2 (66.1-72.1)
Any death,Any vaccine,36+,all,0.15 (0.14-0.16),0.16 (0.15-0.18),0.26 (0.24-0.28),85.0 (83.9-86.0),83.7 (82.5-84.8),74.2 (72.0-76.2)
Any death,BNT162b2,1-3,all,0.08 (0.06-0.10),0.08 (0.07-0.11),0.13 (0.09-0.19),92.4 (90.3-94.1),91.5 (89.1-93.4),86.8 (81.3-90.6)
Any death,BNT162b2,4-7,all,0.10 (0.09-0.12),0.12 (0.10-0.14),0.20 (0.15-0.27),89.8 (87.9-91.5),88.4 (86.2-90.3),79.7 (72.7-85.0)
Any death,BNT162b2,8-14,all,0.12 (0.11-0.13),0.14 (0.12-0.15),0.24 (0.20-0.28),88.1 (86.7-89.4),86.3 (84.6-87.8),76.2 (71.8-79.8)
Any death,BNT162b2,15-21,all,0.13 (0.12-0.15),0.15 (0.14-0.17),0.26 (0.23-0.30),86.7 (85.2-88.0),84.7 (83.0-86.2),73.7 (70.4-76.7)
Any death,BNT162b2,22-28,all,0.16 (0.14-0.17),0.18 (0.16-0.20),0.33 (0.30-0.37),84.5 (82.8-85.9),82.2 (80.3-83.9),67.1 (63.5-70.4)
Any death,BNT162b2,29-35,all,0.13 (0.12-0.14),0.15 (0.13-0.16),0.27 (0.24-0.31),87.0 (85.5-88.4),85.5 (83.8-87.0),72.5 (69.2-75.6)
Any death,BNT162b2,36+,all,0.16 (0.14-0.17),0.16 (0.15-0.18),0.31 (0.28-0.34),84.4 (83.2-85.6),83.6 (82.3-84.9),69.1 (66.0-71.9)
Any death,ChAdOx1,1-3,all,0.18 (0.15-0.22),0.17 (0.14-0.20),0.31 (0.23-0.42),82.0 (78.2-85.1),83.0 (79.5-86.0),69.3 (58.4-77.3)
Any death,ChAdOx1,4-7,all,0.24 (0.21-0.28),0.23 (0.20-0.26),0.41 (0.34-0.50),75.8 (72.2-79.0),77.2 (73.7-80.2),58.7 (50.1-65.9)
Any death,ChAdOx1,8-14,all,0.27 (0.25-0.30),0.26 (0.23-0.29),0.46 (0.40-0.52),72.7 (69.7-75.4),74.3 (71.4-76.8),54.3 (48.0-59.9)
Any death,ChAdOx1,15-21,all,0.32 (0.29-0.35),0.30 (0.27-0.33),0.56 (0.50-0.64),68.1 (64.6-71.2),70.4 (67.2-73.3),43.7 (36.1-50.4)
Any death,ChAdOx1,22-28,all,0.29 (0.26-0.33),0.26 (0.24-0.30),0.50 (0.43-0.57),70.9 (67.5-74.0),73.6 (70.5-76.4),50.2 (42.8-56.7)
Any death,ChAdOx1,29-35,all,0.31 (0.27-0.34),0.27 (0.24-0.31),0.50 (0.43-0.57),69.5 (65.8-72.8),72.7 (69.3-75.7),50.3 (42.7-56.8)
Any death,ChAdOx1,36+,all,0.28 (0.26-0.31),0.26 (0.23-0.29),0.47 (0.42-0.53),71.6 (68.7-74.2),74.2 (71.5-76.6),52.8 (46.9-58.1)
