outcome_descr,brand_descr,strata,model_descr,term,HR,HR_CI,VE,VE_CI
Positive test,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",15-21,0.32,(0.29-0.35),68.4,( 65.3-71.3)
Positive test,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",22-28,0.23,(0.21-0.26),77.0,( 74.2-79.4)
Positive test,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",29+,0.18,(0.16-0.20),82.3,( 80.5-84.0)
Positive test,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.20,(0.17-0.24),79.6,( 75.8-82.8)
Positive test,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.30,(0.26-0.34),70.2,( 66.3-73.7)
Positive test,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.41,(0.37-0.45),59.1,( 55.4-62.6)
Positive test,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.35,(0.32-0.39),65.0,( 61.4-68.2)
Positive test,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.25,(0.23-0.29),74.5,( 71.4-77.2)
Positive test,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",29+,0.19,(0.17-0.21),80.6,( 78.5-82.5)
Positive test,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.24,(0.20-0.28),76.5,( 71.8-80.4)
Positive test,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.34,(0.30-0.39),65.5,( 60.8-69.6)
Positive test,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.49,(0.44-0.53),51.4,( 46.9-55.6)
Positive test,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.42,(0.38-0.46),58.3,( 54.0-62.1)
Positive test,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.30,(0.27-0.34),69.6,( 66.0-72.9)
Positive test,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29+,0.25,(0.22-0.27),75.4,( 72.7-77.9)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",1-3,0.36,(0.30-0.44),64.1,( 56.3-70.5)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",4-7,0.52,(0.44-0.60),48.4,( 39.8-55.8)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",8-14,0.55,(0.48-0.63),45.4,( 37.3-52.5)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",15-21,0.45,(0.38-0.54),54.9,( 46.5-62.0)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",22-28,0.37,(0.30-0.46),62.5,( 53.7-69.7)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",29+,0.34,(0.28-0.42),65.8,( 57.7-72.4)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.35,(0.29-0.43),64.7,( 57.0-71.0)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.51,(0.44-0.60),48.7,( 40.1-56.0)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.55,(0.48-0.63),45.1,( 37.0-52.2)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.46,(0.38-0.54),54.4,( 45.9-61.6)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.38,(0.31-0.47),62.1,( 53.2-69.3)
Positive test,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",29+,0.35,(0.28-0.43),65.0,( 56.6-71.7)
Positive test,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.45,(0.36-0.56),54.6,( 43.5-63.6)
Positive test,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.68,(0.58-0.80),32.1,( 20.3-42.2)
Positive test,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.87,(0.73-1.03),13.5,( -2.7-27.1)
Positive test,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.67,(0.55-0.80),33.4,( 20.0-44.6)
Positive test,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.58,(0.46-0.74),42.0,( 26.4-54.3)
Positive test,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29+,0.54,(0.41-0.71),46.0,( 28.9-59.0)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",1-3,0.32,(0.28-0.37),67.7,( 62.8-71.9)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",4-7,0.35,(0.31-0.39),64.9,( 60.5-68.9)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",8-14,0.41,(0.37-0.45),59.2,( 55.2-62.8)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",15-21,0.33,(0.29-0.36),67.2,( 63.6-70.6)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",22-28,0.23,(0.21-0.27),76.5,( 73.4-79.3)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",29+,0.13,(0.12-0.15),86.5,( 84.8-88.1)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.35,(0.30-0.40),65.5,( 60.3-70.0)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.38,(0.34-0.43),62.1,( 57.3-66.4)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.45,(0.41-0.49),55.2,( 50.8-59.1)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.37,(0.33-0.41),63.5,( 59.4-67.2)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.26,(0.23-0.30),73.6,( 70.0-76.8)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",29+,0.15,(0.14-0.17),84.6,( 82.5-86.4)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.50,(0.39-0.64),49.6,( 35.5-60.6)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.48,(0.41-0.56),52.0,( 43.9-59.0)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.57,(0.51-0.64),42.9,( 36.0-49.0)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.48,(0.40-0.58),51.9,( 41.7-60.3)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.32,(0.28-0.37),67.9,( 63.4-71.8)
COVID-19 hospitalisation,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29+,0.19,(0.17-0.22),81.0,( 78.3-83.4)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",1-3,0.22,(0.18-0.26),78.5,( 73.8-82.3)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",4-7,0.29,(0.25-0.34),70.8,( 66.2-74.8)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",8-14,0.36,(0.32-0.40),64.2,( 60.1-67.8)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",15-21,0.30,(0.27-0.34),70.0,( 66.2-73.4)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",22-28,0.22,(0.19-0.26),77.5,( 74.1-80.5)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",29+,0.15,(0.13-0.17),85.2,( 83.1-87.0)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.24,(0.20-0.29),76.0,( 70.8-80.3)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.33,(0.28-0.38),67.3,( 62.0-71.8)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.41,(0.36-0.45),59.4,( 54.8-63.6)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.34,(0.30-0.38),66.1,( 61.7-69.9)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.25,(0.22-0.29),74.7,( 70.9-78.1)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",29+,0.16,(0.14-0.19),83.6,( 81.3-85.6)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.45,(0.30-0.68),54.7,( 32.2-69.8)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.45,(0.35-0.57),55.3,( 42.9-64.9)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.50,(0.45-0.57),49.6,( 43.5-55.0)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.46,(0.35-0.61),53.8,( 39.2-64.9)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.31,(0.27-0.35),69.3,( 64.5-73.4)
COVID-19 hospitalisation,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29+,0.21,(0.18-0.24),79.2,( 76.1-81.8)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",1-3,0.56,(0.46-0.68),44.1,( 31.7-54.2)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",4-7,0.49,(0.40-0.59),51.5,( 41.0-60.1)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",8-14,0.57,(0.49-0.68),42.6,( 32.1-51.4)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",15-21,0.51,(0.42-0.63),49.0,( 37.3-58.5)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",22-28,0.41,(0.32-0.53),59.2,( 47.2-68.4)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",29+,0.31,(0.23-0.42),69.0,( 58.4-76.8)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.55,(0.45-0.67),44.8,( 32.6-54.8)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.48,(0.40-0.59),51.6,( 41.1-60.2)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.58,(0.49-0.68),42.1,( 31.7-50.9)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.52,(0.42-0.64),48.2,( 36.4-57.8)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.42,(0.32-0.54),58.3,( 46.2-67.8)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",29+,0.32,(0.24-0.43),67.6,( 56.8-75.6)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.72,(0.55-0.95),27.7,(  4.7-45.2)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.58,(0.47-0.71),41.9,( 28.7-52.7)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.88,(0.70-1.10),12.2,( -9.6-29.7)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.77,(0.53-1.10),23.2,(-10.3-46.5)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.58,(0.43-0.77),42.3,( 22.9-56.8)
COVID-19 hospitalisation,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29+,0.45,(0.33-0.62),54.9,( 38.1-67.1)
Any death,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",1-3,0.13,(0.11-0.15),87.3,( 84.8-89.4)
Any death,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",4-7,0.17,(0.15-0.19),83.2,( 80.9-85.3)
Any death,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",8-14,0.19,(0.17-0.21),81.3,( 79.5-83.0)
Any death,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",15-21,0.20,(0.18-0.21),80.4,( 78.6-82.1)
Any death,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",22-28,0.17,(0.16-0.19),82.6,( 80.9-84.2)
Any death,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",29+,0.13,(0.12-0.14),87.4,( 86.5-88.3)
Any death,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.13,(0.11-0.16),86.9,( 84.3-89.1)
Any death,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.18,(0.15-0.20),82.4,( 80.0-84.6)
Any death,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.20,(0.18-0.22),80.1,( 78.2-81.9)
Any death,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.21,(0.19-0.23),78.9,( 76.9-80.7)
Any death,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.19,(0.17-0.21),81.3,( 79.4-82.9)
Any death,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",29+,0.14,(0.13-0.15),86.4,( 85.3-87.4)
Any death,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.25,(0.16-0.39),75.1,( 60.7-84.2)
Any death,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.35,(0.25-0.49),65.0,( 50.8-75.2)
Any death,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.35,(0.29-0.42),65.0,( 57.8-71.0)
Any death,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.37,(0.32-0.43),63.2,( 57.2-68.4)
Any death,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.31,(0.27-0.35),69.5,( 65.0-73.3)
Any death,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29+,0.21,(0.19-0.24),78.5,( 76.3-80.6)
Any death,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",1-3,0.08,(0.06-0.10),92.4,( 89.7-94.3)
Any death,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",4-7,0.11,(0.09-0.13),89.4,( 87.1-91.4)
Any death,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",8-14,0.12,(0.11-0.14),87.7,( 86.0-89.3)
Any death,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",15-21,0.13,(0.12-0.15),86.7,( 85.0-88.2)
Any death,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",22-28,0.14,(0.13-0.16),86.0,( 84.3-87.5)
Any death,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",29+,0.12,(0.11-0.13),87.7,( 86.7-88.6)
Any death,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.09,(0.06-0.11),91.5,( 88.6-93.6)
Any death,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.12,(0.10-0.15),88.1,( 85.4-90.2)
Any death,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.14,(0.12-0.16),86.0,( 84.0-87.7)
Any death,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.15,(0.13-0.17),84.8,( 82.9-86.6)
Any death,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.16,(0.14-0.18),84.3,( 82.4-86.0)
Any death,BNT162b2,all,"Region-stratified Cox model, with adjustment for baseline confounders",29+,0.13,(0.12-0.14),87.1,( 86.0-88.1)
Any death,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.13,(0.09-0.19),86.6,( 80.8-90.7)
Any death,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.28,(0.16-0.49),71.8,( 51.3-83.7)
Any death,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.29,(0.22-0.40),70.6,( 59.7-78.5)
Any death,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.27,(0.23-0.31),73.0,( 68.9-76.5)
Any death,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.27,(0.24-0.31),72.8,( 69.4-75.8)
Any death,BNT162b2,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29+,0.24,(0.21-0.26),76.5,( 74.2-78.5)
Any death,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",1-3,0.18,(0.14-0.22),82.3,( 77.8-85.9)
Any death,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",4-7,0.23,(0.20-0.28),76.8,( 72.5-80.4)
Any death,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",8-14,0.27,(0.24-0.30),73.2,( 69.6-76.4)
Any death,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",15-21,0.31,(0.27-0.35),69.2,( 65.2-72.8)
Any death,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",22-28,0.26,(0.23-0.30),74.0,( 70.1-77.3)
Any death,ChAdOx1,all,"Region-stratified Cox model, with no further adjustment",29+,0.26,(0.23-0.29),73.8,( 70.5-76.6)
Any death,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.17,(0.13-0.21),83.5,( 79.2-86.9)
Any death,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.22,(0.18-0.26),78.3,( 74.2-81.7)
Any death,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.25,(0.22-0.28),75.1,( 71.7-78.0)
Any death,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.28,(0.25-0.32),71.9,( 68.1-75.2)
Any death,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.23,(0.20-0.27),76.6,( 73.1-79.7)
Any death,ChAdOx1,all,"Region-stratified Cox model, with adjustment for baseline confounders",29+,0.24,(0.21-0.27),76.2,( 73.1-78.9)
Any death,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.36,(0.23-0.56),64.4,( 44.4-77.3)
Any death,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.43,(0.32-0.56),57.4,( 43.9-67.6)
Any death,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.45,(0.39-0.53),54.6,( 46.6-61.4)
Any death,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.55,(0.47-0.64),44.9,( 35.6-52.8)
Any death,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.47,(0.39-0.56),53.3,( 43.8-61.2)
Any death,ChAdOx1,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29+,0.47,(0.40-0.56),53.0,( 44.4-60.3)
