brand_descr,var_label,label,HR,CI
Any vaccine,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA)
Any vaccine,Time since discharge from non-infectious hosp admission,In hospital, 0.89,(0.84-  0.94)
Any vaccine,Time since discharge from non-infectious hosp admission,1-7, 0.61,(0.40-  0.91)
Any vaccine,Time since discharge from non-infectious hosp admission,8-14, 0.72,(0.49-  1.07)
Any vaccine,Time since discharge from non-infectious hosp admission,15-21, 0.62,(0.40-  0.95)
Any vaccine,Time since discharge from non-infectious hosp admission,22-28, 0.92,(0.65-  1.31)
BNT162b2,Age,Age, 1.63,(1.49-  1.78)
BNT162b2,Age,Age², 1.00,(1.00-  1.00)
BNT162b2,Sex,Female,1,(NA-NA)
BNT162b2,Sex,Male, 1.11,(1.09-  1.13)
BNT162b2,IMD,1 most deprived,1,(NA-NA)
BNT162b2,IMD,2, 1.15,(1.11-  1.19)
BNT162b2,IMD,3, 1.20,(1.17-  1.24)
BNT162b2,IMD,4, 1.29,(1.25-  1.33)
BNT162b2,IMD,5 least deprived, 1.37,(1.33-  1.41)
BNT162b2,Ethnicity,White,1,(NA-NA)
BNT162b2,Ethnicity,Black, 0.46,(0.40-  0.53)
BNT162b2,Ethnicity,South Asian, 0.45,(0.42-  0.48)
BNT162b2,Ethnicity,Mixed, 0.77,(0.62-  0.94)
BNT162b2,Ethnicity,Other, 0.80,(0.67-  0.95)
BNT162b2,Body Mass Index,Not obese,1,(NA-NA)
BNT162b2,Body Mass Index,Obese I (30-34.9), 1.00,(0.98-  1.03)
BNT162b2,Body Mass Index,Obese II (35-39.9), 0.86,(0.81-  0.92)
BNT162b2,Body Mass Index,Obese III (40+), 0.68,(0.62-  0.76)
BNT162b2,Heart failure,Heart failure, 0.92,(0.89-  0.96)
BNT162b2,Other heart disease,Other heart disease, 1.00,(0.96-  1.05)
BNT162b2,Dialysis,Dialysis, 0.74,(0.57-  0.97)
BNT162b2,Diabetes,Diabetes, 0.91,(0.86-  0.95)
BNT162b2,Chronic liver disease,Chronic liver disease, 0.81,(0.72-  0.92)
BNT162b2,COPD,COPD, 0.92,(0.88-  0.97)
BNT162b2,Other respiratory conditions,Other respiratory conditions, 0.95,(0.90-  0.99)
BNT162b2,Lung Cancer,Lung Cancer, 1.00,(0.89-  1.13)
BNT162b2,Haematological cancer,Haematological cancer, 0.99,(0.92-  1.07)
BNT162b2,"Cancer excl. lung, haemo","Cancer excl. lung, haemo", 0.98,(0.94-  1.03)
BNT162b2,Immunosuppressed,Immunosuppressed, 0.96,(0.90-  1.01)
BNT162b2,Dementia,Dementia, 0.71,(0.67-  0.75)
BNT162b2,Other neurological conditions,Other neurological conditions, 0.73,(0.68-  0.80)
BNT162b2,Learning disabilities,Learning disabilities, 0.49,(0.31-  0.80)
BNT162b2,Serious mental illness,Serious mental illness, 0.69,(0.61-  0.78)
BNT162b2,Morbidity count,0,1,(NA-NA)
BNT162b2,Morbidity count,1, 1.05,(1.00-  1.11)
BNT162b2,Morbidity count,2, 1.13,(1.03-  1.24)
BNT162b2,Morbidity count,3, 1.23,(1.07-  1.41)
BNT162b2,Morbidity count,4+, 1.27,(1.05-  1.55)
BNT162b2,Shielding criteria met,Shielding criteria met, 1.02,(0.99-  1.05)
BNT162b2,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years, 1.89,(1.83-  1.95)
BNT162b2,Frailty,None,1,(NA-NA)
BNT162b2,Frailty,Mild, 1.11,(1.07-  1.15)
BNT162b2,Frailty,Moderate, 1.05,(1.01-  1.09)
BNT162b2,Frailty,Severe, 0.91,(0.87-  0.95)
BNT162b2,region,East,1,(NA-NA)
BNT162b2,region,East Midlands, 0.04,(0.02-  0.09)
BNT162b2,region,London, 0.01,(0.00-  0.15)
BNT162b2,region,North East, 0.03,(0.01-  0.10)
BNT162b2,region,North West, 0.00,(0.00-  0.01)
BNT162b2,region,South East, 0.19,(0.08-  0.44)
BNT162b2,region,South West, 0.01,(0.00-  0.11)
BNT162b2,region,West Midlands, 0.00,(0.00-  0.00)
BNT162b2,region,Yorkshire and The Humber, 0.01,(0.01-  0.01)
BNT162b2,Time since positive SARS-CoV-2 test,No positive test,1,(NA-NA)
BNT162b2,Time since positive SARS-CoV-2 test,1-7, 0.03,(0.01-  0.07)
BNT162b2,Time since positive SARS-CoV-2 test,8-14, 0.07,(0.04-  0.14)
BNT162b2,Time since positive SARS-CoV-2 test,15-21, 0.09,(0.05-  0.17)
BNT162b2,Time since positive SARS-CoV-2 test,22-28, 0.24,(0.15-  0.37)
BNT162b2,Time since positive SARS-CoV-2 test,29+, 0.71,(0.56-  0.91)
BNT162b2,Time since suspected COVID,Not suspected,1,(NA-NA)
BNT162b2,Time since suspected COVID,1-7, 1.49,(1.19-  1.87)
BNT162b2,Time since suspected COVID,8-14, 1.46,(1.04-  2.04)
BNT162b2,Time since suspected COVID,15-21, 1.16,(0.76-  1.77)
BNT162b2,Time since suspected COVID,22-28, 1.16,(0.77-  1.77)
BNT162b2,Time since suspected COVID,29+, 1.31,(0.92-  1.88)
BNT162b2,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA)
BNT162b2,Time since discharge from infectious hosp admission,In hospital, 0.85,(0.83-  0.88)
BNT162b2,Time since discharge from infectious hosp admission,1-7, 0.35,(0.29-  0.42)
BNT162b2,Time since discharge from infectious hosp admission,8-14, 0.57,(0.48-  0.68)
BNT162b2,Time since discharge from infectious hosp admission,15-21, 0.60,(0.50-  0.73)
BNT162b2,Time since discharge from infectious hosp admission,22-28, 0.71,(0.59-  0.86)
BNT162b2,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA)
BNT162b2,Time since discharge from non-infectious hosp admission,In hospital, 0.91,(0.86-  0.96)
BNT162b2,Time since discharge from non-infectious hosp admission,1-7, 0.30,(0.15-  0.60)
BNT162b2,Time since discharge from non-infectious hosp admission,8-14, 0.61,(0.35-  1.07)
BNT162b2,Time since discharge from non-infectious hosp admission,15-21, 0.75,(0.45-  1.25)
BNT162b2,Time since discharge from non-infectious hosp admission,22-28, 0.82,(0.50-  1.37)
ChAdOx1,Age,Age, 0.97,(0.87-  1.09)
ChAdOx1,Age,Age², 1.00,(1.00-  1.00)
ChAdOx1,Sex,Female,1,(NA-NA)
ChAdOx1,Sex,Male, 0.97,(0.94-  1.01)
ChAdOx1,IMD,1 most deprived,1,(NA-NA)
ChAdOx1,IMD,2, 1.05,(1.00-  1.10)
ChAdOx1,IMD,3, 1.19,(1.14-  1.26)
ChAdOx1,IMD,4, 1.31,(1.24-  1.37)
ChAdOx1,IMD,5 least deprived, 1.30,(1.23-  1.37)
ChAdOx1,Ethnicity,White,1,(NA-NA)
ChAdOx1,Ethnicity,Black, 0.43,(0.35-  0.51)
ChAdOx1,Ethnicity,South Asian, 0.43,(0.40-  0.47)
ChAdOx1,Ethnicity,Mixed, 0.62,(0.47-  0.83)
ChAdOx1,Ethnicity,Other, 0.68,(0.52-  0.88)
ChAdOx1,Body Mass Index,Not obese,1,(NA-NA)
ChAdOx1,Body Mass Index,Obese I (30-34.9), 0.96,(0.91-  1.01)
ChAdOx1,Body Mass Index,Obese II (35-39.9), 1.10,(0.99-  1.21)
ChAdOx1,Body Mass Index,Obese III (40+), 1.04,(0.91-  1.19)
ChAdOx1,Heart failure,Heart failure, 1.05,(0.99-  1.11)
ChAdOx1,Other heart disease,Other heart disease, 1.08,(1.01-  1.15)
ChAdOx1,Dialysis,Dialysis, 0.88,(0.66-  1.17)
ChAdOx1,Diabetes,Diabetes, 1.07,(0.99-  1.16)
ChAdOx1,Chronic liver disease,Chronic liver disease, 0.98,(0.80-  1.20)
ChAdOx1,COPD,COPD, 0.98,(0.91-  1.05)
ChAdOx1,Other respiratory conditions,Other respiratory conditions, 1.03,(0.96-  1.11)
ChAdOx1,Lung Cancer,Lung Cancer, 0.96,(0.79-  1.18)
ChAdOx1,Haematological cancer,Haematological cancer, 1.08,(0.94-  1.23)
ChAdOx1,"Cancer excl. lung, haemo","Cancer excl. lung, haemo", 1.10,(1.01-  1.18)
ChAdOx1,Immunosuppressed,Immunosuppressed, 1.11,(1.02-  1.22)
ChAdOx1,Dementia,Dementia, 1.08,(1.00-  1.17)
ChAdOx1,Other neurological conditions,Other neurological conditions, 1.04,(0.94-  1.14)
ChAdOx1,Learning disabilities,Learning disabilities, 0.87,(0.52-  1.48)
ChAdOx1,Serious mental illness,Serious mental illness, 0.93,(0.78-  1.10)
ChAdOx1,Morbidity count,0,1,(NA-NA)
ChAdOx1,Morbidity count,1, 0.91,(0.85-  0.99)
ChAdOx1,Morbidity count,2, 0.84,(0.73-  0.96)
ChAdOx1,Morbidity count,3, 0.79,(0.65-  0.96)
ChAdOx1,Morbidity count,4+, 0.70,(0.53-  0.92)
ChAdOx1,Shielding criteria met,Shielding criteria met, 1.11,(1.06-  1.16)
ChAdOx1,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years, 2.08,(1.98-  2.19)
ChAdOx1,Frailty,None,1,(NA-NA)
ChAdOx1,Frailty,Mild, 1.38,(1.27-  1.50)
ChAdOx1,Frailty,Moderate, 1.42,(1.30-  1.55)
ChAdOx1,Frailty,Severe, 1.42,(1.30-  1.56)
ChAdOx1,region,East,1,(NA-NA)
ChAdOx1,region,East Midlands,37.07,(6.30-218.01)
ChAdOx1,region,London, 0.02,(0.00-328.62)
ChAdOx1,region,North East, 0.67,(0.00-136.42)
ChAdOx1,region,North West, 2.13,(0.05- 93.84)
ChAdOx1,region,South East, 4.32,(0.07-253.37)
ChAdOx1,region,South West,13.19,(0.74-236.61)
ChAdOx1,region,West Midlands, 0.00,(0.00-  0.00)
ChAdOx1,region,Yorkshire and The Humber,32.66,(6.41-166.41)
ChAdOx1,Time since positive SARS-CoV-2 test,No positive test,1,(NA-NA)
ChAdOx1,Time since positive SARS-CoV-2 test,1-7, 0.06,(0.02-  0.15)
ChAdOx1,Time since positive SARS-CoV-2 test,8-14, 0.15,(0.09-  0.26)
ChAdOx1,Time since positive SARS-CoV-2 test,15-21, 0.14,(0.09-  0.23)
ChAdOx1,Time since positive SARS-CoV-2 test,22-28, 0.39,(0.30-  0.52)
ChAdOx1,Time since positive SARS-CoV-2 test,29+, 1.17,(1.04-  1.32)
ChAdOx1,Time since suspected COVID,Not suspected,1,(NA-NA)
ChAdOx1,Time since suspected COVID,1-7, 1.94,(1.40-  2.69)
ChAdOx1,Time since suspected COVID,8-14, 1.48,(0.92-  2.39)
ChAdOx1,Time since suspected COVID,15-21, 0.83,(0.42-  1.64)
ChAdOx1,Time since suspected COVID,22-28, 1.57,(0.92-  2.69)
ChAdOx1,Time since suspected COVID,29+, 0.91,(0.62-  1.33)
ChAdOx1,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA)
ChAdOx1,Time since discharge from infectious hosp admission,In hospital, 0.10,(0.07-  0.13)
ChAdOx1,Time since discharge from infectious hosp admission,1-7, 0.56,(0.47-  0.66)
ChAdOx1,Time since discharge from infectious hosp admission,8-14, 0.88,(0.75-  1.03)
ChAdOx1,Time since discharge from infectious hosp admission,15-21, 0.76,(0.64-  0.91)
ChAdOx1,Time since discharge from infectious hosp admission,22-28, 1.09,(0.92-  1.28)
ChAdOx1,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA)
ChAdOx1,Time since discharge from non-infectious hosp admission,In hospital, 0.36,(0.23-  0.58)
ChAdOx1,Time since discharge from non-infectious hosp admission,1-7, 1.17,(0.70-  1.93)
ChAdOx1,Time since discharge from non-infectious hosp admission,8-14, 0.90,(0.51-  1.59)
ChAdOx1,Time since discharge from non-infectious hosp admission,15-21, 0.49,(0.23-  1.07)
ChAdOx1,Time since discharge from non-infectious hosp admission,22-28, 1.11,(0.70-  1.77)
