outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.30,(0.25-0.37),69.7,(63.0-75.1),0.30 (0.25-0.37),69.7 (63.0-75.1)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.53,(0.46-0.61),47.0,(39.0-54.0),0.53 (0.46-0.61),47.0 (39.0-54.0)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.55,(0.49-0.63),44.6,(37.4-50.9),0.55 (0.49-0.63),44.6 (37.4-50.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.41,(0.35-0.48),59.2,(52.5-64.9),0.41 (0.35-0.48),59.2 (52.5-64.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.37,(0.31-0.44),63.2,(56.0-69.3),0.37 (0.31-0.44),63.2 (56.0-69.3)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.36,(0.29-0.44),64.3,(56.0-71.0),0.36 (0.29-0.44),64.3 (56.0-71.0)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.40,(0.34-0.48),59.9,(52.0-66.5),0.40 (0.34-0.48),59.9 (52.0-66.5)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.34,(0.29-0.40),66.1,(60.0-71.2),0.34 (0.29-0.40),66.1 (60.0-71.2)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.45,(0.39-0.52),55.0,(48.5-60.7),0.45 (0.39-0.52),55.0 (48.5-60.7)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.58,(0.52-0.65),41.7,(34.7-47.9),0.58 (0.52-0.65),41.7 (34.7-47.9)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.50,(0.44-0.58),49.6,(42.1-56.2),0.50 (0.44-0.58),49.6 (42.1-56.2)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.38,(0.32-0.45),62.0,(54.9-68.0),0.38 (0.32-0.45),62.0 (54.9-68.0)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.33,(0.27-0.40),67.2,(59.7-73.3),0.33 (0.27-0.40),67.2 (59.7-73.3)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.36,(0.30-0.43),63.8,(56.7-69.7),0.36 (0.30-0.43),63.8 (56.7-69.7)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.33,(0.28-0.39),66.7,(60.8-71.8),0.33 (0.28-0.39),66.7 (60.8-71.8)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.44,(0.39-0.51),55.8,(49.4-61.3),0.44 (0.39-0.51),55.8 (49.4-61.3)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.58,(0.51-0.64),42.4,(35.6-48.5),0.58 (0.51-0.64),42.4 (35.6-48.5)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.50,(0.44-0.57),50.0,(42.6-56.4),0.50 (0.44-0.57),50.0 (42.6-56.4)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.38,(0.32-0.45),62.2,(55.1-68.1),0.38 (0.32-0.45),62.2 (55.1-68.1)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.33,(0.27-0.40),67.3,(59.8-73.3),0.33 (0.27-0.40),67.3 (59.8-73.3)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.36,(0.31-0.44),63.5,(56.5-69.4),0.36 (0.31-0.44),63.5 (56.5-69.4)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.36,(0.30-0.42),64.4,(58.0-69.9),0.36 (0.30-0.42),64.4 (58.0-69.9)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.48,(0.42-0.55),52.3,(45.4-58.4),0.48 (0.42-0.55),52.3 (45.4-58.4)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.63,(0.56-0.70),37.1,(29.7-43.8),0.63 (0.56-0.70),37.1 (29.7-43.8)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.56,(0.48-0.64),44.4,(36.2-51.6),0.56 (0.48-0.64),44.4 (36.2-51.6)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.43,(0.36-0.51),57.4,(49.5-64.1),0.43 (0.36-0.51),57.4 (49.5-64.1)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.37,(0.30-0.46),62.8,(54.1-69.7),0.37 (0.30-0.46),62.8 (54.1-69.7)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.41,(0.34-0.49),58.8,(50.6-65.6),0.41 (0.34-0.49),58.8 (50.6-65.6)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.28,(0.24-0.34),71.6,(65.9-76.4),0.28 (0.24-0.34),71.6 (65.9-76.4)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.31,(0.26-0.37),68.9,(63.5-73.6),0.31 (0.26-0.37),68.9 (63.5-73.6)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.41,(0.36-0.47),58.6,(52.9-63.7),0.41 (0.36-0.47),58.6 (52.9-63.7)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.35,(0.30-0.41),64.8,(58.9-69.9),0.35 (0.30-0.41),64.8 (58.9-69.9)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.25,(0.20-0.30),75.1,(69.7-79.5),0.25 (0.20-0.30),75.1 (69.7-79.5)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.23,(0.18-0.29),77.3,(71.4-82.0),0.23 (0.18-0.29),77.3 (71.4-82.0)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.21,(0.17-0.26),79.4,(74.4-83.4),0.21 (0.17-0.26),79.4 (74.4-83.4)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.26,(0.22-0.32),73.7,(68.4-78.1),0.26 (0.22-0.32),73.7 (68.4-78.1)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.28,(0.24-0.33),71.7,(66.7-75.9),0.28 (0.24-0.33),71.7 (66.7-75.9)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.37,(0.32-0.42),63.5,(58.4-67.9),0.37 (0.32-0.42),63.5 (58.4-67.9)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.30,(0.26-0.35),70.0,(65.0-74.4),0.30 (0.26-0.35),70.0 (65.0-74.4)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.21,(0.17-0.25),79.4,(75.0-83.1),0.21 (0.17-0.25),79.4 (75.0-83.1)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.18,(0.15-0.23),81.6,(76.8-85.4),0.18 (0.15-0.23),81.6 (76.8-85.4)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.16,(0.13-0.20),83.7,(79.9-86.8),0.16 (0.13-0.20),83.7 (79.9-86.8)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.35,(0.28-0.44),64.6,(55.6-71.8),0.35 (0.28-0.44),64.6 (55.6-71.8)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.37,(0.31-0.45),62.7,(55.0-69.1),0.37 (0.31-0.45),62.7 (55.0-69.1)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.50,(0.44-0.57),50.1,(42.8-56.4),0.50 (0.44-0.57),50.1 (42.8-56.4)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.42,(0.36-0.49),57.8,(50.6-64.0),0.42 (0.36-0.49),57.8 (50.6-64.0)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.31,(0.24-0.39),69.0,(60.6-75.6),0.31 (0.24-0.39),69.0 (60.6-75.6)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.26,(0.20-0.33),74.3,(67.2-79.8),0.26 (0.20-0.33),74.3 (67.2-79.8)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.22,(0.17-0.28),77.9,(72.0-82.5),0.22 (0.17-0.28),77.9 (72.0-82.5)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.23,(0.17-0.31),77.1,(69.0-83.1),0.23 (0.17-0.31),77.1 (69.0-83.1)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.27,(0.21-0.35),72.8,(65.2-78.7),0.27 (0.21-0.35),72.8 (65.2-78.7)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.36,(0.30-0.44),63.6,(56.4-69.6),0.36 (0.30-0.44),63.6 (56.4-69.6)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.23,(0.18-0.29),76.8,(70.6-81.6),0.23 (0.18-0.29),76.8 (70.6-81.6)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.15,(0.11-0.20),84.9,(79.6-88.8),0.15 (0.11-0.20),84.9 (79.6-88.8)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.19,(0.14-0.26),81.3,(74.4-86.4),0.19 (0.14-0.26),81.3 (74.4-86.4)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.22,(0.17-0.28),78.1,(71.6-83.1),0.22 (0.17-0.28),78.1 (71.6-83.1)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.21,(0.15-0.29),79.0,(71.4-84.5),0.21 (0.15-0.29),79.0 (71.4-84.5)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.25,(0.19-0.32),75.1,(68.1-80.6),0.25 (0.19-0.32),75.1 (68.1-80.6)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.33,(0.28-0.40),66.9,(60.2-72.4),0.33 (0.28-0.40),66.9 (60.2-72.4)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.21,(0.16-0.26),79.1,(73.6-83.5),0.21 (0.16-0.26),79.1 (73.6-83.5)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.13,(0.10-0.18),86.7,(82.0-90.2),0.13 (0.10-0.18),86.7 (82.0-90.2)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.16,(0.12-0.22),83.9,(77.9-88.3),0.16 (0.12-0.22),83.9 (77.9-88.3)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.18,(0.14-0.24),81.5,(76.1-85.7),0.18 (0.14-0.24),81.5 (76.1-85.7)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.29,(0.20-0.42),71.3,(58.1-80.3),0.29 (0.20-0.42),71.3 (58.1-80.3)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.36,(0.25-0.53),63.5,(47.2-74.8),0.36 (0.25-0.53),63.5 (47.2-74.8)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.44,(0.37-0.53),55.5,(46.6-63.0),0.44 (0.37-0.53),55.5 (46.6-63.0)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.31,(0.24-0.39),69.5,(60.9-76.2),0.31 (0.24-0.39),69.5 (60.9-76.2)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.24,(0.15-0.40),75.8,(60.0-85.4),0.24 (0.15-0.40),75.8 (60.0-85.4)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.24,(0.17-0.33),76.0,(66.8-82.7),0.24 (0.17-0.33),76.0 (66.8-82.7)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.27,(0.20-0.36),73.0,(64.4-79.6),0.27 (0.20-0.36),73.0 (64.4-79.6)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.32,(0.26-0.40),67.6,(59.5-74.0),0.32 (0.26-0.40),67.6 (59.5-74.0)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.33,(0.27-0.40),67.2,(59.8-73.2),0.33 (0.27-0.40),67.2 (59.8-73.2)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.40,(0.34-0.48),59.6,(52.4-65.7),0.40 (0.34-0.48),59.6 (52.4-65.7)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.38,(0.31-0.46),62.4,(54.5-68.9),0.38 (0.31-0.46),62.4 (54.5-68.9)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.27,(0.21-0.34),73.2,(66.1-78.8),0.27 (0.21-0.34),73.2 (66.1-78.8)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.21,(0.16-0.28),79.1,(72.2-84.4),0.21 (0.16-0.28),79.1 (72.2-84.4)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.20,(0.15-0.26),80.1,(74.4-84.6),0.20 (0.15-0.26),80.1 (74.4-84.6)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.30,(0.24-0.38),69.7,(62.1-75.7),0.30 (0.24-0.38),69.7 (62.1-75.7)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.31,(0.25-0.37),69.5,(62.7-75.1),0.31 (0.25-0.37),69.5 (62.7-75.1)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.37,(0.32-0.44),62.7,(56.2-68.3),0.37 (0.32-0.44),62.7 (56.2-68.3)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.34,(0.28-0.41),65.7,(58.5-71.6),0.34 (0.28-0.41),65.7 (58.5-71.6)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.24,(0.19-0.30),76.0,(69.6-81.0),0.24 (0.19-0.30),76.0 (69.6-81.0)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.18,(0.14-0.25),81.6,(75.4-86.2),0.18 (0.14-0.25),81.6 (75.4-86.2)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.17,(0.13-0.22),82.7,(77.7-86.5),0.17 (0.13-0.22),82.7 (77.7-86.5)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.40,(0.31-0.53),59.9,(47.5-69.4),0.40 (0.31-0.53),59.9 (47.5-69.4)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.39,(0.32-0.47),61.3,(52.6-68.4),0.39 (0.32-0.47),61.3 (52.6-68.4)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.52,(0.44-0.62),47.7,(38.2-55.8),0.52 (0.44-0.62),47.7 (38.2-55.8)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.49,(0.41-0.59),50.9,(40.6-59.4),0.49 (0.41-0.59),50.9 (40.6-59.4)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.35,(0.27-0.44),65.4,(55.9-72.8),0.35 (0.27-0.44),65.4 (55.9-72.8)
