outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
"COVID-19
hospitalisation",BNT162b2,36+,NA,0.22 (0.17-0.28),0.18 (0.14-0.24),0.27 (0.20-0.36),78.1 (71.6-83.1),81.5 (76.1-85.7),73.0 (64.4-79.6)
"COVID-19
hospitalisation",ChAdOx1,1-3,NA,0.32 (0.26-0.40),0.30 (0.24-0.38),0.40 (0.31-0.53),67.6 (59.5-74.0),69.7 (62.1-75.7),59.9 (47.5-69.4)
"COVID-19
hospitalisation",ChAdOx1,4-7,NA,0.33 (0.27-0.40),0.31 (0.25-0.37),0.39 (0.32-0.47),67.2 (59.8-73.2),69.5 (62.7-75.1),61.3 (52.6-68.4)
"COVID-19
hospitalisation",ChAdOx1,8-14,NA,0.40 (0.34-0.48),0.37 (0.32-0.44),0.52 (0.44-0.62),59.6 (52.4-65.7),62.7 (56.2-68.3),47.7 (38.2-55.8)
"COVID-19
hospitalisation",ChAdOx1,15-21,NA,0.38 (0.31-0.46),0.34 (0.28-0.41),0.49 (0.41-0.59),62.4 (54.5-68.9),65.7 (58.5-71.6),50.9 (40.6-59.4)
"COVID-19
hospitalisation",ChAdOx1,22-28,NA,0.27 (0.21-0.34),0.24 (0.19-0.30),0.35 (0.27-0.44),73.2 (66.1-78.8),76.0 (69.6-81.0),65.4 (55.9-72.8)
"COVID-19
hospitalisation",ChAdOx1,29-35,NA,0.21 (0.16-0.28),0.18 (0.14-0.25),0.26 (0.19-0.35),79.1 (72.2-84.4),81.6 (75.4-86.2),74.1 (65.2-80.8)
"COVID-19
hospitalisation",ChAdOx1,36+,NA,0.20 (0.15-0.26),0.17 (0.13-0.22),0.23 (0.17-0.30),80.1 (74.4-84.6),82.7 (77.7-86.5),77.4 (70.3-82.7)
Any death,Any vaccine,1-3,NA,0.11 (0.09-0.14),0.11 (0.09-0.14),0.15 (0.12-0.20),89.0 (85.9-91.4),88.9 (85.8-91.4),84.7 (80.2-88.2)
Any death,Any vaccine,4-7,NA,0.15 (0.13-0.18),0.15 (0.13-0.18),0.22 (0.18-0.26),84.7 (81.7-87.2),84.7 (81.7-87.2),78.1 (73.7-81.7)
Any death,Any vaccine,8-14,NA,0.18 (0.16-0.21),0.18 (0.16-0.20),0.30 (0.26-0.36),81.9 (79.3-84.1),82.1 (79.6-84.3),69.5 (63.9-74.3)
Any death,Any vaccine,15-21,NA,0.20 (0.18-0.23),0.20 (0.17-0.22),0.32 (0.28-0.37),79.7 (76.9-82.1),80.5 (77.8-82.8),67.7 (63.1-71.7)
Any death,Any vaccine,22-28,NA,0.18 (0.16-0.21),0.17 (0.15-0.19),0.28 (0.24-0.32),82.0 (79.3-84.3),83.3 (80.8-85.4),72.3 (67.9-76.0)
Any death,Any vaccine,29-35,NA,0.21 (0.19-0.24),0.19 (0.17-0.22),0.32 (0.27-0.37),78.7 (75.6-81.5),80.8 (78.0-83.3),68.2 (63.0-72.8)
Any death,Any vaccine,36+,NA,0.23 (0.20-0.25),0.19 (0.17-0.21),0.29 (0.25-0.33),77.5 (74.7-79.9),81.3 (78.9-83.4),70.9 (66.6-74.6)
Any death,BNT162b2,1-3,NA,0.06 (0.03-0.10),0.06 (0.03-0.10),0.07 (0.04-0.13),94.0 (89.7-96.5),94.2 (90.0-96.6),92.7 (87.3-95.8)
Any death,BNT162b2,4-7,NA,0.12 (0.08-0.16),0.11 (0.08-0.15),0.16 (0.11-0.22),88.5 (84.2-91.6),88.8 (84.6-91.8),84.1 (78.1-88.5)
Any death,BNT162b2,8-14,NA,0.12 (0.10-0.15),0.12 (0.10-0.15),0.22 (0.15-0.32),87.8 (84.8-90.1),88.0 (85.1-90.4),77.9 (68.3-84.6)
Any death,BNT162b2,15-21,NA,0.12 (0.10-0.15),0.12 (0.10-0.15),0.20 (0.16-0.25),87.8 (85.0-90.1),88.2 (85.4-90.4),79.8 (74.8-83.7)
Any death,BNT162b2,22-28,NA,0.13 (0.11-0.16),0.12 (0.10-0.15),0.22 (0.18-0.27),87.0 (84.1-89.4),87.8 (85.1-90.1),78.3 (73.1-82.5)
Any death,BNT162b2,29-35,NA,0.15 (0.12-0.18),0.13 (0.11-0.16),0.23 (0.19-0.28),85.4 (82.2-88.0),86.9 (84.0-89.3),77.1 (71.7-81.5)
Any death,BNT162b2,36+,NA,0.23 (0.20-0.26),0.19 (0.16-0.22),0.30 (0.26-0.35),77.0 (73.8-79.8),81.3 (78.5-83.7),69.9 (64.9-74.2)
Any death,ChAdOx1,1-3,NA,0.14 (0.11-0.18),0.14 (0.10-0.18),0.19 (0.14-0.25),86.0 (81.5-89.4),86.3 (81.9-89.6),80.9 (74.6-85.6)
Any death,ChAdOx1,4-7,NA,0.17 (0.14-0.21),0.17 (0.14-0.21),0.24 (0.20-0.30),82.6 (78.6-85.8),83.0 (79.1-86.1),75.6 (69.9-80.3)
Any death,ChAdOx1,8-14,NA,0.21 (0.18-0.24),0.20 (0.18-0.23),0.33 (0.28-0.40),79.2 (75.9-82.0),79.7 (76.5-82.5),66.7 (60.3-72.1)
Any death,ChAdOx1,15-21,NA,0.23 (0.20-0.27),0.22 (0.19-0.26),0.36 (0.31-0.42),76.8 (73.2-80.0),77.6 (74.1-80.6),63.5 (57.6-68.6)
Any death,ChAdOx1,22-28,NA,0.18 (0.16-0.22),0.17 (0.15-0.21),0.28 (0.24-0.33),81.6 (78.4-84.3),82.5 (79.5-85.1),71.8 (66.6-76.2)
Any death,ChAdOx1,29-35,NA,0.23 (0.19-0.27),0.21 (0.18-0.25),0.34 (0.29-0.40),77.3 (73.4-80.7),79.1 (75.4-82.2),66.0 (59.5-71.5)
Any death,ChAdOx1,36+,NA,0.24 (0.22-0.28),0.21 (0.18-0.24),0.31 (0.27-0.36),75.6 (72.3-78.4),79.2 (76.3-81.8),68.8 (63.8-73.1)
