stratum,brand_descr,var_label,label,HR,CI,HR_ECI
all,Any vaccine,Time since discharge from infectious hosp admission,1-21,0.57,(0.53-0.62),0.57 (0.53-0.62)
all,Any vaccine,Time since discharge from infectious hosp admission,22-28,0.70,(0.58-0.85),0.70 (0.58-0.85)
all,Any vaccine,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since discharge from non-infectious hosp admission,In hospital,0.97,(0.95-0.99),0.97 (0.95-0.99)
all,Any vaccine,Time since discharge from non-infectious hosp admission,1-21,0.58,(0.49-0.69),0.58 (0.49-0.69)
all,Any vaccine,Time since discharge from non-infectious hosp admission,22-28,0.65,(0.45-0.94),0.65 (0.45-0.94)
all,BNT162b2,Age,Age,2.00,(1.58-2.51),2.00 (1.58-2.51)
all,BNT162b2,Age,Age²,1.00,(0.99-1.00),1.00 (0.99-1.00)
all,BNT162b2,Sex,Female,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Sex,Male,0.99,(0.97-1.01),0.99 (0.97-1.01)
all,BNT162b2,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
all,BNT162b2,IMD,2,1.07,(1.04-1.10),1.07 (1.04-1.10)
all,BNT162b2,IMD,3,1.06,(1.03-1.09),1.06 (1.03-1.09)
all,BNT162b2,IMD,4,1.14,(1.11-1.17),1.14 (1.11-1.17)
all,BNT162b2,IMD,5 least deprived,1.28,(1.25-1.32),1.28 (1.25-1.32)
all,BNT162b2,Ethnicity,White,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Ethnicity,Black,0.47,(0.40-0.56),0.47 (0.40-0.56)
all,BNT162b2,Ethnicity,South Asian,0.67,(0.63-0.72),0.67 (0.63-0.72)
all,BNT162b2,Ethnicity,Mixed,0.67,(0.54-0.82),0.67 (0.54-0.82)
all,BNT162b2,Ethnicity,Other,0.68,(0.60-0.79),0.68 (0.60-0.79)
all,BNT162b2,Body Mass Index,Obese I (30-34.9),1,(NA-NA),1 (NA-NA)
all,BNT162b2,Body Mass Index,Obese III (40+),0.87,(0.80-0.93),0.87 (0.80-0.93)
all,BNT162b2,Body Mass Index,Not obese,0.94,(0.92-0.96),0.94 (0.92-0.96)
all,BNT162b2,Body Mass Index,Obese II (35-39.9),0.95,(0.89-1.01),0.95 (0.89-1.01)
all,BNT162b2,Heart failure,Heart failure,0.99,(0.95-1.04),0.99 (0.95-1.04)
all,BNT162b2,Other heart disease,Other heart disease,1.04,(0.99-1.10),1.04 (0.99-1.10)
all,BNT162b2,Dialysis,Dialysis,1.13,(0.91-1.40),1.13 (0.91-1.40)
all,BNT162b2,Diabetes,Diabetes,1.00,(0.94-1.06),1.00 (0.94-1.06)
all,BNT162b2,Chronic liver disease,Chronic liver disease,0.98,(0.88-1.08),0.98 (0.88-1.08)
all,BNT162b2,COPD,COPD,0.97,(0.92-1.03),0.97 (0.92-1.03)
all,BNT162b2,Other respiratory conditions,Other respiratory conditions,0.97,(0.92-1.03),0.97 (0.92-1.03)
all,BNT162b2,Lung Cancer,Lung Cancer,0.87,(0.77-0.99),0.87 (0.77-0.99)
all,BNT162b2,Haematological cancer,Haematological cancer,1.05,(0.97-1.14),1.05 (0.97-1.14)
all,BNT162b2,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.05,(1.00-1.11),1.05 (1.00-1.11)
all,BNT162b2,Immunosuppressed,Immunosuppressed,1.03,(0.97-1.10),1.03 (0.97-1.10)
all,BNT162b2,Dementia,Dementia,0.85,(0.78-0.92),0.85 (0.78-0.92)
all,BNT162b2,Other neurological conditions,Other neurological conditions,0.85,(0.79-0.93),0.85 (0.79-0.93)
all,BNT162b2,Learning disabilities,Learning disabilities,0.60,(0.48-0.74),0.60 (0.48-0.74)
all,BNT162b2,Serious mental illness,Serious mental illness,0.66,(0.59-0.74),0.66 (0.59-0.74)
all,BNT162b2,Morbidity count,0,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Morbidity count,1,1.01,(0.96-1.07),1.01 (0.96-1.07)
all,BNT162b2,Morbidity count,2,1.02,(0.91-1.13),1.02 (0.91-1.13)
all,BNT162b2,Morbidity count,3,1.03,(0.88-1.20),1.03 (0.88-1.20)
all,BNT162b2,Morbidity count,4+,0.99,(0.80-1.24),0.99 (0.80-1.24)
all,BNT162b2,Shielding criteria met,Shielding criteria met,1.03,(1.00-1.06),1.03 (1.00-1.06)
all,BNT162b2,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.63,(1.59-1.68),1.63 (1.59-1.68)
all,BNT162b2,Frailty,None,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Frailty,Mild,1.06,(1.03-1.08),1.06 (1.03-1.08)
all,BNT162b2,Frailty,Moderate,1.00,(0.97-1.03),1.00 (0.97-1.03)
all,BNT162b2,Frailty,Severe,0.89,(0.85-0.93),0.89 (0.85-0.93)
all,BNT162b2,region,North East and Yorkshire,1,(NA-NA),1 (NA-NA)
all,BNT162b2,region,South East,5.95,(5.01-7.08),5.95 (5.01-7.08)
all,BNT162b2,region,London,0.00,(0.00-0.58),0.00 (0.00-0.58)
all,BNT162b2,region,East of England,2.92,(2.58-3.31),2.92 (2.58-3.31)
all,BNT162b2,region,South West,0.91,(0.36-2.33),0.91 (0.36-2.33)
all,BNT162b2,region,North West,0.12,(0.06-0.26),0.12 (0.06-0.26)
all,BNT162b2,region,Midlands,0.03,(0.01-0.05),0.03 (0.01-0.05)
all,BNT162b2,Time since positive SARS-CoV-2 test,No positive test,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Time since positive SARS-CoV-2 test,1-21,0.05,(0.03-0.08),0.05 (0.03-0.08)
all,BNT162b2,Time since positive SARS-CoV-2 test,22-28,0.25,(0.17-0.35),0.25 (0.17-0.35)
all,BNT162b2,Time since positive SARS-CoV-2 test,29+,1.06,(0.85-1.32),1.06 (0.85-1.32)
all,BNT162b2,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Time since suspected COVID,1-21,1.08,(0.88-1.31),1.08 (0.88-1.31)
all,BNT162b2,Time since suspected COVID,22-28,0.80,(0.47-1.35),0.80 (0.47-1.35)
all,BNT162b2,Time since suspected COVID,29+,0.96,(0.57-1.61),0.96 (0.57-1.61)
all,BNT162b2,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Time since discharge from infectious hosp admission,In hospital,0.91,(0.89-0.93),0.91 (0.89-0.93)
all,BNT162b2,Time since discharge from infectious hosp admission,1-21,0.52,(0.45-0.60),0.52 (0.45-0.60)
all,BNT162b2,Time since discharge from infectious hosp admission,22-28,0.66,(0.47-0.93),0.66 (0.47-0.93)
all,BNT162b2,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Time since discharge from non-infectious hosp admission,In hospital,0.95,(0.92-0.98),0.95 (0.92-0.98)
all,BNT162b2,Time since discharge from non-infectious hosp admission,1-21,0.38,(0.27-0.55),0.38 (0.27-0.55)
all,BNT162b2,Time since discharge from non-infectious hosp admission,22-28,0.43,(0.19-0.97),0.43 (0.19-0.97)
all,ChAdOx1,Age,Age,0.73,(0.60-0.89),0.73 (0.60-0.89)
all,ChAdOx1,Age,Age²,1.00,(1.00-1.00),1.00 (1.00-1.00)
all,ChAdOx1,Sex,Female,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Sex,Male,1.00,(0.98-1.01),1.00 (0.98-1.01)
all,ChAdOx1,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,IMD,2,1.11,(1.09-1.14),1.11 (1.09-1.14)
all,ChAdOx1,IMD,3,1.18,(1.15-1.21),1.18 (1.15-1.21)
all,ChAdOx1,IMD,4,1.19,(1.16-1.22),1.19 (1.16-1.22)
all,ChAdOx1,IMD,5 least deprived,1.20,(1.17-1.23),1.20 (1.17-1.23)
all,ChAdOx1,Ethnicity,White,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Ethnicity,Black,0.39,(0.34-0.44),0.39 (0.34-0.44)
all,ChAdOx1,Ethnicity,South Asian,0.60,(0.57-0.63),0.60 (0.57-0.63)
all,ChAdOx1,Ethnicity,Mixed,0.70,(0.59-0.83),0.70 (0.59-0.83)
all,ChAdOx1,Ethnicity,Other,0.59,(0.52-0.67),0.59 (0.52-0.67)
all,ChAdOx1,Body Mass Index,Obese I (30-34.9),1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Body Mass Index,Obese III (40+),0.92,(0.87-0.98),0.92 (0.87-0.98)
all,ChAdOx1,Body Mass Index,Not obese,0.97,(0.95-0.98),0.97 (0.95-0.98)
all,ChAdOx1,Body Mass Index,Obese II (35-39.9),0.98,(0.93-1.03),0.98 (0.93-1.03)
all,ChAdOx1,Heart failure,Heart failure,0.94,(0.90-0.98),0.94 (0.90-0.98)
all,ChAdOx1,Other heart disease,Other heart disease,0.99,(0.95-1.04),0.99 (0.95-1.04)
all,ChAdOx1,Dialysis,Dialysis,1.02,(0.85-1.22),1.02 (0.85-1.22)
all,ChAdOx1,Diabetes,Diabetes,0.98,(0.93-1.02),0.98 (0.93-1.02)
all,ChAdOx1,Chronic liver disease,Chronic liver disease,0.97,(0.89-1.06),0.97 (0.89-1.06)
all,ChAdOx1,COPD,COPD,0.93,(0.89-0.98),0.93 (0.89-0.98)
all,ChAdOx1,Other respiratory conditions,Other respiratory conditions,0.97,(0.93-1.02),0.97 (0.93-1.02)
all,ChAdOx1,Lung Cancer,Lung Cancer,0.96,(0.86-1.06),0.96 (0.86-1.06)
all,ChAdOx1,Haematological cancer,Haematological cancer,1.03,(0.96-1.11),1.03 (0.96-1.11)
all,ChAdOx1,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.04,(0.99-1.09),1.04 (0.99-1.09)
all,ChAdOx1,Immunosuppressed,Immunosuppressed,1.00,(0.95-1.06),1.00 (0.95-1.06)
all,ChAdOx1,Dementia,Dementia,0.88,(0.82-0.94),0.88 (0.82-0.94)
all,ChAdOx1,Other neurological conditions,Other neurological conditions,0.98,(0.92-1.05),0.98 (0.92-1.05)
all,ChAdOx1,Learning disabilities,Learning disabilities,0.61,(0.53-0.72),0.61 (0.53-0.72)
all,ChAdOx1,Serious mental illness,Serious mental illness,0.76,(0.70-0.83),0.76 (0.70-0.83)
all,ChAdOx1,Morbidity count,0,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Morbidity count,1,1.01,(0.96-1.05),1.01 (0.96-1.05)
all,ChAdOx1,Morbidity count,2,1.01,(0.92-1.10),1.01 (0.92-1.10)
all,ChAdOx1,Morbidity count,3,1.04,(0.91-1.18),1.04 (0.91-1.18)
all,ChAdOx1,Morbidity count,4+,1.02,(0.85-1.23),1.02 (0.85-1.23)
all,ChAdOx1,Shielding criteria met,Shielding criteria met,1.09,(1.06-1.12),1.09 (1.06-1.12)
all,ChAdOx1,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.79,(1.75-1.83),1.79 (1.75-1.83)
all,ChAdOx1,Frailty,None,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Frailty,Mild,1.07,(1.05-1.09),1.07 (1.05-1.09)
all,ChAdOx1,Frailty,Moderate,1.08,(1.05-1.10),1.08 (1.05-1.10)
all,ChAdOx1,Frailty,Severe,1.03,(0.99-1.07),1.03 (0.99-1.07)
all,ChAdOx1,region,North East and Yorkshire,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,region,South East,0.00,(0.00-0.00),0.00 (0.00-0.00)
all,ChAdOx1,region,London,21.42,(7.25-63.27),21.42 (7.25-63.27)
all,ChAdOx1,region,East of England,0.03,(0.01-0.12),0.03 (0.01-0.12)
all,ChAdOx1,region,South West,0.09,(0.00-8.42),0.09 (0.00-8.42)
all,ChAdOx1,region,North West,1.31,(0.34-5.01),1.31 (0.34-5.01)
all,ChAdOx1,region,Midlands,0.62,(0.17-2.30),0.62 (0.17-2.30)
all,ChAdOx1,Time since positive SARS-CoV-2 test,No positive test,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Time since positive SARS-CoV-2 test,1-21,0.09,(0.07-0.11),0.09 (0.07-0.11)
all,ChAdOx1,Time since positive SARS-CoV-2 test,22-28,0.26,(0.21-0.32),0.26 (0.21-0.32)
all,ChAdOx1,Time since positive SARS-CoV-2 test,29+,1.36,(1.22-1.52),1.36 (1.22-1.52)
all,ChAdOx1,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Time since suspected COVID,1-21,1.24,(1.05-1.45),1.24 (1.05-1.45)
all,ChAdOx1,Time since suspected COVID,22-28,1.00,(0.70-1.43),1.00 (0.70-1.43)
all,ChAdOx1,Time since suspected COVID,29+,1.16,(0.84-1.61),1.16 (0.84-1.61)
all,ChAdOx1,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Time since discharge from infectious hosp admission,In hospital,0.95,(0.93-0.97),0.95 (0.93-0.97)
all,ChAdOx1,Time since discharge from infectious hosp admission,1-21,0.62,(0.57-0.68),0.62 (0.57-0.68)
all,ChAdOx1,Time since discharge from infectious hosp admission,22-28,0.74,(0.61-0.91),0.74 (0.61-0.91)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,In hospital,0.98,(0.96-1.01),0.98 (0.96-1.01)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,1-21,0.71,(0.59-0.85),0.71 (0.59-0.85)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,22-28,0.75,(0.50-1.13),0.75 (0.50-1.13)
