stratum,var_label,label,Any vaccine_HR_ECI,BNT162b2_HR_ECI,ChAdOx1_HR_ECI
all,region,North West,2.14 (0.71-6.42),2.33 (0.87-6.23),4.76 (0.11-210.67)
all,region,North East,1.91 (0.42-8.74),1.37 (0.24-7.90),16.76 (0.71-396.00)
all,region,East Midlands,0.25 (0.06-0.98),0.23 (0.06-0.87),0.07 (0.00-39.51)
all,region,West Midlands,3.76 (0.61-23.11),0.00 (0.00-0.00),0.00 (0.00-0.00)
all,Time since suspected COVID,Not suspected,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since suspected COVID,1-21,1.79 (1.35-2.37),1.61 (1.07-2.40),1.81 (1.30-2.53)
all,Time since suspected COVID,22-28,0.70 (0.32-1.54),0.00 (0.00-0.00),1.13 (0.53-2.45)
all,Time since suspected COVID,29+,1.01 (0.62-1.63),0.28 (0.04-2.02),1.38 (0.81-2.33)
all,Time since discharge from infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since discharge from infectious hosp admission,In hospital,0.92 (0.89-0.95),0.89 (0.85-0.93),0.95 (0.92-0.98)
all,Time since discharge from infectious hosp admission,1-21,0.52 (0.43-0.62),0.44 (0.32-0.63),0.59 (0.48-0.72)
all,Time since discharge from infectious hosp admission,22-28,1.06 (0.68-1.64),1.01 (0.52-1.97),1.09 (0.67-1.77)
all,Time since discharge from non-infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since discharge from non-infectious hosp admission,In hospital,0.96 (0.92-0.99),0.93 (0.88-0.99),0.98 (0.93-1.02)
all,Time since discharge from non-infectious hosp admission,1-21,0.72 (0.49-1.05),0.35 (0.14-0.88),0.92 (0.62-1.39)
all,Time since discharge from non-infectious hosp admission,22-28,0.90 (0.40-2.04),0.49 (0.08-2.77),1.08 (0.43-2.71)
