outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
"Positive
SARS-CoV-2
test",BNT162b2,29-35,Not immunocompromised,0.72 (0.69-0.76),0.73 (0.69-0.76),0.77 (0.74-0.81), 27.6 (24.0-31.0), 27.3 (23.6-30.8), 22.7 (18.8-26.5)
"Positive
SARS-CoV-2
test",BNT162b2,36+,Not immunocompromised,0.73 (0.70-0.77),0.72 (0.69-0.76),0.76 (0.73-0.80), 26.6 (23.1-30.0), 27.7 (24.1-31.1), 23.6 (19.8-27.3)
"Positive
SARS-CoV-2
test",BNT162b2,1-3,Immunocompromised,0.46 (0.37-0.56),0.47 (0.38-0.58),0.49 (0.39-0.60), 54.4 (43.7-63.0), 53.3 (42.3-62.2), 51.4 (40.0-60.7)
"Positive
SARS-CoV-2
test",BNT162b2,4-7,Immunocompromised,0.54 (0.46-0.65),0.56 (0.47-0.66),0.58 (0.49-0.69), 45.5 (35.4-54.1), 44.2 (33.9-53.0), 42.2 (31.5-51.2)
"Positive
SARS-CoV-2
test",BNT162b2,8-14,Immunocompromised,0.63 (0.56-0.72),0.65 (0.57-0.73),0.68 (0.60-0.77), 36.9 (28.4-44.5), 35.4 (26.6-43.1), 31.9 (22.6-40.0)
"Positive
SARS-CoV-2
test",BNT162b2,15-21,Immunocompromised,0.65 (0.57-0.74),0.67 (0.59-0.76),0.71 (0.62-0.80), 34.8 (25.9-42.6), 33.3 (24.2-41.3), 29.5 (19.9-37.9)
"Positive
SARS-CoV-2
test",BNT162b2,22-28,Immunocompromised,0.67 (0.58-0.78),0.69 (0.59-0.80),0.73 (0.63-0.85), 32.9 (22.2-42.2), 31.4 (20.3-40.9), 26.7 (14.9-36.8)
"Positive
SARS-CoV-2
test",BNT162b2,29-35,Immunocompromised,0.79 (0.67-0.92),0.80 (0.69-0.93),0.86 (0.74-1.00), 21.4 (8.5-32.5), 19.9 (6.6-31.3), 13.9 (-0.5-26.2)
"Positive
SARS-CoV-2
test",BNT162b2,36+,Immunocompromised,0.73 (0.64-0.83),0.73 (0.64-0.83),0.78 (0.68-0.89), 27.3 (17.3-36.0), 26.8 (16.6-35.8), 22.3 (11.2-32.0)
"Positive
SARS-CoV-2
test",ChAdOx1,1-3,Not immunocompromised,0.80 (0.74-0.86),0.77 (0.71-0.83),0.88 (0.81-0.96), 20.0 (13.6-26.0), 23.4 (17.2-29.2), 12.1 (4.1-19.5)
"Positive
SARS-CoV-2
test",ChAdOx1,4-7,Not immunocompromised,0.71 (0.66-0.77),0.68 (0.63-0.73),0.78 (0.72-0.85), 28.6 (23.1-33.8), 31.8 (26.6-36.7), 21.9 (15.0-28.3)
"Positive
SARS-CoV-2
test",ChAdOx1,8-14,Not immunocompromised,0.83 (0.78-0.88),0.79 (0.74-0.84),0.91 (0.85-0.97), 17.2 (12.0-22.1), 21.4 (16.4-26.1),  8.9 (2.7-14.7)
"Positive
SARS-CoV-2
test",ChAdOx1,15-21,Not immunocompromised,0.90 (0.84-0.96),0.84 (0.79-0.90),0.94 (0.88-1.01), 10.4 (4.3-16.1), 15.7 (9.9-21.2),  5.6 (-1.1-11.8)
"Positive
SARS-CoV-2
test",ChAdOx1,22-28,Not immunocompromised,0.88 (0.82-0.94),0.82 (0.76-0.88),0.91 (0.84-0.98), 12.4 (6.0-18.5), 18.3 (12.1-24.0),  8.9 (1.8-15.5)
"Positive
SARS-CoV-2
test",ChAdOx1,29-35,Not immunocompromised,0.82 (0.76-0.88),0.76 (0.70-0.82),0.83 (0.76-0.90), 18.4 (11.9-24.5), 24.2 (17.9-29.9), 17.3 (10.2-23.8)
"Positive
SARS-CoV-2
test",ChAdOx1,36+,Not immunocompromised,0.84 (0.78-0.90),0.79 (0.73-0.85),0.83 (0.77-0.90), 16.3 (10.1-22.0), 21.3 (15.2-27.0), 16.6 (9.9-22.8)
"Positive
SARS-CoV-2
test",ChAdOx1,1-3,Immunocompromised,0.87 (0.67-1.14),0.86 (0.66-1.12),0.96 (0.74-1.26), 12.6 (-13.9-32.9), 14.1 (-12.0-34.1),  3.6 (-25.9-26.1)
"Positive
SARS-CoV-2
test",ChAdOx1,4-7,Immunocompromised,0.66 (0.50-0.86),0.65 (0.50-0.85),0.74 (0.57-0.97), 34.2 (13.9-49.7), 35.1 (15.1-50.4), 25.7 (2.7-43.3)
"Positive
SARS-CoV-2
test",ChAdOx1,8-14,Immunocompromised,0.81 (0.66-0.99),0.80 (0.65-0.98),0.89 (0.72-1.10), 19.2 (0.5-34.4), 20.2 (1.6-35.2), 11.2 (-9.8-28.2)
"Positive
SARS-CoV-2
test",ChAdOx1,15-21,Immunocompromised,0.80 (0.65-1.00),0.80 (0.64-0.99),0.88 (0.70-1.10), 19.6 (-0.1-35.5), 20.4 (0.7-36.2), 11.8 (-10.5-29.5)
"Positive
SARS-CoV-2
test",ChAdOx1,22-28,Immunocompromised,0.75 (0.59-0.94),0.74 (0.58-0.94),0.81 (0.63-1.03), 25.3 (5.7-40.9), 26.0 (6.2-41.6), 19.2 (-2.8-36.5)
"Positive
SARS-CoV-2
test",ChAdOx1,29-35,Immunocompromised,0.60 (0.46-0.77),0.59 (0.45-0.77),0.64 (0.49-0.84), 40.4 (22.6-54.2), 40.9 (22.9-54.7), 36.0 (16.1-51.2)
"Positive
SARS-CoV-2
test",ChAdOx1,36+,Immunocompromised,0.79 (0.65-0.96),0.79 (0.65-0.97),0.86 (0.69-1.06), 21.0 (3.8-35.1), 20.7 (2.6-35.4), 14.2 (-6.1-30.6)
"COVID-19
hospitalisation",Any vaccine,1-3,Not immunocompromised,0.27 (0.24-0.32),0.29 (0.26-0.34),0.31 (0.27-0.36), 72.5 (68.5-76.0), 70.6 (66.3-74.4), 69.0 (64.4-73.0)
"COVID-19
hospitalisation",Any vaccine,4-7,Not immunocompromised,0.31 (0.27-0.34),0.33 (0.30-0.37),0.36 (0.32-0.40), 69.3 (65.6-72.6), 66.8 (62.7-70.3), 64.2 (59.9-68.1)
"COVID-19
hospitalisation",Any vaccine,8-14,Not immunocompromised,0.29 (0.26-0.31),0.31 (0.28-0.34),0.34 (0.30-0.37), 71.5 (68.7-74.1), 68.6 (65.5-71.5), 66.5 (63.1-69.6)
"COVID-19
hospitalisation",Any vaccine,15-21,Not immunocompromised,0.23 (0.20-0.25),0.25 (0.23-0.28),0.26 (0.24-0.30), 77.5 (74.9-79.8), 74.9 (71.9-77.5), 73.6 (70.5-76.3)
"COVID-19
hospitalisation",Any vaccine,22-28,Not immunocompromised,0.19 (0.17-0.22),0.22 (0.19-0.25),0.23 (0.20-0.27), 80.9 (78.1-83.3), 78.2 (75.0-81.0), 76.7 (73.3-79.7)
"COVID-19
hospitalisation",Any vaccine,29-35,Not immunocompromised,0.15 (0.12-0.17),0.17 (0.14-0.20),0.18 (0.15-0.21), 85.3 (82.6-87.5), 83.1 (80.0-85.7), 81.9 (78.6-84.7)
"COVID-19
hospitalisation",Any vaccine,36+,Not immunocompromised,0.15 (0.13-0.17),0.17 (0.15-0.20),0.19 (0.16-0.21), 84.9 (82.8-86.7), 82.6 (80.2-84.8), 81.4 (78.8-83.8)
"COVID-19
hospitalisation",Any vaccine,1-3,Immunocompromised,0.28 (0.18-0.44),0.29 (0.19-0.46),0.31 (0.20-0.48), 72.0 (56.2-82.1), 70.5 (53.9-81.2), 69.2 (51.6-80.4)
"COVID-19
hospitalisation",Any vaccine,4-7,Immunocompromised,0.38 (0.27-0.53),0.40 (0.29-0.56),0.43 (0.31-0.61), 62.2 (46.9-73.1), 59.9 (43.6-71.4), 56.6 (38.8-69.2)
"COVID-19
hospitalisation",Any vaccine,8-14,Immunocompromised,0.29 (0.21-0.39),0.31 (0.23-0.42),0.33 (0.24-0.44), 71.4 (61.2-78.8), 69.1 (58.3-77.1), 67.2 (55.6-75.8)
"COVID-19
hospitalisation",Any vaccine,15-21,Immunocompromised,0.23 (0.17-0.33),0.26 (0.18-0.36),0.28 (0.20-0.39), 76.5 (66.7-83.5), 74.4 (63.7-81.9), 72.3 (60.7-80.5)
"COVID-19
hospitalisation",Any vaccine,22-28,Immunocompromised,0.11 (0.07-0.20),0.13 (0.07-0.22),0.14 (0.08-0.24), 88.5 (80.2-93.3), 87.2 (78.0-92.6), 86.1 (76.1-92.0)
"COVID-19
hospitalisation",Any vaccine,29-35,Immunocompromised,0.17 (0.10-0.28),0.19 (0.12-0.31),0.20 (0.12-0.33), 82.8 (72.0-89.5), 80.8 (68.6-88.3), 79.9 (66.9-87.8)
"COVID-19
hospitalisation",Any vaccine,36+,Immunocompromised,0.12 (0.08-0.18),0.14 (0.09-0.20),0.15 (0.10-0.23), 87.7 (82.1-91.6), 86.1 (79.6-90.5), 84.7 (77.4-89.7)
"COVID-19
hospitalisation",BNT162b2,1-3,Not immunocompromised,0.18 (0.15-0.22),0.20 (0.16-0.24),0.22 (0.18-0.27), 82.0 (78.1-85.2), 80.1 (75.8-83.6), 77.9 (73.0-81.9)
"COVID-19
hospitalisation",BNT162b2,4-7,Not immunocompromised,0.27 (0.23-0.31),0.30 (0.26-0.35),0.33 (0.28-0.38), 73.0 (69.0-76.5), 69.9 (65.3-73.8), 67.3 (62.3-71.6)
"COVID-19
hospitalisation",BNT162b2,8-14,Not immunocompromised,0.27 (0.24-0.30),0.30 (0.27-0.34),0.33 (0.29-0.37), 73.1 (70.0-75.9), 69.7 (66.2-72.9), 67.0 (63.1-70.5)
"COVID-19
hospitalisation",BNT162b2,15-21,Not immunocompromised,0.22 (0.19-0.24),0.24 (0.22-0.28),0.26 (0.23-0.29), 78.4 (75.6-80.9), 75.7 (72.5-78.5), 74.0 (70.5-77.0)
"COVID-19
hospitalisation",BNT162b2,22-28,Not immunocompromised,0.19 (0.16-0.23),0.22 (0.19-0.26),0.24 (0.21-0.28), 80.7 (77.5-83.5), 78.0 (74.3-81.2), 75.7 (71.6-79.3)
"COVID-19
hospitalisation",BNT162b2,29-35,Not immunocompromised,0.15 (0.12-0.18),0.17 (0.14-0.21),0.19 (0.16-0.23), 85.0 (81.8-87.6), 82.9 (79.2-85.9), 80.9 (76.7-84.3)
"COVID-19
hospitalisation",BNT162b2,36+,Not immunocompromised,0.17 (0.14-0.19),0.18 (0.16-0.21),0.21 (0.18-0.24), 83.4 (80.7-85.6), 81.6 (78.6-84.2), 79.2 (75.8-82.2)
"COVID-19
hospitalisation",BNT162b2,1-3,Immunocompromised,0.23 (0.13-0.41),0.25 (0.14-0.44),0.27 (0.15-0.49), 77.1 (59.4-87.1), 75.1 (55.8-86.0), 72.9 (51.0-85.0)
"COVID-19
hospitalisation",BNT162b2,4-7,Immunocompromised,0.29 (0.19-0.45),0.32 (0.20-0.49),0.33 (0.21-0.51), 71.0 (54.9-81.4), 68.3 (50.6-79.6), 67.0 (48.7-78.8)
"COVID-19
hospitalisation",BNT162b2,8-14,Immunocompromised,0.29 (0.21-0.41),0.32 (0.23-0.46),0.35 (0.25-0.49), 70.7 (58.7-79.2), 67.6 (54.5-76.9), 65.0 (50.6-75.2)
"COVID-19
hospitalisation",BNT162b2,15-21,Immunocompromised,0.21 (0.14-0.32),0.23 (0.15-0.35),0.27 (0.17-0.41), 79.2 (68.3-86.4), 76.9 (64.9-84.8), 73.4 (59.4-82.6)
"COVID-19
hospitalisation",BNT162b2,22-28,Immunocompromised,0.12 (0.06-0.22),0.13 (0.07-0.25),0.14 (0.07-0.27), 88.4 (77.6-94.0), 86.9 (74.9-93.2), 86.0 (72.9-92.7)
"COVID-19
hospitalisation",BNT162b2,29-35,Immunocompromised,0.23 (0.14-0.39),0.26 (0.15-0.44),0.27 (0.16-0.47), 76.9 (60.6-86.5), 74.1 (55.7-84.8), 72.8 (53.2-84.2)
"COVID-19
hospitalisation",BNT162b2,36+,Immunocompromised,0.18 (0.12-0.28),0.21 (0.13-0.31),0.23 (0.15-0.35), 81.5 (71.8-87.9), 79.5 (68.6-86.6), 77.4 (64.8-85.4)
"COVID-19
hospitalisation",ChAdOx1,1-3,Not immunocompromised,0.49 (0.40-0.59),0.49 (0.40-0.59),0.53 (0.42-0.67), 51.1 (40.7-59.6), 51.0 (40.7-59.6), 46.6 (32.5-57.8)
"COVID-19
hospitalisation",ChAdOx1,4-7,Not immunocompromised,0.39 (0.32-0.47),0.39 (0.32-0.48),0.41 (0.34-0.50), 61.3 (53.1-68.0), 60.7 (52.4-67.5), 59.1 (50.0-66.5)
"COVID-19
hospitalisation",ChAdOx1,8-14,Not immunocompromised,0.33 (0.28-0.39),0.34 (0.29-0.40),0.40 (0.33-0.48), 67.0 (60.8-72.2), 66.0 (59.6-71.4), 60.3 (52.5-66.9)
"COVID-19
hospitalisation",ChAdOx1,15-21,Not immunocompromised,0.28 (0.23-0.35),0.29 (0.24-0.36),0.34 (0.27-0.41), 71.7 (65.2-77.0), 70.5 (63.8-76.0), 66.4 (58.5-72.8)
"COVID-19
hospitalisation",ChAdOx1,22-28,Not immunocompromised,0.25 (0.20-0.32),0.26 (0.20-0.34),0.32 (0.24-0.43), 75.0 (67.9-80.5), 73.9 (66.5-79.6), 67.8 (56.8-76.0)
"COVID-19
hospitalisation",ChAdOx1,29-35,Not immunocompromised,0.22 (0.16-0.30),0.23 (0.17-0.32),0.27 (0.20-0.37), 77.9 (69.9-83.7), 76.8 (68.5-82.9), 73.2 (63.4-80.4)
"COVID-19
hospitalisation",ChAdOx1,36+,Not immunocompromised,0.26 (0.20-0.33),0.27 (0.21-0.35),0.30 (0.23-0.40), 74.5 (67.1-80.2), 73.0 (65.1-79.0), 69.6 (60.4-76.6)
"COVID-19
hospitalisation",ChAdOx1,1-3,Immunocompromised,0.39 (0.19-0.79),0.39 (0.19-0.80),0.43 (0.21-0.89), 61.2 (20.9-81.0), 60.6 (19.6-80.7), 56.6 (11.4-78.7)
"COVID-19
hospitalisation",ChAdOx1,4-7,Immunocompromised,0.60 (0.35-1.02),0.61 (0.36-1.05),0.62 (0.36-1.07), 40.3 (-1.9-65.1), 38.7 (-4.7-64.1), 37.6 (-7.3-63.7)
"COVID-19
hospitalisation",ChAdOx1,8-14,Immunocompromised,0.28 (0.15-0.51),0.29 (0.16-0.53),0.31 (0.17-0.58), 72.1 (48.7-84.8), 71.0 (46.6-84.3), 68.7 (42.2-83.1)
"COVID-19
hospitalisation",ChAdOx1,15-21,Immunocompromised,0.38 (0.21-0.68),0.39 (0.22-0.71),0.41 (0.22-0.74), 62.2 (31.6-79.1), 60.6 (28.9-78.2), 59.4 (25.6-77.9)
"COVID-19
hospitalisation",ChAdOx1,22-28,Immunocompromised,0.16 (0.06-0.40),0.16 (0.06-0.41),0.18 (0.07-0.47), 84.3 (60.0-93.8), 83.8 (58.9-93.6), 81.6 (53.1-92.8)
"COVID-19
hospitalisation",ChAdOx1,29-35,Immunocompromised,0.10 (0.03-0.34),0.11 (0.03-0.35),0.11 (0.03-0.37), 89.5 (65.7-96.8), 89.2 (64.8-96.7), 89.0 (63.5-96.7)
"COVID-19
hospitalisation",ChAdOx1,36+,Immunocompromised,0.08 (0.03-0.20),0.08 (0.03-0.21),0.10 (0.04-0.24), 92.0 (79.6-96.8), 91.6 (78.5-96.7), 90.5 (75.8-96.3)
COVID-19 death,Any vaccine,1-3,Not immunocompromised,0.01 (0.00-0.02),0.01 (0.00-0.02),0.01 (0.00-0.02), 99.5 (98.4-99.8), 99.5 (98.3-99.8), 99.4 (98.3-99.8)
COVID-19 death,Any vaccine,4-7,Not immunocompromised,0.01 (0.00-0.02),0.01 (0.00-0.02),0.01 (0.01-0.02), 99.1 (98.3-99.6), 99.1 (98.1-99.5), 99.0 (97.9-99.5)
COVID-19 death,Any vaccine,8-14,Not immunocompromised,0.01 (0.01-0.02),0.01 (0.01-0.02),0.01 (0.01-0.02), 98.9 (98.3-99.3), 98.8 (98.1-99.2), 98.5 (97.7-99.0)
COVID-19 death,Any vaccine,15-21,Not immunocompromised,0.01 (0.01-0.02),0.01 (0.01-0.02),0.01 (0.01-0.02), 98.8 (98.2-99.1), 98.6 (98.0-99.0), 98.5 (97.8-99.0)
COVID-19 death,Any vaccine,22-28,Not immunocompromised,0.01 (0.00-0.01),0.01 (0.01-0.01),0.01 (0.01-0.02), 99.2 (98.7-99.5), 99.1 (98.5-99.4), 99.0 (98.4-99.4)
COVID-19 death,Any vaccine,29-35,Not immunocompromised,0.00 (0.00-0.01),0.01 (0.00-0.01),0.01 (0.00-0.01), 99.5 (99.1-99.8), 99.5 (99.0-99.7), 99.4 (98.8-99.7)
COVID-19 death,Any vaccine,36+,Not immunocompromised,0.00 (0.00-0.01),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.7 (99.5-99.8), 99.7 (99.4-99.8), 99.6 (99.4-99.8)
COVID-19 death,Any vaccine,1-3,Immunocompromised,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.00),100.0 (100.0-100.0),100.0 (100.0-100.0),100.0 (100.0-100.0)
COVID-19 death,Any vaccine,4-7,Immunocompromised,0.01 (0.00-0.07),0.01 (0.00-0.07),0.01 (0.00-0.07), 99.1 (93.3-99.9), 99.0 (92.8-99.9), 99.0 (92.6-99.9)
COVID-19 death,Any vaccine,8-14,Immunocompromised,0.01 (0.00-0.03),0.01 (0.00-0.04),0.01 (0.00-0.04), 99.1 (96.5-99.8), 99.0 (96.2-99.8), 99.0 (96.1-99.8)
COVID-19 death,Any vaccine,15-21,Immunocompromised,0.02 (0.01-0.05),0.02 (0.01-0.05),0.02 (0.01-0.06), 98.1 (95.4-99.2), 97.9 (94.8-99.1), 97.6 (94.2-99.0)
COVID-19 death,Any vaccine,22-28,Immunocompromised,0.00 (0.00-0.03),0.00 (0.00-0.03),0.00 (0.00-0.03), 99.6 (97.1-99.9), 99.5 (96.7-99.9), 99.6 (96.8-99.9)
COVID-19 death,Any vaccine,29-35,Immunocompromised,0.01 (0.00-0.04),0.01 (0.00-0.04),0.01 (0.00-0.05), 99.0 (96.1-99.8), 98.9 (95.6-99.7), 98.9 (95.3-99.7)
COVID-19 death,Any vaccine,36+,Immunocompromised,0.00 (0.00-0.01),0.00 (0.00-0.02),0.00 (0.00-0.02), 99.8 (98.6-100.0), 99.8 (98.4-100.0), 99.8 (98.3-100.0)
COVID-19 death,BNT162b2,1-3,Not immunocompromised,0.00 (0.00-0.02),0.00 (0.00-0.02),0.00 (0.00-0.02), 99.7 (98.0-100.0), 99.7 (97.7-100.0), 99.7 (97.6-100.0)
COVID-19 death,BNT162b2,4-7,Not immunocompromised,0.01 (0.00-0.02),0.01 (0.00-0.02),0.01 (0.00-0.03), 99.1 (97.9-99.6), 99.0 (97.6-99.6), 98.8 (96.8-99.5)
COVID-19 death,BNT162b2,8-14,Not immunocompromised,0.01 (0.00-0.01),0.01 (0.00-0.02),0.01 (0.00-0.02), 99.3 (98.7-99.6), 99.2 (98.5-99.6), 99.1 (98.2-99.5)
COVID-19 death,BNT162b2,15-21,Not immunocompromised,0.01 (0.00-0.01),0.01 (0.00-0.01),0.01 (0.00-0.01), 99.4 (98.8-99.7), 99.3 (98.7-99.6), 99.2 (98.6-99.6)
COVID-19 death,BNT162b2,22-28,Not immunocompromised,0.01 (0.00-0.01),0.01 (0.00-0.01),0.01 (0.01-0.02), 99.3 (98.7-99.6), 99.2 (98.5-99.6), 99.1 (98.3-99.5)
COVID-19 death,BNT162b2,29-35,Not immunocompromised,0.00 (0.00-0.01),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.7 (99.2-99.9), 99.7 (99.2-99.9), 99.6 (99.0-99.9)
COVID-19 death,BNT162b2,36+,Not immunocompromised,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.01), 99.8 (99.6-99.9), 99.8 (99.6-99.9), 99.7 (99.5-99.9)
COVID-19 death,BNT162b2,1-3,Immunocompromised,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.00),100.0 (100.0-100.0),100.0 (100.0-100.0),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,4-7,Immunocompromised,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.00),100.0 (100.0-100.0),100.0 (100.0-100.0),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,8-14,Immunocompromised,0.01 (0.00-0.05),0.01 (0.00-0.05),0.01 (0.00-0.05), 99.4 (95.4-99.9), 99.3 (94.8-99.9), 99.2 (94.6-99.9)
COVID-19 death,BNT162b2,15-21,Immunocompromised,0.03 (0.01-0.06),0.03 (0.01-0.07),0.03 (0.01-0.08), 97.5 (93.8-99.0), 97.1 (92.9-98.8), 96.8 (92.0-98.7)
COVID-19 death,BNT162b2,22-28,Immunocompromised,0.01 (0.00-0.04),0.01 (0.00-0.04),0.01 (0.00-0.04), 99.5 (96.3-99.9), 99.4 (95.8-99.9), 99.4 (95.5-99.9)
COVID-19 death,BNT162b2,29-35,Immunocompromised,0.01 (0.00-0.04),0.01 (0.00-0.05),0.01 (0.00-0.05), 99.4 (95.6-99.9), 99.3 (95.1-99.9), 99.3 (94.9-99.9)
COVID-19 death,BNT162b2,36+,Immunocompromised,0.00 (0.00-0.02),0.00 (0.00-0.02),0.00 (0.00-0.02), 99.7 (98.2-100.0), 99.7 (98.1-100.0), 99.7 (97.8-100.0)
COVID-19 death,ChAdOx1,1-3,Not immunocompromised,0.01 (0.00-0.03),0.01 (0.00-0.03),0.01 (0.00-0.04), 99.2 (97.0-99.8), 99.3 (97.0-99.8), 99.1 (96.5-99.8)
COVID-19 death,ChAdOx1,4-7,Not immunocompromised,0.01 (0.00-0.02),0.01 (0.00-0.02),0.01 (0.00-0.03), 99.2 (97.6-99.7), 99.2 (97.6-99.7), 99.1 (97.1-99.7)
COVID-19 death,ChAdOx1,8-14,Not immunocompromised,0.02 (0.01-0.03),0.02 (0.01-0.03),0.02 (0.01-0.04), 98.2 (96.8-98.9), 98.1 (96.8-98.9), 97.8 (96.1-98.7)
COVID-19 death,ChAdOx1,15-21,Not immunocompromised,0.03 (0.02-0.04),0.03 (0.02-0.04),0.03 (0.02-0.06), 97.3 (95.6-98.3), 97.2 (95.6-98.3), 96.5 (94.4-97.8)
COVID-19 death,ChAdOx1,22-28,Not immunocompromised,0.01 (0.00-0.02),0.01 (0.00-0.02),0.01 (0.01-0.03), 98.9 (97.5-99.5), 98.9 (97.5-99.5), 98.5 (96.7-99.3)
COVID-19 death,ChAdOx1,29-35,Not immunocompromised,0.01 (0.00-0.03),0.01 (0.00-0.03),0.01 (0.01-0.04), 98.8 (97.1-99.5), 98.8 (97.1-99.5), 98.5 (96.4-99.4)
COVID-19 death,ChAdOx1,36+,Not immunocompromised,0.01 (0.00-0.02),0.01 (0.00-0.02),0.01 (0.00-0.02), 99.1 (98.1-99.6), 99.1 (98.1-99.6), 99.0 (97.8-99.5)
COVID-19 death,ChAdOx1,1-3,Immunocompromised,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.00),100.0 (100.0-100.0),100.0 (100.0-100.0),100.0 (100.0-100.0)
