outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI,diff,diff_CI,diff_ECI
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.69,(0.67-0.72), 30.6,(28.1-33.0),0.69 (0.67-0.72), 30.6 (28.1-33.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.69,(0.66-0.71), 31.4,(28.6-34.2),0.69 (0.66-0.71), 31.4 (28.6-34.2),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.68,(0.65-0.71), 32.4,(29.3-35.4),0.68 (0.65-0.71), 32.4 (29.3-35.4),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.66,(0.64-0.69), 33.6,(30.6-36.5),0.66 (0.64-0.69), 33.6 (30.6-36.5),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.59,(0.56-0.62), 41.1,(38.2-43.9),0.59 (0.56-0.62), 41.1 (38.2-43.9),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.64,(0.61-0.66), 36.5,(33.8-39.1),0.64 (0.61-0.66), 36.5 (33.8-39.1),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.70,(0.67-0.72), 30.5,(28.1-32.8),0.70 (0.67-0.72), 30.5 (28.1-32.8),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.71,(0.69-0.74), 28.5,(26.0-31.0),0.71 (0.69-0.74), 28.5 (26.0-31.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.71,(0.68-0.74), 29.3,(26.3-32.1),0.71 (0.68-0.74), 29.3 (26.3-32.1),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.70,(0.67-0.73), 30.5,(27.3-33.5),0.70 (0.67-0.73), 30.5 (27.3-33.5),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.68,(0.65-0.71), 32.1,(28.9-35.0),0.68 (0.65-0.71), 32.1 (28.9-35.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.57,(0.48-0.67), 43.3,(33.1-51.9),0.57 (0.48-0.67), 43.3 (33.1-51.9),-0.01,(-0.18-0.17),-0.01 (-0.18-0.17)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.57,(0.49-0.66), 43.2,(34.3-50.9),0.57 (0.49-0.66), 43.2 (34.3-50.9),-0.08,(-0.23-0.08),-0.08 (-0.23-0.08)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.66,(0.59-0.74), 33.8,(26.1-40.8),0.66 (0.59-0.74), 33.8 (26.1-40.8),-0.01,(-0.13-0.10),-0.01 (-0.13-0.10)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.67,(0.59-0.75), 33.4,(25.2-40.6),0.67 (0.59-0.75), 33.4 (25.2-40.6),-0.04,(-0.16-0.08),-0.04 (-0.16-0.08)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.64,(0.56-0.73), 35.9,(26.9-43.8),0.64 (0.56-0.73), 35.9 (26.9-43.8),-0.06,(-0.20-0.08),-0.06 (-0.20-0.08)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.66,(0.57-0.76), 34.0,(24.2-42.5),0.66 (0.57-0.76), 34.0 (24.2-42.5),-0.02,(-0.16-0.13),-0.02 (-0.16-0.13)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.64,(0.57-0.72), 36.0,(28.1-43.0),0.64 (0.57-0.72), 36.0 (28.1-43.0),-0.02,(-0.15-0.10),-0.02 (-0.15-0.10)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.57,(0.48-0.67), 42.8,(32.6-51.5),0.57 (0.48-0.67), 42.8 (32.6-51.5),0.00,(-0.17-0.17),0.00 (-0.17-0.17)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.57,(0.50-0.66), 42.7,(33.7-50.4),0.57 (0.50-0.66), 42.7 (33.7-50.4),-0.07,(-0.22-0.08),-0.07 (-0.22-0.08)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.67,(0.60-0.75), 33.1,(25.2-40.1),0.67 (0.60-0.75), 33.1 (25.2-40.1),-0.01,(-0.12-0.11),-0.01 (-0.12-0.11)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.68,(0.60-0.76), 32.5,(24.2-39.8),0.68 (0.60-0.76), 32.5 (24.2-39.8),-0.03,(-0.15-0.09),-0.03 (-0.15-0.09)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.65,(0.57-0.74), 34.7,(25.6-42.8),0.65 (0.57-0.74), 34.7 (25.6-42.8),-0.05,(-0.19-0.09),-0.05 (-0.19-0.09)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.67,(0.59-0.77), 32.7,(22.6-41.5),0.67 (0.59-0.77), 32.7 (22.6-41.5),0.00,(-0.15-0.14),0.00 (-0.15-0.14)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.66,(0.59-0.74), 34.1,(25.9-41.4),0.66 (0.59-0.74), 34.1 (25.9-41.4),-0.01,(-0.13-0.12),-0.01 (-0.13-0.12)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.58,(0.49-0.69), 41.7,(31.2-50.6),0.58 (0.49-0.69), 41.7 (31.2-50.6),-0.01,(-0.18-0.16),-0.01 (-0.18-0.16)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.59,(0.51-0.68), 40.8,(31.5-48.8),0.59 (0.51-0.68), 40.8 (31.5-48.8),-0.07,(-0.22-0.08),-0.07 (-0.22-0.08)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.69,(0.62-0.78), 30.6,(22.5-37.9),0.69 (0.62-0.78), 30.6 (22.5-37.9),0.00,(-0.12-0.11),0.00 (-0.12-0.11)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.70,(0.63-0.79), 29.9,(21.3-37.5),0.70 (0.63-0.79), 29.9 (21.3-37.5),-0.02,(-0.14-0.10),-0.02 (-0.14-0.10)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.68,(0.60-0.78), 31.8,(22.2-40.2),0.68 (0.60-0.78), 31.8 (22.2-40.2),-0.04,(-0.17-0.10),-0.04 (-0.17-0.10)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.71,(0.61-0.81), 29.3,(18.7-38.6),0.71 (0.61-0.81), 29.3 (18.7-38.6),0.02,(-0.13-0.16),0.02 (-0.13-0.16)
"Positive
SARS-CoV-2
test",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.69,(0.61-0.78), 31.0,(22.3-38.7),0.69 (0.61-0.78), 31.0 (22.3-38.7),0.02,(-0.11-0.14),0.02 (-0.11-0.14)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.48,(0.45-0.51), 52.3,(49.3-55.0),0.48 (0.45-0.51), 52.3 (49.3-55.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.57,(0.55-0.60), 42.6,(39.7-45.3),0.57 (0.55-0.60), 42.6 (39.7-45.3),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.62,(0.60-0.65), 37.7,(35.3-40.0),0.62 (0.60-0.65), 37.7 (35.3-40.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.65,(0.63-0.68), 34.6,(32.0-37.1),0.65 (0.63-0.68), 34.6 (32.0-37.1),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.68,(0.65-0.72), 31.7,(28.5-34.7),0.68 (0.65-0.72), 31.7 (28.5-34.7),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.72,(0.69-0.76), 27.6,(24.0-31.0),0.72 (0.69-0.76), 27.6 (24.0-31.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.73,(0.70-0.77), 26.6,(23.1-30.0),0.73 (0.70-0.77), 26.6 (23.1-30.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.49,(0.46-0.52), 51.2,(48.1-54.0),0.49 (0.46-0.52), 51.2 (48.1-54.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.59,(0.56-0.62), 41.2,(38.3-44.0),0.59 (0.56-0.62), 41.2 (38.3-44.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.64,(0.61-0.66), 36.3,(33.8-38.7),0.64 (0.61-0.66), 36.3 (33.8-38.7),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.67,(0.64-0.69), 33.4,(30.8-36.0),0.67 (0.64-0.69), 33.4 (30.8-36.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.69,(0.66-0.72), 30.8,(27.5-33.9),0.69 (0.66-0.72), 30.8 (27.5-33.9),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.73,(0.69-0.76), 27.3,(23.6-30.8),0.73 (0.69-0.76), 27.3 (23.6-30.8),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.72,(0.69-0.76), 27.7,(24.1-31.1),0.72 (0.69-0.76), 27.7 (24.1-31.1),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.51,(0.48-0.54), 49.1,(45.9-52.1),0.51 (0.48-0.54), 49.1 (45.9-52.1),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.61,(0.58-0.64), 38.8,(35.7-41.7),0.61 (0.58-0.64), 38.8 (35.7-41.7),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.67,(0.64-0.69), 33.3,(30.7-35.8),0.67 (0.64-0.69), 33.3 (30.7-35.8),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.70,(0.67-0.73), 30.1,(27.4-32.8),0.70 (0.67-0.73), 30.1 (27.4-32.8),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.74,(0.70-0.77), 26.4,(22.9-29.7),0.74 (0.70-0.77), 26.4 (22.9-29.7),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.77,(0.74-0.81), 22.7,(18.8-26.5),0.77 (0.74-0.81), 22.7 (18.8-26.5),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.76,(0.73-0.80), 23.6,(19.8-27.3),0.76 (0.73-0.80), 23.6 (19.8-27.3),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.46,(0.37-0.56), 54.4,(43.7-63.0),0.46 (0.37-0.56), 54.4 (43.7-63.0),-0.05,(-0.26-0.17),-0.05 (-0.26-0.17)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.54,(0.46-0.65), 45.5,(35.4-54.1),0.54 (0.46-0.65), 45.5 (35.4-54.1),-0.05,(-0.23-0.12),-0.05 (-0.23-0.12)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.63,(0.56-0.72), 36.9,(28.4-44.5),0.63 (0.56-0.72), 36.9 (28.4-44.5),0.01,(-0.12-0.14),0.01 (-0.12-0.14)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.65,(0.57-0.74), 34.8,(25.9-42.6),0.65 (0.57-0.74), 34.8 (25.9-42.6),0.00,(-0.14-0.13),0.00 (-0.14-0.13)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.67,(0.58-0.78), 32.9,(22.2-42.2),0.67 (0.58-0.78), 32.9 (22.2-42.2),-0.02,(-0.17-0.14),-0.02 (-0.17-0.14)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.79,(0.67-0.92), 21.4,(8.5-32.5),0.79 (0.67-0.92), 21.4 (8.5-32.5),0.08,(-0.08-0.24),0.08 (-0.08-0.24)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.73,(0.64-0.83), 27.3,(17.3-36.0),0.73 (0.64-0.83), 27.3 (17.3-36.0),-0.01,(-0.15-0.13),-0.01 (-0.15-0.13)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.47,(0.38-0.58), 53.3,(42.3-62.2),0.47 (0.38-0.58), 53.3 (42.3-62.2),-0.04,(-0.26-0.17),-0.04 (-0.26-0.17)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.56,(0.47-0.66), 44.2,(33.9-53.0),0.56 (0.47-0.66), 44.2 (33.9-53.0),-0.05,(-0.23-0.12),-0.05 (-0.23-0.12)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.65,(0.57-0.73), 35.4,(26.6-43.1),0.65 (0.57-0.73), 35.4 (26.6-43.1),0.01,(-0.12-0.15),0.01 (-0.12-0.15)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.67,(0.59-0.76), 33.3,(24.2-41.3),0.67 (0.59-0.76), 33.3 (24.2-41.3),0.00,(-0.13-0.14),0.00 (-0.13-0.14)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.69,(0.59-0.80), 31.4,(20.3-40.9),0.69 (0.59-0.80), 31.4 (20.3-40.9),-0.01,(-0.16-0.15),-0.01 (-0.16-0.15)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.80,(0.69-0.93), 19.9,(6.6-31.3),0.80 (0.69-0.93), 19.9 (6.6-31.3),0.10,(-0.07-0.26),0.10 (-0.07-0.26)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.73,(0.64-0.83), 26.8,(16.6-35.8),0.73 (0.64-0.83), 26.8 (16.6-35.8),0.01,(-0.13-0.15),0.01 (-0.13-0.15)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.49,(0.39-0.60), 51.4,(40.0-60.7),0.49 (0.39-0.60), 51.4 (40.0-60.7),-0.05,(-0.27-0.17),-0.05 (-0.27-0.17)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.58,(0.49-0.69), 42.2,(31.5-51.2),0.58 (0.49-0.69), 42.2 (31.5-51.2),-0.06,(-0.23-0.12),-0.06 (-0.23-0.12)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.68,(0.60-0.77), 31.9,(22.6-40.0),0.68 (0.60-0.77), 31.9 (22.6-40.0),0.02,(-0.11-0.15),0.02 (-0.11-0.15)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.71,(0.62-0.80), 29.5,(19.9-37.9),0.71 (0.62-0.80), 29.5 (19.9-37.9),0.01,(-0.12-0.14),0.01 (-0.12-0.14)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.73,(0.63-0.85), 26.7,(14.9-36.8),0.73 (0.63-0.85), 26.7 (14.9-36.8),0.00,(-0.16-0.15),0.00 (-0.16-0.15)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.86,(0.74-1.00), 13.9,(-0.5-26.2),0.86 (0.74-1.00), 13.9 (-0.5-26.2),0.11,(-0.05-0.27),0.11 (-0.05-0.27)
"Positive
SARS-CoV-2
test",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.78,(0.68-0.89), 22.3,(11.2-32.0),0.78 (0.68-0.89), 22.3 (11.2-32.0),0.02,(-0.12-0.16),0.02 (-0.12-0.16)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.80,(0.74-0.86), 20.0,(13.6-26.0),0.80 (0.74-0.86), 20.0 (13.6-26.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.71,(0.66-0.77), 28.6,(23.1-33.8),0.71 (0.66-0.77), 28.6 (23.1-33.8),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.83,(0.78-0.88), 17.2,(12.0-22.1),0.83 (0.78-0.88), 17.2 (12.0-22.1),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.90,(0.84-0.96), 10.4,(4.3-16.1),0.90 (0.84-0.96), 10.4 (4.3-16.1),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.88,(0.82-0.94), 12.4,(6.0-18.5),0.88 (0.82-0.94), 12.4 (6.0-18.5),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.82,(0.76-0.88), 18.4,(11.9-24.5),0.82 (0.76-0.88), 18.4 (11.9-24.5),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.84,(0.78-0.90), 16.3,(10.1-22.0),0.84 (0.78-0.90), 16.3 (10.1-22.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.77,(0.71-0.83), 23.4,(17.2-29.2),0.77 (0.71-0.83), 23.4 (17.2-29.2),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.68,(0.63-0.73), 31.8,(26.6-36.7),0.68 (0.63-0.73), 31.8 (26.6-36.7),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.79,(0.74-0.84), 21.4,(16.4-26.1),0.79 (0.74-0.84), 21.4 (16.4-26.1),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.84,(0.79-0.90), 15.7,(9.9-21.2),0.84 (0.79-0.90), 15.7 (9.9-21.2),0.00,(NA-NA),0.00 (NA-NA)
