outcome,outcome_descr,brand,brand_descr,recent_postestperiod,model,model_descr,model_descr_wrap,term,term_left,term_right,term_midpoint,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,ve,ve.ll,ve.ul,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",36+,35,42,38.5,-1.2390264606821706,0.048761364972930314,-25.410003624180977,1.9551442789776788e-142,-1.3345969798661268,-1.1434559414982144,0.2896660820338008,0.26326425487376554,0.31871565367294363,0.7103339179661992,0.6812843463270564,0.7367357451262344,0.29,(0.26-0.32),71.0,(68.1-73.7),0.29 (0.26-0.32),71.0 (68.1-73.7)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",4-7,3,7,5,-1.0712086247940844,0.04374152263336576,-24.48951386015477,1.9105493977961076e-132,-1.156940433784425,-0.9854768158037439,0.3425941992480146,0.31444678137174104,0.37326120765609555,0.6574058007519854,0.6267387923439045,0.6855532186282589,0.34,(0.31-0.37),65.7,(62.7-68.6),0.34 (0.31-0.37),65.7 (62.7-68.6)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",8-14,7,14,10.5,-0.8894262698212799,0.03284713776001677,-27.07774042047388,1.8009678575059365e-161,-0.9538054768261385,-0.8250470628164214,0.410891425950713,0.3852720862280348,0.43821436837726707,0.589108574049287,0.561785631622733,0.6147279137719652,0.41,(0.39-0.44),58.9,(56.2-61.5),0.41 (0.39-0.44),58.9 (56.2-61.5)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",1-3,0,3,1.5,-1.402843933406878,0.0633148460252886,-22.15663499910539,9.003224636615202e-109,-1.5269387513031427,-1.2787491155106134,0.2458966548859832,0.2171995524857543,0.2783853106146805,0.7541033451140168,0.7216146893853195,0.7828004475142457,0.25,(0.22-0.28),75.4,(72.2-78.3),0.25 (0.22-0.28),75.4 (72.2-78.3)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",15-21,14,21,17.5,-0.9041278701270312,0.036719742211133714,-24.622391544265597,7.273440823318726e-134,-0.9760972423824484,-0.832158497871614,0.4048948520600254,0.3767787091021092,0.4351090899360803,0.5951051479399746,0.5648909100639197,0.6232212908978908,0.40,(0.38-0.44),59.5,(56.5-62.3),0.40 (0.38-0.44),59.5 (56.5-62.3)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",22-28,21,28,24.5,-0.9866982379560097,0.04721495601350795,-20.898001846569986,5.583365486389258e-97,-1.079237851274128,-0.8941586246378913,0.37280557646414375,0.33985444659772507,0.4089515356768996,0.6271944235358562,0.5910484643231004,0.6601455534022749,0.37,(0.34-0.41),62.7,(59.1-66.0),0.37 (0.34-0.41),62.7 (59.1-66.0)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",29-35,28,35,31.5,-1.004851232759572,0.05433268877984467,-18.494413866230985,2.2901843455197092e-76,-1.111341345951291,-0.8983611195678529,0.36609909430500304,0.3291172048372441,0.4072365251072901,0.6339009056949969,0.59276347489271,0.6708827951627558,0.37,(0.33-0.41),63.4,(59.3-67.1),0.37 (0.33-0.41),63.4 (59.3-67.1)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",36+,35,42,38.5,-0.9906862280064181,0.049933330651618146,-19.840179196504565,1.3398033184471683e-87,-1.0885537577117197,-0.8928186983011166,0.37132179215950617,0.33670309600554493,0.40949986789036485,0.6286782078404938,0.5905001321096351,0.6632969039944551,0.37,(0.34-0.41),62.9,(59.1-66.3),0.37 (0.34-0.41),62.9 (59.1-66.3)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",4-7,3,7,5,-0.954975123500758,0.04422495708130186,-21.593579429487285,2.0639212068906157e-103,-1.0416544465979392,-0.8682958004035767,0.38482171745107047,0.3528703935329628,0.41966613503424494,0.6151782825489296,0.580333864965755,0.6471296064670372,0.38,(0.35-0.42),61.5,(58.0-64.7),0.38 (0.35-0.42),61.5 (58.0-64.7)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",8-14,7,14,10.5,-0.7527421152511994,0.032930673241190006,-22.85838827946166,1.206005960059549e-115,-0.8172850487905887,-0.68819918171181,0.47107304349880974,0.44162902963110173,0.5024801302047457,0.5289269565011903,0.4975198697952543,0.5583709703688983,0.47,(0.44-0.50),52.9,(49.8-55.8),0.47 (0.44-0.50),52.9 (49.8-55.8)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",1-3,0,3,1.5,-1.5895586932515593,0.0613770590299307,-25.898254467950416,6.968145890091616e-148,-1.7098555184272124,-1.4692618680759062,0.20401562534319734,0.18089192627917372,0.23009526317907253,0.7959843746568027,0.7699047368209275,0.8191080737208263,0.20,(0.18-0.23),79.6,(77.0-81.9),0.20 (0.18-0.23),79.6 (77.0-81.9)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",15-21,14,21,17.5,-1.1465953957551231,0.036557530768836284,-31.364136790457035,6.242441294665045e-216,-1.218246839425757,-1.0749439520844892,0.3177166294732111,0.29574820678383557,0.34131688486482786,0.6822833705267889,0.6586831151351722,0.7042517932161645,0.32,(0.30-0.34),68.2,(65.9-70.4),0.32 (0.30-0.34),68.2 (65.9-70.4)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",22-28,21,28,24.5,-1.2900648311011207,0.04655912101756256,-27.708101074642187,5.576903211218264e-169,-1.381319031447385,-1.1988106307548563,0.2752529375602572,0.2512469317943027,0.3015526561636956,0.7247470624397427,0.6984473438363044,0.7487530682056973,0.28,(0.25-0.30),72.5,(69.8-74.9),0.28 (0.25-0.30),72.5 (69.8-74.9)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",29-35,28,35,31.5,-1.3381931128813427,0.05337033286438047,-25.073726189451165,9.623992511447903e-139,-1.4427970431384427,-1.2335891826242427,0.262319221845768,0.23626598745317537,0.2912453666798176,0.737680778154232,0.7087546333201824,0.7637340125468246,0.26,(0.24-0.29),73.8,(70.9-76.4),0.26 (0.24-0.29),73.8 (70.9-76.4)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",36+,35,42,38.5,-1.327804907498604,0.04777795812825743,-27.79116060033753,5.547581714347573e-170,-1.4214479846848513,-1.2341618303123567,0.2650584510021031,0.24136427197620813,0.2910786334381735,0.7349415489978969,0.7089213665618266,0.7586357280237919,0.27,(0.24-0.29),73.5,(70.9-75.9),0.27 (0.24-0.29),73.5 (70.9-75.9)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",4-7,3,7,5,-1.1315186570432552,0.0435340247448766,-25.991593096992954,6.163739724907855e-149,-1.2168437776452887,-1.0461935364412216,0.3225430520125853,0.29616345102796005,0.35127231277356946,0.6774569479874146,0.6487276872264305,0.70383654897204,0.32,(0.30-0.35),67.7,(64.9-70.4),0.32 (0.30-0.35),67.7 (64.9-70.4)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",8-14,7,14,10.5,-0.969795991030009,0.03259744505472157,-29.750674919522233,1.6996275650011177e-194,-1.0336858093252865,-0.9059061727347315,0.37916038233273336,0.35569352301182916,0.40417546632111007,0.6208396176672666,0.5958245336788899,0.6443064769881708,0.38,(0.36-0.40),62.1,(59.6-64.4),0.38 (0.36-0.40),62.1 (59.6-64.4)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",1-3,0,3,1.5,-1.5355725059171572,0.06154780625385085,-24.949264634774558,2.1749790211308524e-137,-1.6562039895021539,-1.4149410223321606,0.21533237681412948,0.19086212132351718,0.24293994105738245,0.7846676231858705,0.7570600589426175,0.8091378786764828,0.22,(0.19-0.24),78.5,(75.7-80.9),0.22 (0.19-0.24),78.5 (75.7-80.9)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",15-21,14,21,17.5,-1.0565851431617312,0.03684461256783692,-28.676787989462127,7.431482947012663e-181,-1.1287992568190235,-0.984371029504439,0.34764092967791166,0.32342136936748556,0.37367418307478273,0.6523590703220883,0.6263258169252173,0.6765786306325144,0.35,(0.32-0.37),65.2,(62.6-67.7),0.35 (0.32-0.37),65.2 (62.6-67.7)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",22-28,21,28,24.5,-1.192900737998368,0.046990997009518226,-25.385729478281572,3.6252683880567814e-142,-1.2850013997346532,-1.1008000762620829,0.3033400765510492,0.2766501963948357,0.3326048679563276,0.6966599234489508,0.6673951320436724,0.7233498036051643,0.30,(0.28-0.33),69.7,(66.7-72.3),0.30 (0.28-0.33),69.7 (66.7-72.3)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",29-35,28,35,31.5,-1.239402262551645,0.05396432085464893,-22.967068665423085,9.950220500697081e-117,-1.3451703878769206,-1.1336341372263694,0.2895572454304296,0.26049531883408317,0.3218614398006141,0.7104427545695704,0.6781385601993859,0.7395046811659168,0.29,(0.26-0.32),71.0,(67.8-74.0),0.29 (0.26-0.32),71.0 (67.8-74.0)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",36+,35,42,38.5,-1.2390264606821941,0.04876136497289498,-25.41000362419987,1.9551442780376045e-142,-1.3345969798660813,-1.143455941498307,0.289666082033794,0.2632642548737775,0.3187156536729141,0.710333917966206,0.6812843463270859,0.7367357451262224,0.29,(0.26-0.32),71.0,(68.1-73.7),0.29 (0.26-0.32),71.0 (68.1-73.7)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",4-7,3,7,5,-1.0712086247941022,0.04374152263335271,-24.489513860162486,1.9105493974344647e-132,-1.1569404337844171,-0.9854768158037872,0.3425941992480085,0.3144467813717435,0.3732612076560794,0.6574058007519915,0.6267387923439206,0.6855532186282565,0.34,(0.31-0.37),65.7,(62.7-68.6),0.34 (0.31-0.37),65.7 (62.7-68.6)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",8-14,7,14,10.5,-0.8894262698213733,0.03284713775999176,-27.077740420497335,1.8009678563605707e-161,-0.9538054768261828,-0.8250470628165638,0.4108914259506746,0.38527208622801773,0.4382143683772047,0.5891085740493254,0.5617856316227954,0.6147279137719823,0.41,(0.39-0.44),58.9,(56.2-61.5),0.41 (0.39-0.44),58.9 (56.2-61.5)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",1-3,0,3,1.5,-1.4028439334063865,0.0633148460252843,-22.15663499909913,9.003224637866467e-109,-1.5269387513026427,-1.2787491155101303,0.24589665488610407,0.2171995524858629,0.2783853106148151,0.7541033451138959,0.7216146893851849,0.7828004475141371,0.25,(0.22-0.28),75.4,(72.2-78.3),0.25 (0.22-0.28),75.4 (72.2-78.3)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",15-21,14,21,17.5,-0.9041278701266445,0.03671974221115184,-24.622391544242912,7.273440827387882e-134,-0.9760972423820973,-0.8321584978711918,0.404894852060182,0.3767787091022415,0.435109089936264,0.595105147939818,0.564890910063736,0.6232212908977586,0.40,(0.38-0.44),59.5,(56.5-62.3),0.40 (0.38-0.44),59.5 (56.5-62.3)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",22-28,21,28,24.5,-0.9866982379555655,0.04721495601351786,-20.898001846556188,5.58336548800298e-97,-1.0792378512737033,-0.8941586246374277,0.37280557646430934,0.33985444659786945,0.4089515356770892,0.6271944235356907,0.5910484643229108,0.6601455534021305,0.37,(0.34-0.41),62.7,(59.1-66.0),0.37 (0.34-0.41),62.7 (59.1-66.0)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",29-35,28,35,31.5,-1.0048512327590475,0.05433268877985246,-18.494413866218682,2.290184346042328e-76,-1.1113413459507817,-0.8983611195673132,0.36609909430519505,0.32911720483741175,0.4072365251075099,0.633900905694805,0.5927634748924901,0.6708827951625882,0.37,(0.33-0.41),63.4,(59.3-67.1),0.37 (0.33-0.41),63.4 (59.3-67.1)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",36+,35,42,38.5,-0.9906862280057694,0.04993333065161853,-19.840179196491423,1.3398033187973774e-87,-1.0885537577110718,-0.8928186983004672,0.37132179215974703,0.3367030960057631,0.40949986789063075,0.628678207840253,0.5905001321093692,0.6632969039942369,0.37,(0.34-0.41),62.9,(59.1-66.3),0.37 (0.34-0.41),62.9 (59.1-66.3)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",4-7,3,7,5,-0.954975123500248,0.04422495708130086,-21.593579429476247,2.0639212073836144e-103,-1.0416544465974273,-0.8682958004030688,0.3848217174512667,0.3528703935331434,0.4196661350344581,0.6151782825487333,0.5803338649655418,0.6471296064668566,0.38,(0.35-0.42),61.5,(58.0-64.7),0.38 (0.35-0.42),61.5 (58.0-64.7)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,Inf,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",8-14,7,14,10.5,-0.752742115250787,0.032930673241202184,-22.858388279440685,1.2060059606388826e-115,-0.8172850487902003,-0.688199181711374,0.47107304349900403,0.4416290296312733,0.5024801302049648,0.528926956500996,0.49751986979503515,0.5583709703687267,0.47,(0.44-0.50),52.9,(49.8-55.8),0.47 (0.44-0.50),52.9 (49.8-55.8)
postest,"Positive
SARS-CoV-2
test",az,ChAdOx1,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",1-3,0,3,1.5,-1.059597762605661,0.05979851027443461,-17.719467554339158,2.96707347173055e-70,-1.1768006890727012,-0.9423948361386207,0.3465951958436118,0.30826339309532935,0.3896934649801976,0.6534048041563882,0.6103065350198025,0.6917366069046706,0.35,(0.31-0.39),65.3,(61.0-69.2),0.35 (0.31-0.39),65.3 (61.0-69.2)
postest,"Positive
SARS-CoV-2
test",az,ChAdOx1,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",15-21,14,21,17.5,-0.7376705135372363,0.04981072098870132,-14.80947271782241,1.2723446670783912e-49,-0.8352977327190643,-0.6400432943554084,0.47822664146526417,0.43374532203234517,0.5272695957516095,0.5217733585347358,0.4727304042483905,0.5662546779676548,0.48,(0.43-0.53),52.2,(47.3-56.6),0.48 (0.43-0.53),52.2 (47.3-56.6)
postest,"Positive
SARS-CoV-2
test",az,ChAdOx1,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",22-28,21,28,24.5,-0.9688358840383741,0.06172908706468157,-15.694965373830964,1.6373196912504866e-55,-1.0898226714836872,-0.8478490965930608,0.37952459167875424,0.3362761197652663,0.4283352495843889,0.6204754083212458,0.5716647504156112,0.6637238802347337,0.38,(0.34-0.43),62.0,(57.2-66.4),0.38 (0.34-0.43),62.0 (57.2-66.4)
postest,"Positive
SARS-CoV-2
test",az,ChAdOx1,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",29-35,28,35,31.5,-1.069244780821754,0.07368616561106907,-14.510794149141248,1.0351514468199453e-47,-1.2136670115783033,-0.9248225500652048,0.34326766187247665,0.29710578903066853,0.396601789792907,0.6567323381275234,0.6033982102070929,0.7028942109693315,0.34,(0.30-0.40),65.7,(60.3-70.3),0.34 (0.30-0.40),65.7 (60.3-70.3)
postest,"Positive
SARS-CoV-2
test",az,ChAdOx1,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",36+,35,42,38.5,-0.9872137386481148,0.062006160065604485,-15.92122036913125,4.5148423142359737e-57,-1.1087435791963254,-0.8656838980999043,0.37261344445780176,0.32997328603866893,0.42076369471447705,0.6273865555421982,0.579236305285523,0.6700267139613311,0.37,(0.33-0.42),62.7,(57.9-67.0),0.37 (0.33-0.42),62.7 (57.9-67.0)
postest,"Positive
SARS-CoV-2
test",az,ChAdOx1,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",4-7,3,7,5,-0.7601999056391102,0.048397608326014405,-15.707385797212874,1.346166014097481e-55,-0.8550574748959743,-0.6653423363822462,0.4675729471978095,0.4252587486775261,0.5140975032991704,0.5324270528021905,0.48590249670082963,0.5747412513224739,0.47,(0.43-0.51),53.2,(48.6-57.5),0.47 (0.43-0.51),53.2 (48.6-57.5)
postest,"Positive
SARS-CoV-2
test",az,ChAdOx1,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",8-14,7,14,10.5,-0.6137275506670837,0.04121958164993853,-14.889223182302699,3.8724256106211148e-50,-0.6945164461587714,-0.5329386551753961,0.5413292713248203,0.4993158357087952,0.5868778016565102,0.45867072867517966,0.41312219834348984,0.5006841642912048,0.54,(0.50-0.59),45.9,(41.3-50.1),0.54 (0.50-0.59),45.9 (41.3-50.1)
postest,"Positive
SARS-CoV-2
test",az,ChAdOx1,0,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",1-3,0,3,1.5,-1.0706000547878736,0.05987347747285134,-17.881040152934492,1.6571633162132324e-71,-1.1879499142638323,-0.9532501953119147,0.3428027552560076,0.3048455834763042,0.38548608010338675,0.6571972447439924,0.6145139198966132,0.6951544165236958,0.34,(0.30-0.39),65.7,(61.5-69.5),0.34 (0.30-0.39),65.7 (61.5-69.5)
postest,"Positive
SARS-CoV-2
test",az,ChAdOx1,0,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",15-21,14,21,17.5,-0.7193790681296182,0.05006702231313047,-14.368321399871935,8.178965655538215e-47,-0.8175086286765172,-0.6212495075827192,0.487054589803323,0.44153030130027987,0.5372726917040084,0.512945410196677,0.4627273082959916,0.5584696986997202,0.49,(0.44-0.54),51.3,(46.3-55.8),0.49 (0.44-0.54),51.3 (46.3-55.8)
