brand_descr,timesincevax_pw,postest_q,covidadmitted_q,coviddeath_q,noncoviddeath_q,death_q,postest_rr,covidadmitted_rr,coviddeath_rr,noncoviddeath_rr,death_rr,postest_rrCI,covidadmitted_rrCI,coviddeath_rrCI,noncoviddeath_rrCI,death_rrCI
BNT162b2,36+,"950 / 57,499","552 / 57,738","369 / 57,996","2,728 / 57,996","3,097 / 57,996",0.11613933175452856,0.09504177347937644,0.13800957922744533,0.6315443095402947,0.4428525913959384,(0.11-0.12),(0.09-0.10),(0.12-0.15),(0.60-0.66),(0.43-0.46)
BNT162b2,Total,"17,289 /205,703","11,970 /206,379","5,264 /207,741","11,093 /207,741","16,357 /207,741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChAdOx1,Unvaccinated,"7,919 / 36,413","4,958 / 36,711","3,831 / 37,547","4,783 / 37,547","8,614 / 37,547",1,1,1,1,1,NA,NA,NA,NA,NA
ChAdOx1,1-3,"151 /  1,735","153 /  1,755","16 /  1,784","103 /  1,784","119 /  1,784",0.40010691526135583,0.645426593799628,0.08789711819491959,0.45321434716558523,0.2907427539235815,(0.34-0.47),(0.55-0.76),(0.05-0.14),(0.37-0.55),(0.24-0.35)
ChAdOx1,4-7,"266 /  2,308","171 /  2,334","27 /  2,374","198 /  2,374","225 /  2,374",0.5300646145252291,0.5424437727240882,0.11148426528939588,0.6548272943843378,0.41318030756489016,(0.47-0.60),(0.46-0.63),(0.07-0.16),(0.57-0.75),(0.36-0.47)
ChAdOx1,8-14,"429 /  4,018","308 /  4,066","90 /  4,137","381 /  4,137","471 /  4,137",0.49098081611254984,0.5608399745664332,0.21320187749248182,0.7229117141930421,0.4962227909982608,(0.44-0.54),(0.50-0.63),(0.17-0.26),(0.65-0.80),(0.45-0.54)
ChAdOx1,15-21,"309 /  3,993","213 /  4,043","139 /  4,115","416 /  4,115","555 /  4,115",0.3558560354408075,0.39013098669653934,0.33104941730156523,0.7935661405063725,0.5878659354219035,(0.32-0.40),(0.34-0.45),(0.28-0.39),(0.72-0.88),(0.54-0.64)
ChAdOx1,22-28,"190 /  3,963","126 /  4,013","93 /  4,083","393 /  4,083","486 /  4,083",0.22045813218547303,0.2324849987501186,0.22323817214291475,0.7555963142973794,0.5188347583891192,(0.19-0.25),(0.19-0.28),(0.18-0.27),(0.68-0.84),(0.47-0.57)
ChAdOx1,29-35,"128 /  3,929","86 /  3,978","68 /  4,044","413 /  4,044","481 /  4,044",0.1498075882245425,0.16006416477154733,0.16481480340181373,0.8017687532645025,0.5184891407820368,(0.12-0.18),(0.13-0.20),(0.13-0.21),(0.72-0.89),(0.47-0.57)
ChAdOx1,36+,"335 / 21,720","211 / 21,948","149 / 22,206","2,307 / 22,206","2,456 / 22,206",0.07092063045176694,0.07118548646902868,0.06576260145035283,0.8155527979302929,0.48209026685127615,(0.06-0.08),(0.06-0.08),(0.06-0.08),(0.78-0.86),(0.46-0.50)
ChAdOx1,Total,"9,727 / 78,079","6,226 / 78,849","4,413 / 80,291","8,994 / 80,291","13,407 / 80,291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
