outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
"COVID-19
hospitalisation",BNT162b2,36+,NA,0.15 (0.11-0.19),0.13 (0.10-0.17),0.15 (0.11-0.19), 85.2 (80.8-88.7), 87.1 (83.1-90.1), 85.2 (80.6-88.7)
"COVID-19
hospitalisation",ChAdOx1,1-3,NA,0.28 (0.22-0.35),0.26 (0.21-0.33),0.28 (0.23-0.36), 72.0 (64.8-77.7), 73.7 (66.9-79.1), 71.6 (64.3-77.5)
"COVID-19
hospitalisation",ChAdOx1,4-7,NA,0.26 (0.21-0.32),0.24 (0.19-0.30),0.25 (0.20-0.31), 74.5 (68.5-79.4), 76.1 (70.4-80.7), 74.7 (68.7-79.6)
"COVID-19
hospitalisation",ChAdOx1,8-14,NA,0.28 (0.23-0.33),0.26 (0.22-0.31),0.29 (0.24-0.34), 72.3 (67.0-76.7), 73.9 (69.0-78.1), 71.3 (65.8-75.9)
"COVID-19
hospitalisation",ChAdOx1,15-21,NA,0.24 (0.19-0.29),0.22 (0.18-0.27),0.25 (0.20-0.30), 76.4 (71.2-80.7), 77.8 (72.9-81.9), 75.3 (69.8-79.8)
"COVID-19
hospitalisation",ChAdOx1,22-28,NA,0.16 (0.13-0.21),0.15 (0.12-0.20),0.17 (0.13-0.22), 83.5 (78.9-87.1), 84.7 (80.3-88.0), 82.7 (77.7-86.5)
"COVID-19
hospitalisation",ChAdOx1,29-35,NA,0.13 (0.10-0.18),0.12 (0.09-0.16),0.13 (0.10-0.18), 86.9 (82.3-90.2), 88.0 (83.8-91.1), 86.7 (81.9-90.1)
"COVID-19
hospitalisation",ChAdOx1,36+,NA,0.12 (0.09-0.15),0.10 (0.08-0.13),0.12 (0.09-0.15), 88.4 (85.0-91.0), 89.6 (86.5-91.9), 88.5 (85.1-91.1)
COVID-19 death,Any vaccine,1-3,NA,0.00 (0.00-0.02),0.00 (0.00-0.02),0.00 (0.00-0.02), 99.7 (97.9-100.0), 99.7 (98.0-100.0), 99.7 (98.0-100.0)
COVID-19 death,Any vaccine,4-7,NA,0.01 (0.00-0.02),0.01 (0.00-0.02),0.01 (0.00-0.02), 99.3 (98.1-99.7), 99.3 (98.2-99.8), 99.3 (98.2-99.8)
COVID-19 death,Any vaccine,8-14,NA,0.00 (0.00-0.01),0.00 (0.00-0.01),0.01 (0.00-0.01), 99.5 (99.0-99.8), 99.6 (99.1-99.8), 99.5 (98.8-99.8)
COVID-19 death,Any vaccine,15-21,NA,0.00 (0.00-0.01),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.7 (99.2-99.9), 99.7 (99.3-99.9), 99.7 (99.3-99.9)
COVID-19 death,Any vaccine,22-28,NA,0.00 (0.00-0.01),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.8 (99.3-99.9), 99.8 (99.5-99.9), 99.8 (99.4-99.9)
COVID-19 death,Any vaccine,29-35,NA,0.01 (0.00-0.01),0.00 (0.00-0.01),0.01 (0.00-0.01), 99.4 (98.8-99.7), 99.5 (99.0-99.8), 99.5 (98.9-99.7)
COVID-19 death,Any vaccine,36+,NA,0.00 (0.00-0.01),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.6 (99.3-99.8), 99.7 (99.4-99.8), 99.7 (99.4-99.8)
COVID-19 death,BNT162b2,1-3,NA,0.01 (0.00-0.07),0.01 (0.00-0.06),0.01 (0.00-0.06), 99.0 (93.0-99.9), 99.1 (93.8-99.9), 99.1 (93.7-99.9)
COVID-19 death,BNT162b2,4-7,NA,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.00),100.0 (100.0-100.0),100.0 (100.0-100.0),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,8-14,NA,0.00 (0.00-0.02),0.00 (0.00-0.01),0.00 (0.00-0.02), 99.8 (98.4-100.0), 99.8 (98.6-100.0), 99.8 (98.5-100.0)
COVID-19 death,BNT162b2,15-21,NA,0.00 (0.00-0.01),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.6 (98.6-99.9), 99.7 (98.8-99.9), 99.7 (98.7-99.9)
COVID-19 death,BNT162b2,22-28,NA,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.00),100.0 (100.0-100.0),100.0 (100.0-100.0),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,29-35,NA,0.00 (0.00-0.02),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.6 (98.4-99.9), 99.7 (98.8-99.9), 99.7 (98.7-99.9)
COVID-19 death,BNT162b2,36+,NA,0.01 (0.00-0.02),0.01 (0.00-0.01),0.01 (0.00-0.01), 99.2 (98.4-99.6), 99.5 (98.9-99.7), 99.4 (98.7-99.7)
COVID-19 death,ChAdOx1,1-3,NA,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.00),100.0 (100.0-100.0),100.0 (100.0-100.0),100.0 (100.0-100.0)
COVID-19 death,ChAdOx1,4-7,NA,0.01 (0.00-0.03),0.01 (0.00-0.03),0.01 (0.00-0.03), 98.8 (96.7-99.5), 98.8 (96.9-99.6), 98.8 (96.9-99.6)
COVID-19 death,ChAdOx1,8-14,NA,0.01 (0.00-0.02),0.01 (0.00-0.02),0.01 (0.00-0.02), 99.3 (98.4-99.7), 99.4 (98.5-99.7), 99.2 (98.1-99.7)
COVID-19 death,ChAdOx1,15-21,NA,0.00 (0.00-0.01),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.7 (99.0-99.9), 99.7 (99.1-99.9), 99.7 (99.0-99.9)
COVID-19 death,ChAdOx1,22-28,NA,0.00 (0.00-0.01),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.6 (98.8-99.8), 99.6 (99.0-99.9), 99.6 (98.9-99.8)
COVID-19 death,ChAdOx1,29-35,NA,0.01 (0.00-0.02),0.01 (0.00-0.02),0.01 (0.00-0.02), 99.0 (98.0-99.6), 99.2 (98.4-99.6), 99.2 (98.2-99.6)
COVID-19 death,ChAdOx1,36+,NA,0.00 (0.00-0.01),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.6 (99.1-99.8), 99.7 (99.3-99.9), 99.7 (99.2-99.9)
"Non-COVID-19
death",Any vaccine,1-3,NA,0.19 (0.15-0.25),0.19 (0.15-0.25),0.21 (0.16-0.28), 81.0 (75.5-85.3), 80.7 (75.1-85.0), 78.6 (72.2-83.5)
"Non-COVID-19
death",Any vaccine,4-7,NA,0.25 (0.21-0.30),0.26 (0.21-0.31),0.28 (0.23-0.34), 75.1 (69.8-79.4), 74.4 (69.1-78.8), 71.7 (65.7-76.6)
"Non-COVID-19
death",Any vaccine,8-14,NA,0.26 (0.22-0.30),0.27 (0.23-0.31),0.30 (0.26-0.34), 73.9 (69.8-77.5), 73.3 (69.1-76.9), 70.4 (65.6-74.4)
"Non-COVID-19
death",Any vaccine,15-21,NA,0.27 (0.24-0.32),0.28 (0.24-0.32),0.32 (0.28-0.37), 72.7 (68.4-76.4), 72.4 (68.1-76.1), 67.9 (62.9-72.3)
"Non-COVID-19
death",Any vaccine,22-28,NA,0.23 (0.20-0.26),0.22 (0.19-0.26),0.26 (0.22-0.31), 77.3 (73.5-80.5), 77.5 (73.8-80.7), 73.9 (69.4-77.6)
"Non-COVID-19
death",Any vaccine,29-35,NA,0.27 (0.23-0.31),0.26 (0.22-0.30),0.31 (0.26-0.36), 73.2 (68.9-76.9), 74.1 (69.9-77.7), 69.2 (64.1-73.6)
"Non-COVID-19
death",Any vaccine,36+,NA,0.27 (0.24-0.30),0.24 (0.22-0.28),0.29 (0.25-0.33), 73.1 (69.7-76.1), 75.6 (72.3-78.5), 71.0 (67.0-74.6)
"Non-COVID-19
death",BNT162b2,1-3,NA,0.10 (0.06-0.17),0.10 (0.05-0.17),0.10 (0.06-0.18), 90.2 (82.6-94.4), 90.5 (83.1-94.6), 90.0 (82.3-94.4)
"Non-COVID-19
death",BNT162b2,4-7,NA,0.20 (0.14-0.27),0.19 (0.14-0.27),0.22 (0.16-0.30), 80.3 (72.7-85.8), 80.7 (73.2-86.1), 78.3 (69.8-84.5)
"Non-COVID-19
death",BNT162b2,8-14,NA,0.17 (0.14-0.22),0.17 (0.14-0.22),0.21 (0.16-0.27), 82.7 (77.9-86.5), 82.7 (77.9-86.5), 79.1 (73.0-83.8)
"Non-COVID-19
death",BNT162b2,15-21,NA,0.17 (0.13-0.21),0.17 (0.13-0.21),0.21 (0.16-0.26), 83.4 (78.9-86.9), 83.4 (78.9-86.9), 79.3 (73.6-83.8)
"Non-COVID-19
death",BNT162b2,22-28,NA,0.18 (0.14-0.22),0.17 (0.14-0.22),0.21 (0.17-0.27), 82.3 (77.9-85.8), 82.7 (78.3-86.2), 78.9 (73.4-83.3)
"Non-COVID-19
death",BNT162b2,29-35,NA,0.19 (0.15-0.24),0.18 (0.15-0.23),0.22 (0.18-0.28), 80.9 (76.3-84.6), 81.8 (77.3-85.4), 77.8 (72.2-82.3)
"Non-COVID-19
death",BNT162b2,36+,NA,0.27 (0.24-0.31),0.23 (0.20-0.27),0.29 (0.25-0.34), 72.9 (68.9-76.4), 76.5 (72.7-79.8), 71.2 (66.3-75.4)
"Non-COVID-19
death",ChAdOx1,1-3,NA,0.24 (0.18-0.32),0.24 (0.18-0.32),0.26 (0.20-0.35), 75.8 (67.8-81.8), 76.1 (68.2-82.0), 73.8 (65.0-80.4)
"Non-COVID-19
death",ChAdOx1,4-7,NA,0.28 (0.22-0.35),0.27 (0.22-0.34),0.30 (0.24-0.38), 72.4 (65.5-77.9), 72.6 (65.8-78.0), 70.0 (62.4-76.0)
"Non-COVID-19
death",ChAdOx1,8-14,NA,0.30 (0.26-0.36),0.30 (0.25-0.35),0.32 (0.27-0.38), 69.9 (64.5-74.4), 70.1 (64.7-74.6), 67.6 (61.7-72.6)
"Non-COVID-19
death",ChAdOx1,15-21,NA,0.31 (0.27-0.37),0.31 (0.27-0.37),0.35 (0.30-0.42), 68.6 (63.1-73.3), 68.8 (63.4-73.5), 64.6 (58.3-70.0)
"Non-COVID-19
death",ChAdOx1,22-28,NA,0.23 (0.19-0.27),0.22 (0.19-0.27),0.26 (0.21-0.31), 77.2 (72.7-80.9), 77.6 (73.2-81.3), 74.3 (69.1-78.6)
"Non-COVID-19
death",ChAdOx1,29-35,NA,0.28 (0.24-0.33),0.27 (0.23-0.32),0.32 (0.27-0.38), 71.8 (66.6-76.2), 72.8 (67.6-77.1), 67.9 (61.7-73.2)
"Non-COVID-19
death",ChAdOx1,36+,NA,0.28 (0.25-0.32),0.26 (0.22-0.29),0.30 (0.26-0.35), 71.7 (67.8-75.1), 74.4 (70.6-77.7), 70.0 (65.4-74.0)
