outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.80,(0.78-0.83), 19.7,(17.0-22.4),0.80 (0.78-0.83), 19.7 (17.0-22.4)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.77,(0.75-0.80), 22.6,(19.7-25.3),0.77 (0.75-0.80), 22.6 (19.7-25.3)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.77,(0.74-0.80), 22.9,(20.1-25.6),0.77 (0.74-0.80), 22.9 (20.1-25.6)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.68,(0.66-0.71), 31.8,(29.2-34.2),0.68 (0.66-0.71), 31.8 (29.2-34.2)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.71,(0.69-0.74), 28.7,(26.4-31.1),0.71 (0.69-0.74), 28.7 (26.4-31.1)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.76,(0.74-0.78), 24.1,(22.0-26.2),0.76 (0.74-0.78), 24.1 (22.0-26.2)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.79,(0.77-0.81), 20.9,(18.5-23.1),0.79 (0.77-0.81), 20.9 (18.5-23.1)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.81,(0.78-0.84), 19.1,(16.3-21.8),0.81 (0.78-0.84), 19.1 (16.3-21.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.78,(0.75-0.81), 22.1,(19.2-24.9),0.78 (0.75-0.81), 22.1 (19.2-24.9)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.78,(0.75-0.81), 22.3,(19.4-25.0),0.78 (0.75-0.81), 22.3 (19.4-25.0)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.54,(0.52-0.57), 45.8,(43.2-48.2),0.54 (0.52-0.57), 45.8 (43.2-48.2)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.67,(0.64-0.69), 33.3,(30.7-35.8),0.67 (0.64-0.69), 33.3 (30.7-35.8)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.71,(0.69-0.73), 29.0,(26.8-31.2),0.71 (0.69-0.73), 29.0 (26.8-31.2)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.74,(0.72-0.76), 26.1,(23.7-28.4),0.74 (0.72-0.76), 26.1 (23.7-28.4)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.78,(0.75-0.81), 22.0,(19.0-24.9),0.78 (0.75-0.81), 22.0 (19.0-24.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.83,(0.79-0.86), 17.4,(14.0-20.6),0.83 (0.79-0.86), 17.4 (14.0-20.6)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.85,(0.82-0.88), 15.2,(11.8-18.4),0.85 (0.82-0.88), 15.2 (11.8-18.4)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.56,(0.53-0.58), 44.3,(41.6-46.8),0.56 (0.53-0.58), 44.3 (41.6-46.8)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.69,(0.66-0.71), 31.4,(28.7-34.0),0.69 (0.66-0.71), 31.4 (28.7-34.0)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.73,(0.71-0.75), 27.1,(24.8-29.3),0.73 (0.71-0.75), 27.1 (24.8-29.3)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.76,(0.73-0.78), 24.3,(21.9-26.7),0.76 (0.73-0.78), 24.3 (21.9-26.7)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.79,(0.76-0.83), 20.6,(17.5-23.5),0.79 (0.76-0.83), 20.6 (17.5-23.5)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.83,(0.80-0.87), 16.5,(13.1-19.8),0.83 (0.80-0.87), 16.5 (13.1-19.8)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.84,(0.80-0.87), 16.4,(13.1-19.7),0.84 (0.80-0.87), 16.4 (13.1-19.7)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.56,(0.54-0.59), 43.9,(41.2-46.5),0.56 (0.54-0.59), 43.9 (41.2-46.5)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.69,(0.66-0.72), 31.0,(28.3-33.6),0.69 (0.66-0.72), 31.0 (28.3-33.6)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.73,(0.71-0.76), 26.7,(24.4-28.9),0.73 (0.71-0.76), 26.7 (24.4-28.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.76,(0.74-0.79), 23.8,(21.3-26.2),0.76 (0.74-0.79), 23.8 (21.3-26.2)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.80,(0.77-0.83), 19.7,(16.6-22.7),0.80 (0.77-0.83), 19.7 (16.6-22.7)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.84,(0.81-0.88), 15.8,(12.3-19.1),0.84 (0.81-0.88), 15.8 (12.3-19.1)
"Positive
SARS-CoV-2
test",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.84,(0.81-0.88), 15.5,(12.1-18.8),0.84 (0.81-0.88), 15.5 (12.1-18.8)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,1.15,(1.08-1.22),-15.2,(-22.5--8.4),1.15 (1.08-1.22),-15.2 (-22.5--8.4)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.90,(0.84-0.95), 10.4,(4.7-15.8),0.90 (0.84-0.95), 10.4 (4.7-15.8)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.97,(0.92-1.02),  2.9,(-2.3-7.8),0.97 (0.92-1.02),  2.9 (-2.3-7.8)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,1.07,(1.02-1.13), -7.3,(-13.3--1.6),1.07 (1.02-1.13), -7.3 (-13.3--1.6)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,1.14,(1.07-1.21),-13.7,(-20.5--7.3),1.14 (1.07-1.21),-13.7 (-20.5--7.3)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.98,(0.92-1.05),  1.8,(-4.6-7.9),0.98 (0.92-1.05),  1.8 (-4.6-7.9)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",36+,1.08,(1.02-1.14), -7.5,(-13.6--1.8),1.08 (1.02-1.14), -7.5 (-13.6--1.8)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,1.09,(1.03-1.16), -9.2,(-16.0--2.7),1.09 (1.03-1.16), -9.2 (-16.0--2.7)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.85,(0.80-0.90), 15.4,(10.0-20.5),0.85 (0.80-0.90), 15.4 (10.0-20.5)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.91,(0.86-0.96),  8.9,(4.0-13.6),0.91 (0.86-0.96),  8.9 (4.0-13.6)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,1.00,(0.94-1.05),  0.4,(-5.3-5.7),1.00 (0.94-1.05),  0.4 (-5.3-5.7)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,1.05,(0.99-1.11), -4.5,(-10.9-1.5),1.05 (0.99-1.11), -4.5 (-10.9-1.5)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.89,(0.84-0.95), 10.5,(4.6-16.1),0.89 (0.84-0.95), 10.5 (4.6-16.1)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.98,(0.92-1.03),  2.4,(-3.4-7.8),0.98 (0.92-1.03),  2.4 (-3.4-7.8)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,1.11,(1.04-1.18),-10.7,(-17.7--4.1),1.11 (1.04-1.18),-10.7 (-17.7--4.1)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.86,(0.81-0.91), 14.1,(8.5-19.3),0.86 (0.81-0.91), 14.1 (8.5-19.3)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.92,(0.87-0.97),  8.0,(3.1-12.7),0.92 (0.87-0.97),  8.0 (3.1-12.7)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,1.01,(0.95-1.07), -0.8,(-6.6-4.7),1.01 (0.95-1.07), -0.8 (-6.6-4.7)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,1.06,(1.00-1.12), -5.9,(-12.4-0.3),1.06 (1.00-1.12), -5.9 (-12.4-0.3)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.90,(0.84-0.96),  9.9,(3.9-15.6),0.90 (0.84-0.96),  9.9 (3.9-15.6)
"Positive
SARS-CoV-2
test",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.98,(0.93-1.04),  1.8,(-4.0-7.3),0.98 (0.93-1.04),  1.8 (-4.0-7.3)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.28,(0.25-0.32), 71.9,(67.9-75.3),0.28 (0.25-0.32), 71.9 (67.9-75.3)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.31,(0.28-0.35), 68.8,(65.2-72.1),0.31 (0.28-0.35), 68.8 (65.2-72.1)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.35,(0.32-0.38), 64.9,(61.8-67.7),0.35 (0.32-0.38), 64.9 (61.8-67.7)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.27,(0.25-0.30), 72.7,(70.0-75.3),0.27 (0.25-0.30), 72.7 (70.0-75.3)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.24,(0.22-0.28), 75.6,(72.5-78.4),0.24 (0.22-0.28), 75.6 (72.5-78.4)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.20,(0.17-0.23), 79.9,(76.7-82.6),0.20 (0.17-0.23), 79.9 (76.7-82.6)
"COVID-19
hospitalisation",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.20,(0.18-0.22), 79.8,(77.6-81.9),0.20 (0.18-0.22), 79.8 (77.6-81.9)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.31,(0.27-0.35), 68.9,(64.5-72.8),0.31 (0.27-0.35), 68.9 (64.5-72.8)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.35,(0.31-0.39), 65.2,(61.1-68.8),0.35 (0.31-0.39), 65.2 (61.1-68.8)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.40,(0.37-0.44), 59.9,(56.4-63.2),0.40 (0.37-0.44), 59.9 (56.4-63.2)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.32,(0.29-0.35), 68.3,(65.0-71.3),0.32 (0.29-0.35), 68.3 (65.0-71.3)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.29,(0.26-0.33), 70.8,(66.9-74.2),0.29 (0.26-0.33), 70.8 (66.9-74.2)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.24,(0.21-0.28), 75.5,(71.6-78.9),0.24 (0.21-0.28), 75.5 (71.6-78.9)
"COVID-19
hospitalisation",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.25,(0.22-0.28), 75.3,(72.4-77.9),0.25 (0.22-0.28), 75.3 (72.4-77.9)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.32,(0.28-0.36), 68.4,(63.8-72.3),0.32 (0.28-0.36), 68.4 (63.8-72.3)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.35,(0.32-0.39), 64.7,(60.6-68.4),0.35 (0.32-0.39), 64.7 (60.6-68.4)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.40,(0.37-0.44), 59.6,(56.0-62.8),0.40 (0.37-0.44), 59.6 (56.0-62.8)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.32,(0.29-0.36), 67.8,(64.5-70.8),0.32 (0.29-0.36), 67.8 (64.5-70.8)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.30,(0.26-0.34), 70.4,(66.5-73.8),0.30 (0.26-0.34), 70.4 (66.5-73.8)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.25,(0.22-0.29), 74.9,(70.9-78.4),0.25 (0.22-0.29), 74.9 (70.9-78.4)
"COVID-19
hospitalisation",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.25,(0.23-0.28), 74.8,(71.9-77.5),0.25 (0.23-0.28), 74.8 (71.9-77.5)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.19,(0.16-0.22), 81.4,(77.6-84.5),0.19 (0.16-0.22), 81.4 (77.6-84.5)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.25,(0.22-0.29), 75.0,(71.3-78.2),0.25 (0.22-0.29), 75.0 (71.3-78.2)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.31,(0.28-0.34), 69.2,(66.0-72.1),0.31 (0.28-0.34), 69.2 (66.0-72.1)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.24,(0.21-0.27), 76.3,(73.4-78.8),0.24 (0.21-0.27), 76.3 (73.4-78.8)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.22,(0.19-0.26), 77.5,(74.1-80.5),0.22 (0.19-0.26), 77.5 (74.1-80.5)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.20,(0.17-0.23), 80.4,(76.8-83.5),0.20 (0.17-0.23), 80.4 (76.8-83.5)
"COVID-19
hospitalisation",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.20,(0.18-0.23), 79.6,(76.8-82.1),0.20 (0.18-0.23), 79.6 (76.8-82.1)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.21,(0.17-0.25), 79.0,(74.8-82.5),0.21 (0.17-0.25), 79.0 (74.8-82.5)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.28,(0.25-0.33), 71.5,(67.3-75.2),0.28 (0.25-0.33), 71.5 (67.3-75.2)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.35,(0.32-0.39), 64.6,(60.9-67.9),0.35 (0.32-0.39), 64.6 (60.9-67.9)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.28,(0.25-0.31), 72.5,(69.2-75.5),0.28 (0.25-0.31), 72.5 (69.2-75.5)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.27,(0.23-0.31), 73.4,(69.3-77.0),0.27 (0.23-0.31), 73.4 (69.3-77.0)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.23,(0.20-0.28), 76.8,(72.4-80.4),0.23 (0.20-0.28), 76.8 (72.4-80.4)
"COVID-19
hospitalisation",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.24,(0.21-0.27), 76.3,(73.0-79.3),0.24 (0.21-0.27), 76.3 (73.0-79.3)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.21,(0.18-0.26), 78.7,(74.5-82.3),0.21 (0.18-0.26), 78.7 (74.5-82.3)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.29,(0.25-0.33), 71.0,(66.7-74.8),0.29 (0.25-0.33), 71.0 (66.7-74.8)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.36,(0.32-0.40), 64.1,(60.4-67.5),0.36 (0.32-0.40), 64.1 (60.4-67.5)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.28,(0.25-0.31), 72.0,(68.6-75.0),0.28 (0.25-0.31), 72.0 (68.6-75.0)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.27,(0.24-0.31), 72.8,(68.6-76.4),0.27 (0.24-0.31), 72.8 (68.6-76.4)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.24,(0.20-0.29), 75.9,(71.4-79.7),0.24 (0.20-0.29), 75.9 (71.4-79.7)
"COVID-19
hospitalisation",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.24,(0.21-0.28), 75.5,(72.0-78.6),0.24 (0.21-0.28), 75.5 (72.0-78.6)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.50,(0.41-0.60), 50.2,(39.6-58.8),0.50 (0.41-0.60), 50.2 (39.6-58.8)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.44,(0.36-0.53), 56.3,(47.5-63.6),0.44 (0.36-0.53), 56.3 (47.5-63.6)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.44,(0.38-0.51), 56.0,(48.6-62.3),0.44 (0.38-0.51), 56.0 (48.6-62.3)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.40,(0.33-0.48), 60.0,(52.0-66.6),0.40 (0.33-0.48), 60.0 (52.0-66.6)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.36,(0.29-0.45), 64.2,(55.3-71.4),0.36 (0.29-0.45), 64.2 (55.3-71.4)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.31,(0.23-0.41), 69.4,(59.4-77.0),0.31 (0.23-0.41), 69.4 (59.4-77.0)
"COVID-19
hospitalisation",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.35,(0.28-0.42), 65.4,(57.9-71.6),0.35 (0.28-0.42), 65.4 (57.9-71.6)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.52,(0.43-0.63), 47.6,(36.5-56.8),0.52 (0.43-0.63), 47.6 (36.5-56.8)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.47,(0.39-0.57), 53.0,(43.5-60.9),0.47 (0.39-0.57), 53.0 (43.5-60.9)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.49,(0.42-0.57), 51.2,(43.0-58.3),0.49 (0.42-0.57), 51.2 (43.0-58.3)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.46,(0.38-0.55), 54.5,(45.3-62.1),0.46 (0.38-0.55), 54.5 (45.3-62.1)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.41,(0.33-0.51), 58.9,(48.5-67.2),0.41 (0.33-0.51), 58.9 (48.5-67.2)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.35,(0.26-0.47), 64.8,(53.2-73.6),0.35 (0.26-0.47), 64.8 (53.2-73.6)
"COVID-19
hospitalisation",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.40,(0.33-0.49), 60.2,(51.3-67.5),0.40 (0.33-0.49), 60.2 (51.3-67.5)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.54,(0.44-0.65), 46.4,(34.9-55.8),0.54 (0.44-0.65), 46.4 (34.9-55.8)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.48,(0.40-0.58), 52.1,(42.4-60.2),0.48 (0.40-0.58), 52.1 (42.4-60.2)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.50,(0.43-0.59), 49.7,(41.1-57.0),0.50 (0.43-0.59), 49.7 (41.1-57.0)
