stratum,brand_descr,var_label,label,HR,CI,HR_ECI
all,BNT162b2,IMD,3,1.22,(1.17-1.26),1.22 (1.17-1.26)
all,BNT162b2,IMD,4,1.29,(1.24-1.33),1.29 (1.24-1.33)
all,BNT162b2,IMD,5 least deprived,1.47,(1.41-1.52),1.47 (1.41-1.52)
all,BNT162b2,Ethnicity,White,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Ethnicity,Black,0.49,(0.41-0.59),0.49 (0.41-0.59)
all,BNT162b2,Ethnicity,South Asian,0.46,(0.43-0.50),0.46 (0.43-0.50)
all,BNT162b2,Ethnicity,Mixed,0.70,(0.56-0.88),0.70 (0.56-0.88)
all,BNT162b2,Ethnicity,Other,0.85,(0.71-1.02),0.85 (0.71-1.02)
all,BNT162b2,Body Mass Index,Not obese,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Body Mass Index,Obese I (30-34.9),1.03,(1.00-1.06),1.03 (1.00-1.06)
all,BNT162b2,Body Mass Index,Obese II (35-39.9),0.89,(0.82-0.96),0.89 (0.82-0.96)
all,BNT162b2,Body Mass Index,Obese III (40+),0.71,(0.62-0.80),0.71 (0.62-0.80)
all,BNT162b2,Heart failure,Heart failure,0.90,(0.86-0.95),0.90 (0.86-0.95)
all,BNT162b2,Other heart disease,Other heart disease,1.04,(0.98-1.10),1.04 (0.98-1.10)
all,BNT162b2,Dialysis,Dialysis,0.93,(0.69-1.25),0.93 (0.69-1.25)
all,BNT162b2,Diabetes,Diabetes,0.94,(0.88-1.00),0.94 (0.88-1.00)
all,BNT162b2,Chronic liver disease,Chronic liver disease,0.90,(0.78-1.05),0.90 (0.78-1.05)
all,BNT162b2,COPD,COPD,0.94,(0.88-1.00),0.94 (0.88-1.00)
all,BNT162b2,Other respiratory conditions,Other respiratory conditions,0.94,(0.88-1.00),0.94 (0.88-1.00)
all,BNT162b2,Lung Cancer,Lung Cancer,1.06,(0.91-1.22),1.06 (0.91-1.22)
all,BNT162b2,Haematological cancer,Haematological cancer,0.95,(0.86-1.05),0.95 (0.86-1.05)
all,BNT162b2,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.01,(0.95-1.07),1.01 (0.95-1.07)
all,BNT162b2,Immunosuppressed,Immunosuppressed,1.01,(0.95-1.09),1.01 (0.95-1.09)
all,BNT162b2,Dementia,Dementia,0.70,(0.66-0.76),0.70 (0.66-0.76)
all,BNT162b2,Other neurological conditions,Other neurological conditions,0.74,(0.67-0.81),0.74 (0.67-0.81)
all,BNT162b2,Learning disabilities,Learning disabilities,0.56,(0.32-1.00),0.56 (0.32-1.00)
all,BNT162b2,Serious mental illness,Serious mental illness,0.66,(0.57-0.76),0.66 (0.57-0.76)
all,BNT162b2,Morbidity count,0,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Morbidity count,1,1.06,(1.00-1.13),1.06 (1.00-1.13)
all,BNT162b2,Morbidity count,2,1.10,(0.99-1.23),1.10 (0.99-1.23)
all,BNT162b2,Morbidity count,3,1.21,(1.03-1.44),1.21 (1.03-1.44)
all,BNT162b2,Morbidity count,4+,1.20,(0.94-1.52),1.20 (0.94-1.52)
all,BNT162b2,Shielding criteria met,Shielding criteria met,1.01,(0.98-1.05),1.01 (0.98-1.05)
all,BNT162b2,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.87,(1.80-1.94),1.87 (1.80-1.94)
all,BNT162b2,Frailty,None,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Frailty,Mild,1.10,(1.05-1.15),1.10 (1.05-1.15)
all,BNT162b2,Frailty,Moderate,1.05,(1.00-1.10),1.05 (1.00-1.10)
all,BNT162b2,Frailty,Severe,0.92,(0.87-0.97),0.92 (0.87-0.97)
all,BNT162b2,region,East Midlands,1,(NA-NA),1 (NA-NA)
all,BNT162b2,region,Yorkshire and The Humber,0.16,(0.01-2.34),0.16 (0.01-2.34)
all,BNT162b2,region,North East,0.06,(0.00-13.28),0.06 (0.00-13.28)
all,BNT162b2,region,East,524.01,(36.21-7 584.12),524.01 (36.21-7 584.12)
all,BNT162b2,region,South East,5.01,(0.19-135.47),5.01 (0.19-135.47)
all,BNT162b2,region,South West,0.97,(0.00-1 002.92),0.97 (0.00-1 002.92)
all,BNT162b2,region,North West,0.00,(0.00-61.60),0.00 (0.00-61.60)
all,BNT162b2,region,London,0.00,(0.00-10.60),0.00 (0.00-10.60)
all,BNT162b2,region,West Midlands,0.00,(0.00-18 100 786 667.98),0.00 (0.00-18 100 786 667.98)
all,BNT162b2,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Time since suspected COVID,1-21,1.28,(1.01-1.61),1.28 (1.01-1.61)
all,BNT162b2,Time since suspected COVID,22-28,1.02,(0.58-1.82),1.02 (0.58-1.82)
all,BNT162b2,Time since suspected COVID,29+,1.24,(0.72-2.14),1.24 (0.72-2.14)
all,BNT162b2,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Time since discharge from infectious hosp admission,In hospital,0.91,(0.88-0.94),0.91 (0.88-0.94)
all,BNT162b2,Time since discharge from infectious hosp admission,1-21,0.41,(0.34-0.49),0.41 (0.34-0.49)
all,BNT162b2,Time since discharge from infectious hosp admission,22-28,0.59,(0.43-0.83),0.59 (0.43-0.83)
all,BNT162b2,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Time since discharge from non-infectious hosp admission,In hospital,0.94,(0.89-1.00),0.94 (0.89-1.00)
all,BNT162b2,Time since discharge from non-infectious hosp admission,1-21,0.45,(0.27-0.75),0.45 (0.27-0.75)
all,BNT162b2,Time since discharge from non-infectious hosp admission,22-28,1.06,(0.56-1.99),1.06 (0.56-1.99)
all,ChAdOx1,Age,Age,0.94,(0.84-1.05),0.94 (0.84-1.05)
all,ChAdOx1,Age,Age²,1.00,(1.00-1.00),1.00 (1.00-1.00)
all,ChAdOx1,Sex,Female,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Sex,Male,0.98,(0.94-1.01),0.98 (0.94-1.01)
all,ChAdOx1,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,IMD,2,1.09,(1.04-1.15),1.09 (1.04-1.15)
all,ChAdOx1,IMD,3,1.22,(1.16-1.29),1.22 (1.16-1.29)
all,ChAdOx1,IMD,4,1.32,(1.26-1.39),1.32 (1.26-1.39)
all,ChAdOx1,IMD,5 least deprived,1.31,(1.25-1.39),1.31 (1.25-1.39)
all,ChAdOx1,Ethnicity,White,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Ethnicity,Black,0.48,(0.40-0.57),0.48 (0.40-0.57)
all,ChAdOx1,Ethnicity,South Asian,0.47,(0.44-0.51),0.47 (0.44-0.51)
all,ChAdOx1,Ethnicity,Mixed,0.77,(0.59-1.00),0.77 (0.59-1.00)
all,ChAdOx1,Ethnicity,Other,0.73,(0.58-0.93),0.73 (0.58-0.93)
all,ChAdOx1,Body Mass Index,Not obese,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Body Mass Index,Obese I (30-34.9),0.96,(0.92-1.01),0.96 (0.92-1.01)
all,ChAdOx1,Body Mass Index,Obese II (35-39.9),1.06,(0.96-1.17),1.06 (0.96-1.17)
all,ChAdOx1,Body Mass Index,Obese III (40+),1.08,(0.94-1.25),1.08 (0.94-1.25)
all,ChAdOx1,Heart failure,Heart failure,1.04,(0.98-1.10),1.04 (0.98-1.10)
all,ChAdOx1,Other heart disease,Other heart disease,1.10,(1.03-1.18),1.10 (1.03-1.18)
all,ChAdOx1,Dialysis,Dialysis,1.12,(0.79-1.59),1.12 (0.79-1.59)
all,ChAdOx1,Diabetes,Diabetes,1.06,(0.98-1.14),1.06 (0.98-1.14)
all,ChAdOx1,Chronic liver disease,Chronic liver disease,1.10,(0.90-1.34),1.10 (0.90-1.34)
all,ChAdOx1,COPD,COPD,0.98,(0.91-1.06),0.98 (0.91-1.06)
all,ChAdOx1,Other respiratory conditions,Other respiratory conditions,1.02,(0.95-1.11),1.02 (0.95-1.11)
all,ChAdOx1,Lung Cancer,Lung Cancer,1.18,(0.97-1.45),1.18 (0.97-1.45)
all,ChAdOx1,Haematological cancer,Haematological cancer,1.15,(1.01-1.31),1.15 (1.01-1.31)
all,ChAdOx1,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.12,(1.03-1.21),1.12 (1.03-1.21)
all,ChAdOx1,Immunosuppressed,Immunosuppressed,1.14,(1.04-1.25),1.14 (1.04-1.25)
all,ChAdOx1,Dementia,Dementia,1.05,(0.97-1.14),1.05 (0.97-1.14)
all,ChAdOx1,Other neurological conditions,Other neurological conditions,0.98,(0.88-1.08),0.98 (0.88-1.08)
all,ChAdOx1,Learning disabilities,Learning disabilities,0.88,(0.49-1.60),0.88 (0.49-1.60)
all,ChAdOx1,Serious mental illness,Serious mental illness,0.95,(0.81-1.11),0.95 (0.81-1.11)
all,ChAdOx1,Morbidity count,0,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Morbidity count,1,0.90,(0.83-0.97),0.90 (0.83-0.97)
all,ChAdOx1,Morbidity count,2,0.82,(0.71-0.94),0.82 (0.71-0.94)
all,ChAdOx1,Morbidity count,3,0.77,(0.63-0.95),0.77 (0.63-0.95)
all,ChAdOx1,Morbidity count,4+,0.70,(0.53-0.94),0.70 (0.53-0.94)
all,ChAdOx1,Shielding criteria met,Shielding criteria met,1.06,(1.02-1.12),1.06 (1.02-1.12)
all,ChAdOx1,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,2.02,(1.93-2.12),2.02 (1.93-2.12)
all,ChAdOx1,Frailty,None,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Frailty,Mild,1.39,(1.28-1.50),1.39 (1.28-1.50)
all,ChAdOx1,Frailty,Moderate,1.40,(1.29-1.52),1.40 (1.29-1.52)
all,ChAdOx1,Frailty,Severe,1.40,(1.28-1.53),1.40 (1.28-1.53)
all,ChAdOx1,region,East Midlands,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,region,Yorkshire and The Humber,0.18,(0.01-2.31),0.18 (0.01-2.31)
all,ChAdOx1,region,North East,0.00,(0.00-990 238 845.61),0.00 (0.00-990 238 845.61)
all,ChAdOx1,region,East,0.05,(0.00-0.80),0.05 (0.00-0.80)
all,ChAdOx1,region,South East,12.09,(0.96-152.49),12.09 (0.96-152.49)
all,ChAdOx1,region,South West,0.01,(0.00-154.22),0.01 (0.00-154.22)
all,ChAdOx1,region,North West,0.10,(0.00-68.68),0.10 (0.00-68.68)
all,ChAdOx1,region,London,0.00,(0.00-18 611 512 179 327.66),0.00 (0.00-18 611 512 179 327.66)
all,ChAdOx1,region,West Midlands,0.00,(0.00-0.00),0.00 (0.00-0.00)
all,ChAdOx1,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Time since suspected COVID,1-21,1.12,(0.81-1.54),1.12 (0.81-1.54)
all,ChAdOx1,Time since suspected COVID,22-28,1.20,(0.61-2.37),1.20 (0.61-2.37)
all,ChAdOx1,Time since suspected COVID,29+,0.97,(0.63-1.49),0.97 (0.63-1.49)
all,ChAdOx1,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Time since discharge from infectious hosp admission,In hospital,0.09,(0.06-0.14),0.09 (0.06-0.14)
all,ChAdOx1,Time since discharge from infectious hosp admission,1-21,0.72,(0.63-0.83),0.72 (0.63-0.83)
all,ChAdOx1,Time since discharge from infectious hosp admission,22-28,1.06,(0.82-1.37),1.06 (0.82-1.37)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,In hospital,0.48,(0.28-0.85),0.48 (0.28-0.85)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,1-21,1.11,(0.67-1.84),1.11 (0.67-1.84)
all,ChAdOx1,Time since discharge from non-infectious hosp admission,22-28,0.35,(0.12-1.05),0.35 (0.12-1.05)
