outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
"COVID-19
hospitalisation",ChAdOx1,36+,NA,0.35 (0.28-0.42),0.40 (0.33-0.49),0.41 (0.33-0.50), 65.4 (57.9-71.6), 60.2 (51.3-67.5), 59.3 (50.2-66.8)
COVID-19 death,Any vaccine,1-3,NA,0.01 (0.00-0.02),0.01 (0.00-0.02),0.01 (0.00-0.02), 99.4 (98.3-99.8), 99.3 (98.1-99.7), 99.3 (98.1-99.7)
COVID-19 death,Any vaccine,4-7,NA,0.01 (0.00-0.01),0.01 (0.00-0.02),0.01 (0.00-0.02), 99.4 (98.6-99.7), 99.3 (98.4-99.7), 99.3 (98.4-99.7)
COVID-19 death,Any vaccine,8-14,NA,0.01 (0.01-0.02),0.01 (0.01-0.02),0.01 (0.01-0.02), 98.9 (98.4-99.3), 98.8 (98.1-99.2), 98.7 (98.0-99.2)
COVID-19 death,Any vaccine,15-21,NA,0.01 (0.01-0.02),0.01 (0.01-0.02),0.01 (0.01-0.02), 98.8 (98.2-99.2), 98.6 (97.9-99.0), 98.5 (97.8-99.0)
COVID-19 death,Any vaccine,22-28,NA,0.01 (0.00-0.01),0.01 (0.00-0.01),0.01 (0.01-0.01), 99.3 (98.8-99.6), 99.2 (98.6-99.5), 99.1 (98.5-99.5)
COVID-19 death,Any vaccine,29-35,NA,0.01 (0.00-0.01),0.01 (0.00-0.01),0.01 (0.00-0.01), 99.4 (98.9-99.7), 99.3 (98.7-99.6), 99.3 (98.7-99.6)
COVID-19 death,Any vaccine,36+,NA,0.00 (0.00-0.00),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.8 (99.6-99.9), 99.7 (99.5-99.8), 99.7 (99.5-99.8)
COVID-19 death,BNT162b2,1-3,NA,0.00 (0.00-0.02),0.00 (0.00-0.02),0.00 (0.00-0.02), 99.7 (98.2-100.0), 99.7 (97.9-100.0), 99.7 (97.8-100.0)
COVID-19 death,BNT162b2,4-7,NA,0.00 (0.00-0.01),0.01 (0.00-0.02),0.01 (0.00-0.02), 99.5 (98.5-99.8), 99.4 (98.3-99.8), 99.4 (98.2-99.8)
COVID-19 death,BNT162b2,8-14,NA,0.01 (0.00-0.01),0.01 (0.00-0.02),0.01 (0.00-0.02), 99.3 (98.7-99.6), 99.2 (98.4-99.6), 99.1 (98.4-99.5)
COVID-19 death,BNT162b2,15-21,NA,0.01 (0.00-0.01),0.01 (0.01-0.02),0.01 (0.01-0.02), 99.2 (98.7-99.6), 99.1 (98.4-99.5), 99.1 (98.4-99.5)
COVID-19 death,BNT162b2,22-28,NA,0.01 (0.00-0.01),0.01 (0.01-0.02),0.01 (0.01-0.02), 99.3 (98.7-99.6), 99.1 (98.4-99.5), 99.1 (98.3-99.5)
COVID-19 death,BNT162b2,29-35,NA,0.00 (0.00-0.01),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.6 (99.2-99.9), 99.6 (99.0-99.8), 99.6 (98.9-99.8)
COVID-19 death,BNT162b2,36+,NA,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.01), 99.8 (99.6-99.9), 99.8 (99.5-99.9), 99.7 (99.5-99.9)
COVID-19 death,ChAdOx1,1-3,NA,0.01 (0.00-0.04),0.01 (0.00-0.04),0.01 (0.00-0.04), 98.9 (96.5-99.6), 98.8 (96.4-99.6), 98.7 (96.1-99.6)
COVID-19 death,ChAdOx1,4-7,NA,0.01 (0.00-0.02),0.01 (0.00-0.03),0.01 (0.00-0.03), 99.2 (97.5-99.7), 99.2 (97.4-99.7), 99.1 (97.2-99.7)
COVID-19 death,ChAdOx1,8-14,NA,0.02 (0.01-0.03),0.02 (0.01-0.03),0.02 (0.01-0.04), 98.4 (97.1-99.1), 98.3 (96.9-99.1), 98.1 (96.5-98.9)
COVID-19 death,ChAdOx1,15-21,NA,0.02 (0.01-0.04),0.02 (0.01-0.04),0.02 (0.01-0.04), 97.9 (96.4-98.8), 97.7 (96.1-98.7), 97.5 (95.7-98.6)
COVID-19 death,ChAdOx1,22-28,NA,0.00 (0.00-0.02),0.00 (0.00-0.02),0.00 (0.00-0.02), 99.6 (98.4-99.9), 99.6 (98.3-99.9), 99.5 (98.1-99.9)
COVID-19 death,ChAdOx1,29-35,NA,0.01 (0.01-0.03),0.01 (0.01-0.04),0.02 (0.01-0.04), 98.7 (96.7-99.4), 98.5 (96.4-99.4), 98.4 (96.1-99.3)
COVID-19 death,ChAdOx1,36+,NA,0.00 (0.00-0.01),0.00 (0.00-0.01),0.00 (0.00-0.01), 99.6 (98.8-99.9), 99.6 (98.7-99.9), 99.5 (98.6-99.9)
"Non-COVID-19
death",Any vaccine,1-3,NA,0.12 (0.10-0.15),0.13 (0.11-0.16),0.13 (0.11-0.16), 87.7 (84.8-90.1), 86.9 (83.8-89.4), 86.8 (83.6-89.3)
"Non-COVID-19
death",Any vaccine,4-7,NA,0.13 (0.11-0.16),0.14 (0.12-0.17),0.15 (0.12-0.17), 86.7 (84.2-88.7), 85.6 (83.0-87.9), 85.5 (82.8-87.7)
"Non-COVID-19
death",Any vaccine,8-14,NA,0.10 (0.09-0.11),0.11 (0.09-0.12),0.11 (0.10-0.13), 90.1 (88.7-91.4), 89.2 (87.6-90.6), 89.0 (87.4-90.4)
"Non-COVID-19
death",Any vaccine,15-21,NA,0.11 (0.10-0.13),0.13 (0.11-0.14),0.13 (0.11-0.14), 88.7 (87.3-90.0), 87.5 (85.9-88.9), 87.4 (85.7-88.8)
"Non-COVID-19
death",Any vaccine,22-28,NA,0.09 (0.08-0.11),0.11 (0.09-0.12),0.11 (0.09-0.12), 90.6 (89.3-91.8), 89.4 (87.9-90.7), 89.3 (87.8-90.6)
"Non-COVID-19
death",Any vaccine,29-35,NA,0.08 (0.07-0.09),0.09 (0.08-0.10),0.09 (0.08-0.10), 92.1 (90.9-93.1), 91.0 (89.7-92.2), 90.9 (89.6-92.1)
"Non-COVID-19
death",Any vaccine,36+,NA,0.07 (0.07-0.08),0.08 (0.08-0.09),0.08 (0.08-0.09), 92.6 (92.1-93.1), 91.6 (91.0-92.2), 91.6 (91.0-92.1)
"Non-COVID-19
death",BNT162b2,1-3,NA,0.10 (0.07-0.13),0.11 (0.08-0.15),0.11 (0.08-0.15), 90.4 (86.9-92.9), 89.3 (85.4-92.1), 89.0 (85.0-91.9)
"Non-COVID-19
death",BNT162b2,4-7,NA,0.09 (0.07-0.12),0.11 (0.08-0.14),0.11 (0.08-0.14), 90.6 (87.9-92.7), 89.4 (86.3-91.7), 89.1 (86.0-91.5)
"Non-COVID-19
death",BNT162b2,8-14,NA,0.07 (0.05-0.08),0.07 (0.06-0.09),0.08 (0.06-0.10), 93.5 (92.0-94.7), 92.6 (90.8-94.0), 92.3 (90.5-93.8)
"Non-COVID-19
death",BNT162b2,15-21,NA,0.08 (0.06-0.09),0.09 (0.07-0.11),0.09 (0.08-0.11), 92.3 (90.8-93.6), 91.2 (89.5-92.6), 90.9 (89.2-92.4)
"Non-COVID-19
death",BNT162b2,22-28,NA,0.09 (0.07-0.10),0.10 (0.08-0.12),0.10 (0.09-0.12), 91.4 (89.9-92.8), 90.1 (88.3-91.7), 89.7 (87.8-91.3)
"Non-COVID-19
death",BNT162b2,29-35,NA,0.06 (0.05-0.07),0.07 (0.06-0.08),0.07 (0.06-0.09), 93.9 (92.6-95.0), 93.0 (91.5-94.3), 92.7 (91.1-94.0)
"Non-COVID-19
death",BNT162b2,36+,NA,0.07 (0.06-0.07),0.07 (0.07-0.08),0.08 (0.07-0.08), 93.3 (92.7-93.9), 92.6 (91.9-93.3), 92.4 (91.6-93.1)
"Non-COVID-19
death",ChAdOx1,1-3,NA,0.16 (0.12-0.21),0.16 (0.12-0.21),0.17 (0.12-0.22), 84.1 (78.6-88.1), 84.2 (78.8-88.2), 83.4 (77.8-87.6)
"Non-COVID-19
death",ChAdOx1,4-7,NA,0.19 (0.15-0.24),0.19 (0.15-0.24),0.20 (0.16-0.25), 81.1 (76.4-84.9), 81.2 (76.4-84.9), 80.3 (75.4-84.3)
"Non-COVID-19
death",ChAdOx1,8-14,NA,0.15 (0.12-0.18),0.15 (0.12-0.18),0.16 (0.13-0.19), 85.2 (82.2-87.7), 85.0 (82.0-87.6), 84.2 (81.0-86.9)
"Non-COVID-19
death",ChAdOx1,15-21,NA,0.17 (0.14-0.20),0.17 (0.15-0.20),0.18 (0.15-0.21), 83.0 (79.9-85.6), 82.7 (79.5-85.3), 81.8 (78.5-84.6)
"Non-COVID-19
death",ChAdOx1,22-28,NA,0.11 (0.09-0.13),0.11 (0.09-0.13),0.11 (0.09-0.14), 89.4 (87.0-91.3), 89.1 (86.7-91.1), 88.7 (86.2-90.8)
"Non-COVID-19
death",ChAdOx1,29-35,NA,0.12 (0.10-0.14),0.12 (0.10-0.15),0.12 (0.10-0.15), 88.1 (85.5-90.2), 87.8 (85.2-90.0), 87.5 (84.8-89.7)
"Non-COVID-19
death",ChAdOx1,36+,NA,0.12 (0.11-0.13),0.12 (0.11-0.14),0.13 (0.11-0.14), 87.8 (86.6-89.0), 87.6 (86.3-88.8), 87.4 (86.1-88.6)
