outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
"Positive
SARS-CoV-2
test",ChAdOx1,36+,NA,0.38 (0.32-0.45),0.39 (0.32-0.46),0.51 (0.40-0.64),61.8 (55.0-67.7),61.4 (53.9-67.6),49.4 (36.1-59.9)
"COVID-19
hospitalisation",Any vaccine,1-3,NA,0.31 (0.28-0.35),0.34 (0.30-0.38),0.42 (0.36-0.49),68.7 (64.8-72.2),66.3 (62.1-70.1),57.9 (51.0-63.8)
"COVID-19
hospitalisation",Any vaccine,4-7,NA,0.35 (0.32-0.38),0.38 (0.34-0.42),0.46 (0.41-0.51),65.2 (61.6-68.5),62.2 (58.2-65.7),54.1 (48.5-59.1)
"COVID-19
hospitalisation",Any vaccine,8-14,NA,0.39 (0.36-0.42),0.43 (0.40-0.47),0.51 (0.47-0.56),60.8 (57.7-63.7),56.5 (53.0-59.8),48.8 (44.2-52.9)
"COVID-19
hospitalisation",Any vaccine,15-21,NA,0.32 (0.29-0.35),0.36 (0.33-0.39),0.42 (0.38-0.47),68.4 (65.5-71.0),64.2 (60.9-67.3),57.7 (53.2-61.8)
"COVID-19
hospitalisation",Any vaccine,22-28,NA,0.24 (0.21-0.27),0.27 (0.24-0.31),0.33 (0.29-0.37),76.3 (73.4-78.9),72.5 (69.1-75.5),67.3 (63.2-70.9)
"COVID-19
hospitalisation",Any vaccine,29-35,NA,0.20 (0.17-0.23),0.23 (0.20-0.27),0.28 (0.25-0.32),80.2 (77.4-82.7),76.8 (73.4-79.8),71.8 (67.6-75.5)
"COVID-19
hospitalisation",Any vaccine,36+,NA,0.17 (0.15-0.19),0.20 (0.18-0.23),0.25 (0.22-0.28),83.1 (81.1-85.0),80.1 (77.5-82.3),75.4 (72.2-78.3)
"COVID-19
hospitalisation",BNT162b2,1-3,NA,0.20 (0.17-0.24),0.23 (0.19-0.27),0.35 (0.27-0.45),79.6 (75.9-82.7),77.1 (73.0-80.7),65.3 (55.1-73.2)
"COVID-19
hospitalisation",BNT162b2,4-7,NA,0.29 (0.25-0.32),0.32 (0.29-0.37),0.40 (0.34-0.47),71.3 (67.5-74.6),67.6 (63.3-71.3),60.1 (53.5-65.8)
"COVID-19
hospitalisation",BNT162b2,8-14,NA,0.34 (0.31-0.37),0.39 (0.35-0.42),0.46 (0.42-0.51),66.1 (62.9-69.0),61.3 (57.6-64.7),53.8 (49.1-58.2)
"COVID-19
hospitalisation",BNT162b2,15-21,NA,0.29 (0.26-0.32),0.33 (0.30-0.37),0.40 (0.35-0.46),71.1 (68.1-73.9),66.8 (63.3-70.0),59.6 (53.9-64.6)
"COVID-19
hospitalisation",BNT162b2,22-28,NA,0.23 (0.20-0.26),0.27 (0.24-0.31),0.33 (0.29-0.38),76.8 (73.5-79.7),72.8 (68.9-76.2),66.6 (61.8-70.9)
"COVID-19
hospitalisation",BNT162b2,29-35,NA,0.20 (0.17-0.24),0.24 (0.20-0.28),0.30 (0.26-0.35),79.7 (76.3-82.7),76.2 (72.1-79.7),70.0 (64.8-74.4)
"COVID-19
hospitalisation",BNT162b2,36+,NA,0.20 (0.18-0.23),0.23 (0.20-0.26),0.30 (0.26-0.35),79.9 (77.0-82.4),77.0 (73.5-80.0),70.1 (65.4-74.1)
"COVID-19
hospitalisation",ChAdOx1,1-3,NA,0.56 (0.47-0.66),0.56 (0.47-0.66),0.68 (0.55-0.84),44.0 (33.9-52.6),44.2 (34.1-52.8),32.2 (16.3-45.1)
"COVID-19
hospitalisation",ChAdOx1,4-7,NA,0.48 (0.41-0.57),0.49 (0.41-0.57),0.60 (0.50-0.73),51.9 (43.4-59.1),51.4 (42.8-58.7),39.8 (27.0-50.3)
"COVID-19
hospitalisation",ChAdOx1,8-14,NA,0.54 (0.48-0.62),0.56 (0.49-0.64),0.80 (0.67-0.96),45.6 (37.8-52.3),44.0 (35.9-51.1),19.8 (4.4-32.7)
"COVID-19
hospitalisation",ChAdOx1,15-21,NA,0.47 (0.40-0.55),0.48 (0.41-0.57),0.62 (0.51-0.75),53.4 (45.4-60.3),51.7 (43.1-58.9),38.0 (25.1-48.7)
"COVID-19
hospitalisation",ChAdOx1,22-28,NA,0.36 (0.30-0.45),0.38 (0.31-0.46),0.49 (0.38-0.62),63.5 (55.4-70.2),62.3 (53.7-69.3),51.0 (37.6-61.6)
"COVID-19
hospitalisation",ChAdOx1,29-35,NA,0.33 (0.26-0.43),0.34 (0.27-0.44),0.43 (0.33-0.56),66.5 (57.4-73.7),65.8 (56.3-73.3),56.8 (43.8-66.8)
"COVID-19
hospitalisation",ChAdOx1,36+,NA,0.30 (0.25-0.36),0.30 (0.25-0.37),0.39 (0.31-0.48),70.0 (63.5-75.3),69.8 (62.9-75.5),61.4 (51.8-69.1)
Any death,Any vaccine,1-3,NA,0.13 (0.11-0.15),0.14 (0.12-0.16),0.22 (0.17-0.28),86.7 (84.6-88.6),86.3 (84.1-88.2),78.0 (72.0-82.6)
Any death,Any vaccine,4-7,NA,0.17 (0.15-0.19),0.18 (0.16-0.20),0.28 (0.24-0.33),83.0 (81.0-84.8),82.3 (80.2-84.2),71.6 (66.6-75.9)
Any death,Any vaccine,8-14,NA,0.19 (0.18-0.21),0.20 (0.19-0.22),0.31 (0.28-0.34),80.8 (79.3-82.3),79.8 (78.1-81.3),68.9 (65.7-71.9)
Any death,Any vaccine,15-21,NA,0.22 (0.21-0.24),0.24 (0.22-0.26),0.37 (0.34-0.40),77.7 (76.0-79.3),76.3 (74.4-78.0),63.2 (60.0-66.2)
Any death,Any vaccine,22-28,NA,0.23 (0.21-0.25),0.24 (0.23-0.26),0.39 (0.36-0.43),77.0 (75.1-78.8),75.5 (73.5-77.4),60.6 (56.9-64.0)
Any death,Any vaccine,29-35,NA,0.21 (0.19-0.23),0.22 (0.20-0.24),0.37 (0.33-0.41),79.3 (77.4-80.9),78.1 (76.2-79.9),63.2 (59.1-66.8)
Any death,Any vaccine,36+,NA,0.21 (0.20-0.22),0.22 (0.20-0.23),0.34 (0.31-0.37),79.0 (77.5-80.4),78.4 (76.8-79.9),66.1 (63.3-68.7)
Any death,BNT162b2,1-3,NA,0.07 (0.06-0.09),0.08 (0.06-0.10),0.13 (0.09-0.20),92.9 (90.8-94.5),92.0 (89.6-93.8),86.6 (80.2-90.9)
Any death,BNT162b2,4-7,NA,0.09 (0.07-0.11),0.10 (0.08-0.12),0.19 (0.13-0.28),91.3 (89.5-92.8),90.0 (88.0-91.7),80.8 (71.9-86.8)
Any death,BNT162b2,8-14,NA,0.10 (0.09-0.12),0.12 (0.11-0.14),0.22 (0.18-0.27),89.5 (88.2-90.7),87.9 (86.4-89.3),77.6 (72.6-81.7)
Any death,BNT162b2,15-21,NA,0.13 (0.12-0.15),0.15 (0.14-0.17),0.27 (0.24-0.31),86.7 (85.3-88.0),84.7 (83.1-86.2),73.1 (69.3-76.4)
Any death,BNT162b2,22-28,NA,0.16 (0.15-0.18),0.19 (0.17-0.21),0.36 (0.32-0.40),83.5 (81.8-85.1),81.1 (79.1-83.0),64.3 (60.3-67.8)
Any death,BNT162b2,29-35,NA,0.14 (0.13-0.16),0.16 (0.14-0.18),0.31 (0.28-0.35),86.0 (84.4-87.4),84.2 (82.4-85.9),69.0 (65.2-72.4)
Any death,BNT162b2,36+,NA,0.21 (0.19-0.22),0.22 (0.20-0.23),0.42 (0.38-0.46),79.3 (77.7-80.8),78.5 (76.7-80.1),58.3 (54.2-62.0)
Any death,ChAdOx1,1-3,NA,0.20 (0.16-0.23),0.18 (0.15-0.22),0.31 (0.24-0.40),80.4 (76.5-83.7),81.7 (78.1-84.8),68.7 (59.9-75.5)
Any death,ChAdOx1,4-7,NA,0.26 (0.23-0.30),0.24 (0.21-0.28),0.44 (0.37-0.52),74.1 (70.3-77.4),75.7 (72.1-78.8),56.4 (47.9-63.5)
Any death,ChAdOx1,8-14,NA,0.29 (0.26-0.33),0.28 (0.25-0.30),0.51 (0.44-0.59),70.7 (67.5-73.6),72.5 (69.5-75.2),48.9 (41.1-55.6)
Any death,ChAdOx1,15-21,NA,0.35 (0.31-0.38),0.32 (0.29-0.36),0.63 (0.55-0.71),65.3 (61.6-68.5),67.8 (64.4-70.9),37.5 (29.3-44.7)
Any death,ChAdOx1,22-28,NA,0.33 (0.29-0.37),0.30 (0.27-0.33),0.56 (0.49-0.64),67.2 (63.5-70.6),70.3 (66.9-73.4),44.3 (36.4-51.1)
Any death,ChAdOx1,29-35,NA,0.36 (0.32-0.40),0.32 (0.29-0.36),0.60 (0.52-0.68),63.8 (59.5-67.7),68.1 (64.2-71.5),40.5 (31.6-48.2)
Any death,ChAdOx1,36+,NA,0.40 (0.37-0.44),0.35 (0.32-0.38),0.62 (0.56-0.69),59.6 (56.0-62.9),65.1 (61.8-68.2),37.9 (30.7-44.4)
